,Last_15_Events_-_Putting_RANK THIS WEEK,Last_15_Events_-_Putting_RANK LAST WEEK,Last_15_Events_-_Putting_PLAYER NAME,Last_15_Events_-_Putting_EVENTS,Last_15_Events_-_Putting_RATING
0,1,1,Todd Fischer,1,9.4
1,T2,T2,Wen-Tang Lin,1,8.9
2,T2,T2,Martin Piller,1,8.9
3,4,4,Nick Dougherty,2,8.8
4,T5,T5,Ronnie Black,2,8.7
5,T5,T5,Richard Finch,1,8.7
6,T5,T5,Greg Kraft,2,8.7
7,T5,T5,Loren Roberts,2,8.7
8,T9,T9,Paul Azinger,2,8.6
9,T9,T9,David Mathis,4,8.6
10,T11,T11,Thomas Aiken,1,8.5
11,T11,T11,Aaron Baddeley,6,8.5
12,T11,T11,Michael Sim,1,8.5
13,T14,T14,Eric Axley,1,8.4
14,T14,T14,Daniel Chopra,10,8.4
15,T14,T14,Stewart Cink,6,8.4
16,T14,T14,José Coceres,3,8.4
17,T14,T14,Brent Geiberger,1,8.4
18,T14,T14,Bob Heintz,9,8.4
19,T14,T14,Jamie Lovemark,2,8.4
20,T14,T14,Shigeki Maruyama,3,8.4
21,T14,T14,George McNeill,8,8.4
22,T14,T14,José María Olazábal,4,8.4
23,T14,T14,Jeff Overton,7,8.4
24,T14,T14,Jeff Quinney,9,8.4
25,T14,T14,Brandt Snedeker,11,8.4
26,T14,T14,Dean Wilson,6,8.4
27,T14,T14,Azuma Yano,2,8.4
28,T29,T29,Steve Allan,1,8.3
29,T29,T29,Guy Boros,3,8.3
30,T29,T29,Christian Cévaër,1,8.3
31,T29,T29,Chris Couch,3,8.3
32,T29,T29,Paul Goydos,8,8.3
33,T29,T29,Ryo Ishikawa,1,8.3
34,T29,T29,Anthony Kim,8,8.3
35,T29,T29,Danny Lee,6,8.3
36,T29,T29,Alan Morin,1,8.3
37,T29,T29,Ryan Palmer,6,8.3
38,T29,T29,Chris Riley,13,8.3
39,T40,T41,Tom Byrum,1,8.2
40,T40,T41,Wil Collins,4,8.2
41,T40,T41,Robert Floyd,1,8.2
42,T40,T41,Harrison Frazar,11,8.2
43,T40,T41,Tadd Fujikawa,2,8.2
44,T40,T41,Jim Furyk,11,8.2
45,T40,T29,Brian Gay,10,8.2
46,T40,T41,Padraig Harrington,6,8.2
47,T40,T41,Parker McLachlin,7,8.2
48,T40,T41,Jack Newman,1,8.2
49,T40,T41,Jesper Parnevik,3,8.2
50,T40,T41,Corey Pavin,9,8.2
51,T40,T41,Webb Simpson,9,8.2
52,T40,T41,Hideto Tanihara,1,8.2
53,T40,T41,Jimmy Walker,9,8.2
54,T40,T41,Charlie Wi,6,8.2
55,T56,T56,Craig Barlow,1,8.1
56,T56,T56,Greg Chalmers,10,8.1
57,T56,T56,Tim Clark,9,8.1
58,T56,T56,Jason Day,10,8.1
59,T56,T56,Luke Donald,10,8.1
60,T56,T56,David Gossett,1,8.1
61,T56,T56,Mathias Grönberg,7,8.1
62,T56,T56,Ryuji Imada,7,8.1
63,T56,T82,Matt Kuchar,8,8.1
64,T56,T56,Frank Lickliter II,5,8.1
65,T56,T56,Luke List,1,8.1
66,T56,T56,John Mallinger,8,8.1
67,T56,T56,Prayad Marksaeng,3,8.1
68,T56,T56,James Nitties,9,8.1
69,T56,T56,Joe Ogilvie,6,8.1
70,T56,T56,Leif Olson,3,8.1
71,T56,T56,Carl Pettersson,8,8.1
72,T56,T56,Ian Poulter,6,8.1
73,T56,T56,Reinier Saxton,1,8.1
74,T56,T56,Darron Stiles,5,8.1
75,T56,T56,Steve Stricker,10,8.1
76,T56,T56,Vaughn Taylor,9,8.1
77,T56,T56,Bo Van Pelt,10,8.1
78,T56,T56,Brian Vranesh,5,8.1
79,T56,T56,Aaron Watkins,4,8.1
80,T56,T56,Garrett Willis,4,8.1
81,T56,T56,Tiger Woods,10,8.1
82,T83,T82,Tyler Aldridge,1,8.0
83,T83,T82,Stephen Ames,8,8.0
84,T83,T82,Chris Baryla,1,8.0
85,T83,T82,Matt Bettencourt,9,8.0
86,T83,T82,Paul Casey,6,8.0
87,T83,T82,Brian Davis,8,8.0
88,T83,T82,Marco Dawson,3,8.0
89,T83,T82,David Duval,3,8.0
90,T83,T82,Brad Faxon,4,8.0
91,T83,T82,Rickie Fowler,4,8.0
92,T83,T82,Sergio Garcia,7,8.0
93,T83,T82,Retief Goosen,10,8.0
94,T83,T82,Charley Hoffman,9,8.0
95,T83,T82,Freddie Jacobson,10,8.0
96,T83,T82,Cliff Kresge,3,8.0
97,T83,T82,Ian Leggatt,1,8.0
98,T83,T82,Michael Letzig,9,8.0
99,T83,T82,Spencer Levin,8,8.0
100,T83,T82,Spike McRoy,2,8.0
101,T83,T82,Bryce Molder,10,8.0
102,T83,T82,Kevin Na,11,8.0
103,T83,T82,Tim Petrovic,10,8.0
104,T83,T82,Dicky Pride,3,8.0
105,T83,T82,Brendon Todd,2,8.0
106,T83,T82,Johnson Wagner,9,8.0
107,T83,T82,Matt Weibring,7,8.0
108,T83,T82,Mike Weir,11,8.0
109,T83,T82,Casey Wittenberg,5,8.0
110,T111,T111,Arjun Atwal,3,7.9
111,T111,T111,Rich Beem,5,7.9
112,T111,T111,K.J. Choi,4,7.9
113,T111,T111,Darren Clarke,4,7.9
114,T111,T111,Ken Duke,6,7.9
115,T111,T111,Bob Estes,9,7.9
116,T111,T111,Bill Haas,9,7.9
117,T111,T111,Dudley Hart,6,7.9
