,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Tiger Woods,17,52.65,5265,10000,1.0,3.0
1,2,2,Steve Stricker,22,40.38,4038,10000,1.0,3.0
2,3,3,Phil Mickelson,18,29.8,2980,10000,1.0,1.0
3,4,4,Heath Slocum,30,29.05,2905,10000,1.0,1.0
4,5,5,Padraig Harrington,20,26.75,2675,10000,,4.0
5,6,6,Jim Furyk,23,23.58,2358,10000,,3.0
6,7,7,Sean O'Hair,23,21.5,2150,10000,,3.0
7,8,8,Scott Verplank,24,20.2,2020,10000,,2.0
8,9,9,Marc Leishman,28,17.35,1735,10000,,1.0
9,10,10,Jason Dufner,26,16.93,1693,10000,,1.0
10,11,11,Ernie Els,19,15.0,1500,10000,,2.0
11,12,12,Zach Johnson,26,12.85,1285,10000,,1.0
12,13,13,Dustin Johnson,25,12.78,1278,10000,,1.0
13,14,14,Steve Marino,29,11.8,1180,10000,,1.0
14,15,15,Sergio Garcia,17,11.7,878,7500,,1.0
15,16,16,Kevin Na,26,11.6,1160,10000,,1.0
16,17,17,Bill Haas,29,11.03,827,7500,,1.0
17,18,18,Brandt Snedeker,26,10.9,818,7500,,1.0
18,19,19,Matt Kuchar,24,10.79,810,7500,,1.0
19,20,20,Nick Watney,24,10.71,1071,10000,,1.0
20,21,21,Ángel Cabrera,17,10.11,1011,10000,,1.0
21,22,22,Kenny Perry,24,9.75,975,10000,,1.0
22,23,23,John Senden,29,9.45,945,10000,,1.0
23,24,24,Freddie Jacobson,25,8.92,669,7500,,1.0
24,25,25,Mike Weir,24,8.9,890,10000,,
25,26,26,Retief Goosen,20,8.72,872,10000,,1.0
26,27,27,Jerry Kelly,26,8.5,850,10000,,1.0
27,28,28,David Toms,27,8.46,846,10000,,
28,29,29,Ian Poulter,17,8.33,625,7500,,1.0
29,30,30,Jason Day,18,8.18,613,7500,,
30,31,31,Luke Donald,21,8.05,805,10000,,1.0
31,32,32,Troy Matteson,30,8.0,400,5000,,
32,33,33,Geoff Ogilvy,20,7.95,795,10000,,1.0
33,34,34,Mark Wilson,28,7.86,590,7500,,1.0
34,35,35,Hunter Mahan,25,7.85,785,10000,,
35,36,36,Kevin Sutherland,27,7.77,583,7500,,
36,37,37,Justin Leonard,26,7.1,533,7500,,
37,38,38,Stewart Cink,22,6.93,693,10000,,
38,39,39,Stephen Ames,23,6.8,510,7500,,
39,40,40,Brian Gay,27,6.61,661,10000,,
40,41,41,Robert Allenby,21,6.4,480,7500,,
41,42,42,Webb Simpson,30,6.23,468,7500,,1.0
42,T43,T43,Anthony Kim,22,6.17,463,7500,,
43,T43,T43,Bubba Watson,24,6.17,463,7500,,
44,45,45,Greg Owen,30,6.15,308,5000,,
45,46,46,Bo Van Pelt,30,6.03,453,7500,,
46,47,47,Camilo Villegas,21,6.0,450,7500,,1.0
47,48,48,Charley Hoffman,27,5.73,430,7500,,
48,49,49,Y.E. Yang,23,5.63,563,10000,,
49,50,50,Charlie Wi,28,5.57,418,7500,,
50,51,51,D.A. Points,29,5.55,278,5000,,
51,52,52,Tim Clark,23,5.53,415,7500,,
52,53,53,Lucas Glover,26,5.28,528,10000,,1.0
53,54,54,Paul Goydos,25,5.27,395,7500,,1.0
54,55,55,Lee Janzen,23,4.95,248,5000,,
55,56,56,Kevin Streelman,29,4.8,240,5000,,
56,57,57,Chad Campbell,26,4.53,340,7500,,
57,58,58,Chris Riley,22,4.5,113,2500,,
58,T59,T59,Justin Rose,22,4.25,213,5000,,
59,T59,T59,Boo Weekley,22,4.25,213,5000,,
60,61,61,Davis Love III,27,4.2,315,7500,,
61,62,62,Pat Perez,22,4.17,313,7500,,
62,63,63,Jonathan Byrd,25,4.1,308,7500,,
63,64,64,Jeff Overton,28,3.76,282,7500,,
64,65,65,Richard Johnson,26,3.65,182,5000,,
65,66,66,Ben Crane,27,3.59,269,7500,,
66,67,67,Charles Howell III,29,3.53,265,7500,,
67,T68,T68,John Mallinger,27,3.5,263,7500,,
68,T68,T68,Rory Sabbatini,25,3.5,263,7500,,
69,70,70,Harrison Frazar,28,3.3,83,2500,,
70,71,71,Jason Bohn,25,3.27,245,7500,,
71,T72,T72,Greg Chalmers,26,3.05,153,5000,,
72,T72,T72,Scott McCarron,27,3.05,153,5000,,
73,T72,T72,Scott Piercy,28,3.05,153,5000,,
74,T75,T75,Woody Austin,24,3.0,225,7500,,
75,T75,T75,Bryce Molder,21,3.0,225,7500,,
76,77,77,Brian Davis,32,2.97,223,7500,,
77,78,78,Bob Estes,23,2.83,213,7500,,
78,T79,T79,Fred Couples,16,2.8,140,5000,,
79,T79,T79,Rod Pampling,23,2.8,140,5000,,
80,81,81,J.B. Holmes,25,2.77,208,7500,,
81,82,82,Ryan Moore,27,2.57,192,7500,,
82,83,83,Mathew Goggin,26,2.4,120,5000,,
83,84,84,Tim Petrovic,31,2.25,113,5000,,
84,85,85,Daniel Chopra,28,2.15,108,5000,,
85,86,86,Adam Scott,19,2.1,53,2500,,
86,87,87,John Rollins,27,2.06,155,7500,,
87,88,88,Michael Letzig,28,2.0,100,5000,,
88,89,89,Vijay Singh,21,1.45,73,5000,,
89,T90,T90,Bill Lunde,27,1.2,30,2500,,
90,T90,T90,Vaughn Taylor,28,1.2,30,2500,,
91,92,92,Nathan Green,30,1.17,88,7500,,
92,T93,T93,Cameron Beckman,26,1.05,53,5000,,
93,T93,T93,J.J. Henry,28,1.05,53,5000,,
94,T93,T93,James Nitties,27,1.05,53,5000,,
95,T93,T93,Brett Quigley,28,1.05,53,5000,,
96,97,97,Briny Baird,28,0.75,38,5000,,
97,T98,T98,Alex Cejka,25,0.18,5,2500,,
98,T98,T98,Joe Ogilvie,29,0.18,4,2500,,
99,100,100,Todd Hamilton,29,0.17,4,2500,,
100,101,101,D.J. Trahan,30,0.13,7,5000,,
101,102,102,Ryuji Imada,25,0.09,5,5000,,
