,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Tiger Woods,17,10000000
1,2,2,Phil Mickelson,18,3000000
2,3,3,Steve Stricker,22,2000000
3,4,4,Jim Furyk,22,1500000
4,5,5,Sean O'Hair,23,1000000
5,6,6,Zach Johnson,25,800000
6,7,7,Padraig Harrington,20,700000
7,8,8,Heath Slocum,27,600000
8,9,9,Kenny Perry,24,550000
9,10,10,Scott Verplank,24,500000
10,11,11,Jason Dufner,26,300000
11,12,12,Nick Watney,23,290000
12,13,13,Geoff Ogilvy,20,280000
13,14,14,Dustin Johnson,24,270000
14,15,15,Steve Marino,28,250000
15,16,16,Ernie Els,19,245000
16,17,17,Lucas Glover,26,240000
17,18,18,Retief Goosen,20,235000
18,19,19,David Toms,25,230000
19,20,20,Marc Leishman,26,225000
20,21,21,Brian Gay,25,220000
21,22,22,Jerry Kelly,25,215000
22,23,23,Y.E. Yang,23,210000
23,24,24,John Senden,28,205000
24,25,25,Ángel Cabrera,17,200000
25,26,26,Kevin Na,26,195000
26,27,27,Hunter Mahan,24,190000
27,28,28,Stewart Cink,22,185000
28,29,29,Mike Weir,23,180000
29,30,30,Luke Donald,21,175000
30,31,31,Ian Poulter,17,165000
31,32,32,Mark Wilson,25,155000
32,33,33,Brandt Snedeker,23,150000
33,34,34,Rory Sabbatini,22,145000
34,35,35,Anthony Kim,21,142000
35,36,36,Tim Clark,21,140000
36,37,37,Charley Hoffman,24,138000
37,38,38,Sergio Garcia,17,137000
38,39,39,Justin Leonard,24,136000
39,40,40,Matt Kuchar,22,135000
40,41,41,Bill Haas,26,134000
41,42,42,Camilo Villegas,21,133000
42,43,43,Robert Allenby,20,132000
43,44,44,Kevin Sutherland,25,131000
44,45,45,John Rollins,24,130000
45,46,46,Pat Perez,21,129000
46,47,47,Ryan Moore,24,128000
47,48,48,Jason Day,18,127000
48,49,49,Charles Howell III,26,126000
49,50,50,Bo Van Pelt,26,125000
50,51,51,Davis Love III,24,120000
51,52,52,Paul Casey,12,115000
52,53,53,Bubba Watson,23,114000
53,54,54,Paul Goydos,22,113000
54,55,55,Stephen Ames,20,110000
55,56,56,Charlie Wi,25,110000
56,57,57,Freddie Jacobson,21,110000
57,58,58,Brian Davis,28,110000
58,59,59,Chad Campbell,24,110000
59,60,60,John Mallinger,24,110000
60,61,61,Ben Crane,23,110000
61,62,62,Webb Simpson,26,110000
62,63,63,Nathan Green,27,110000
63,64,64,Bryce Molder,19,110000
64,65,65,Woody Austin,22,110000
65,66,66,Jonathan Byrd,21,110000
66,67,67,Jeff Overton,24,110000
67,68,68,Jason Bohn,22,110000
68,69,69,J.B. Holmes,23,110000
69,70,70,Bob Estes,23,110000
70,71,71,Brett Quigley,25,80000
71,72,72,D.A. Points,25,80000
72,73,73,Boo Weekley,22,80000
73,74,74,Mathew Goggin,23,80000
74,75,75,John Merrick,24,80000
75,76,76,Kevin Streelman,25,80000
76,77,77,Greg Owen,26,80000
77,78,78,Troy Matteson,27,80000
78,79,79,Lee Janzen,22,80000
79,80,80,Briny Baird,25,80000
80,81,81,Vijay Singh,21,75000
81,82,82,Scott McCarron,25,75000
82,83,83,J.J. Henry,26,75000
83,84,84,Fred Couples,15,75000
84,85,85,Justin Rose,20,75000
85,86,86,Michael Letzig,24,75000
86,87,87,Greg Chalmers,23,75000
87,88,88,Scott Piercy,25,75000
88,89,89,Tim Petrovic,27,75000
89,90,90,Jeff Klauk,25,75000
90,91,91,Richard Johnson,22,75000
91,92,92,Rod Pampling,22,75000
92,93,93,Ted Purdy,26,75000
93,94,94,James Nitties,25,75000
94,95,95,Kevin Stadler,19,75000
95,96,96,D.J. Trahan,26,75000
96,97,97,Daniel Chopra,25,75000
97,98,98,Cameron Beckman,22,75000
98,99,99,Nick O'Hern,23,75000
99,100,100,Ryuji Imada,23,75000
100,101,101,K.J. Choi,21,70000
101,102,102,Ben Curtis,17,70000
102,103,103,Chris Riley,18,70000
103,104,104,Harrison Frazar,24,70000
104,105,105,George McNeill,22,70000
105,106,106,Matt Bettencourt,27,70000
106,107,107,Bill Lunde,24,70000
107,108,108,Michael Allen,19,70000
108,109,109,Robert Garrigus,21,70000
109,110,110,Adam Scott,18,70000
110,111,111,Aaron Baddeley,20,70000
111,112,112,James Driscoll,17,70000
112,113,113,Jeff Quinney,22,70000
113,114,114,Tim Herron,23,70000
114,115,115,Vaughn Taylor,25,70000
115,116,116,Alex Cejka,22,70000
116,117,117,Mark Calcavecchia,19,70000
117,118,118,Chris DiMarco,25,70000
118,119,119,Steve Flesch,23,70000
119,120,120,Chris Stroud,25,70000
120,121,121,Joe Ogilvie,25,70000
121,122,122,David Mathis,23,70000
122,123,123,Todd Hamilton,25,70000
123,124,124,Roland Thatcher,12,70000
124,125,125,Jeff Maggert,24,70000
125,126,126,Matt Jones,14,32000
126,127,127,Ken Duke,25,32000
127,128,128,Rich Beem,22,32000
128,129,129,Corey Pavin,21,32000
129,130,130,Tom Watson,2,32000
130,131,131,Charles Warren,18,32000
131,132,132,Andres Romero,17,32000
132,133,133,Rocco Mediate,18,32000
133,134,134,Ryan Palmer,23,32000
134,135,135,Cliff Kresge,24,32000
135,136,136,Aron Price,23,32000
136,137,137,Brendon de Jonge,25,32000
137,138,138,Nicholas Thompson,27,32000
138,139,139,Michael Bradley,14,32000
139,140,140,Tommy Armour III,15,32000
140,141,141,Stuart Appleby,22,32000
141,142,142,Ricky Barnes,19,32000
142,143,143,Spencer Levin,21,32000
143,144,144,Will MacKenzie,20,32000
144,145,145,Dean Wilson,25,32000
145,146,146,Martin Laird,21,32000
146,147,147,Tom Lehman,14,32000
147,148,148,Jimmy Walker,20,32000
148,149,149,David Duval,18,32000
149,150,150,Glen Day,22,32000
