,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
0,1,1,Tiger Woods,17,4000,6.0,14.0,,2500.0
1,2,2,Phil Mickelson,18,2920,3.0,7.0,1080.0,420.0
2,3,3,Steve Stricker,22,2750,3.0,11.0,1250.0,2250.0
3,4,4,Jim Furyk,22,2438,,10.0,1562.0,2000.0
4,5,5,Sean O'Hair,23,2200,1.0,9.0,1800.0,1200.0
5,6,6,Zach Johnson,25,2073,2.0,8.0,1927.0,1800.0
6,7,7,Padraig Harrington,20,2050,,6.0,1950.0,1400.0
7,8,8,Heath Slocum,27,1855,1.0,3.0,2145.0,1600.0
8,9,9,Kenny Perry,24,1450,2.0,8.0,2550.0,800.0
9,10,10,Scott Verplank,24,1245,,6.0,2755.0,1000.0
10,11,11,Jason Dufner,26,855,,6.0,3145.0,600.0
11,12,12,Nick Watney,23,748,1.0,4.0,3252.0,460.0
12,13,13,Geoff Ogilvy,20,713,2.0,5.0,3287.0,440.0
13,14,14,Dustin Johnson,24,700,1.0,5.0,3300.0,480.0
14,15,15,Steve Marino,28,698,,5.0,3302.0,260.0
15,16,16,Ernie Els,19,690,,7.0,3310.0,290.0
16,17,17,Lucas Glover,26,660,1.0,6.0,3340.0,310.0
17,18,18,Retief Goosen,20,640,1.0,5.0,3360.0,400.0
18,19,19,David Toms,25,608,,7.0,3392.0,320.0
19,20,20,Marc Leishman,26,593,,3.0,3407.0,380.0
20,21,21,Brian Gay,25,573,2.0,4.0,3427.0,360.0
21,22,22,Jerry Kelly,25,570,1.0,6.0,3430.0,220.0
22,23,23,Y.E. Yang,23,565,2.0,4.0,3435.0,300.0
23,24,24,John Senden,28,560,,6.0,3440.0,210.0
24,25,25,Ángel Cabrera,17,558,1.0,3.0,3442.0,270.0
25,26,26,Kevin Na,26,545,,9.0,3455.0,340.0
26,27,27,Hunter Mahan,24,515,,6.0,3485.0,280.0
27,28,28,Stewart Cink,22,505,1.0,4.0,3495.0,250.0
28,29,29,Mike Weir,23,468,,5.0,3532.0,240.0
29,30,30,Luke Donald,21,458,,6.0,3542.0,230.0
30,31,31,Ian Poulter,17,1532,,5.0,5664.0,
31,32,32,Mark Wilson,25,1438,1.0,3.0,5758.0,
32,33,33,Brandt Snedeker,23,1435,,5.0,5761.0,
33,34,34,Rory Sabbatini,22,1426,1.0,4.0,5770.0,
34,35,35,Anthony Kim,21,1420,,3.0,5776.0,
35,36,36,Tim Clark,21,1395,,4.0,5801.0,
36,37,37,Charley Hoffman,24,1393,,3.0,5803.0,
37,38,38,Sergio Garcia,17,1379,,3.0,5817.0,
38,39,39,Justin Leonard,24,1371,,5.0,5825.0,
39,40,40,Matt Kuchar,22,1364,,3.0,5832.0,
40,41,41,Bill Haas,26,1362,,4.0,5834.0,
41,42,42,Camilo Villegas,21,1336,,4.0,5860.0,
42,43,43,Robert Allenby,20,1326,,3.0,5870.0,
