,Last_15_Events_-_Accuracy_RANK THIS WEEK,Last_15_Events_-_Accuracy_RANK LAST WEEK,Last_15_Events_-_Accuracy_PLAYER NAME,Last_15_Events_-_Accuracy_EVENTS,Last_15_Events_-_Accuracy_RATING
0,1,1,Graham DeLaet,1,8.4
1,T2,T2,Jason Bohn,13,8.2
2,T2,T2,Scott Hoch,1,8.2
3,T2,T2,Tom Lehman,7,8.2
4,5,5,Tim Clark,9,8.1
5,T6,T6,Olin Browne,2,8.0
6,T6,T6,Robert Gamez,1,8.0
7,T6,T6,Will MacKenzie,5,8.0
8,T9,T9,Jim Furyk,11,7.9
9,T9,T9,Ernie Gonzalez,1,7.9
10,T9,T9,Zach Johnson,9,7.9
11,T9,T9,Greg Kraft,2,7.9
12,T13,T13,Joe Durant,6,7.8
13,T13,T13,Steve Pate,1,7.8
14,T13,T13,Scott Sterling,6,7.8
15,T13,T13,Jay Williamson,8,7.8
16,T17,T17,Michael Allen,8,7.7
17,T17,T17,Robert Allenby,7,7.7
18,T17,T17,Francesco Molinari,1,7.7
19,T17,T17,Rick Price,2,7.7
20,T17,T17,Tiger Woods,10,7.7
21,T22,T22,Chad Campbell,8,7.6
22,T22,T22,Fred Couples,7,7.6
23,T22,T22,Heath Slocum,9,7.6
24,T22,T22,David Toms,10,7.6
25,T22,T22,Dean Wilson,6,7.6
26,T27,T28,Thomas Aiken,1,7.5
27,T27,T28,Glen Day,7,7.5
28,T27,T28,Anders Hansen,1,7.5
29,T27,T28,Miguel Angel Jiménez,4,7.5
30,T27,T22,Justin Leonard,9,7.5
31,T27,T28,Billy Mayfair,6,7.5
32,T27,T28,Arron Oberholser,2,7.5
33,T27,T28,Darron Stiles,5,7.5
34,T27,T28,Steve Stricker,10,7.5
35,T36,T36,Tommy Armour III,9,7.4
36,T36,T36,Kris Blanks,7,7.4
37,T36,T36,Alex Cejka,10,7.4
38,T36,T36,Steve Elkington,8,7.4
39,T36,T36,Bryce Molder,10,7.4
