,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Tiger Woods,24193993
1,2,2,Phil Mickelson,14546046
2,3,3,Steve Stricker,12893476
3,4,4,Kenny Perry,12858550
4,5,5,Zach Johnson,10309515
5,6,6,Stewart Cink,9634446
6,7,7,Sean O'Hair,9333490
7,8,8,Jim Furyk,8844924
8,9,9,Anthony Kim,8504852
9,10,10,Justin Leonard,8391067
10,11,11,Lucas Glover,8159988
11,12,12,Brian Gay,8130967
12,13,13,Hunter Mahan,7793614
13,14,14,Nick Watney,6608365
14,15,15,Dustin Johnson,6473209
15,16,16,Jerry Kelly,6287197
16,17,17,David Toms,6202932
17,18,18,Chad Campbell,5641221
18,19,19,John Rollins,5638133
19,20,20,Kevin Na,5490024
20,21,21,Steve Marino,5213672
21,22,22,Pat Perez,5156394
22,23,23,John Mallinger,5096573
23,24,24,Boo Weekley,4891077
24,25,25,Mark Wilson,4846509
25,26,26,Woody Austin,4720144
26,27,27,Charles Howell III,4720009
27,28,28,Briny Baird,4679709
28,29,29,J.B. Holmes,4636159
29,30,30,Davis Love III,4628057
30,31,31,Charley Hoffman,4601162
31,32,32,D.J. Trahan,4485406
32,33,33,Paul Goydos,4476329
33,34,34,Bo Van Pelt,4460136
34,35,35,Brandt Snedeker,4409821
35,36,36,Ben Crane,4385553
36,37,37,Kevin Sutherland,4337510
37,38,38,John Merrick,4307987
38,39,39,Bubba Watson,4213370
39,40,40,Ben Curtis,4151416
40,41,41,Scott Verplank,4061010
41,42,42,Steve Flesch,3870476
42,43,43,Jeff Overton,3618198
43,44,44,George McNeill,3599364
44,45,45,Brett Quigley,3579323
45,46,46,Jonathan Byrd,3511242
46,47,47,Ryan Moore,3495745
47,48,48,Jeff Quinney,3478930
48,49,49,Matt Kuchar,3439993
49,50,50,Tim Petrovic,3419991
50,51,51,Mark Calcavecchia,3304454
51,52,52,Heath Slocum,3275471
52,53,53,J.J. Henry,3270057
53,54,54,Ken Duke,3248937
54,55,55,Billy Mayfair,3245729
55,56,56,Cameron Beckman,3231472
56,57,57,Bob Estes,3149165
57,58,58,Jason Dufner,3105590
58,59,59,Bill Haas,3052877
59,60,60,Kevin Streelman,3009838
60,61,61,Fred Couples,2923343
61,62,62,Michael Letzig,2922913
62,63,63,Tommy Armour III,2789029
63,64,64,Michael Allen,2718469
64,65,65,Nicholas Thompson,2686227
65,66,66,Scott McCarron,2680158
66,67,67,Johnson Wagner,2675780
67,68,68,Bart Bryant,2545905
68,69,69,Dudley Hart,2535614
69,70,70,Robert Garrigus,2421816
70,71,71,Bryce Molder,2418466
71,72,72,Ryan Palmer,2401652
72,73,73,Dean Wilson,2393239
73,74,74,Rich Beem,2346975
74,75,75,James Driscoll,2302285
75,76,76,Rocco Mediate,2278699
76,77,77,Steve Lowery,2271476
77,78,78,Vaughn Taylor,2257879
78,79,79,Joe Ogilvie,2241367
79,80,80,Tim Herron,2240314
80,81,81,Will MacKenzie,2238636
81,82,82,Troy Matteson,2217191
82,83,83,Cliff Kresge,2193078
83,84,84,Parker McLachlin,2133455
84,85,85,Tom Pernice Jr.,2101297
85,86,86,Lee Janzen,2094059
86,87,87,D.A. Points,2070409
87,88,88,Jeff Klauk,2022436
88,89,89,Charles Warren,2017353
89,90,90,Chez Reavie,1999652
90,91,91,Jason Gore,1961495
91,92,92,Chris Stroud,1953746
92,93,93,Jason Bohn,1887715
93,94,94,Ted Purdy,1874484
94,95,95,Corey Pavin,1787283
95,96,96,Roland Thatcher,1732852
96,97,97,Greg Kraft,1717772
97,98,98,Marc Turnesa,1704413
98,99,99,Kevin Stadler,1687548
99,100,100,Jeff Maggert,1685497
100,101,101,Scott Piercy,1615186
101,102,102,Todd Hamilton,1604534
102,103,103,Harrison Frazar,1569784
103,104,104,Tom Lehman,1539851
104,105,105,Chris DiMarco,1538733
105,106,106,Tag Ridings,1537428
106,107,107,Webb Simpson,1535158
107,108,108,Michael Bradley,1527748
108,109,109,Brad Adamonis,1508935
109,110,110,Tom Watson,1465206
110,111,111,Chris Riley,1425529
111,112,112,Joe Durant,1425097
112,113,113,Matt Bettencourt,1406917
113,114,114,David Duval,1373500
114,115,115,Ricky Barnes,1307873
115,116,116,Patrick Sheehan,1264014
116,117,117,Jay Williamson,1249592
117,118,118,Scott Sterling,1239474
118,119,119,Arron Oberholser,1157205
119,120,120,Bill Lunde,1139514
120,121,121,Glen Day,1137025
121,122,122,Eric Axley,1134544
122,123,123,Kent Jones,1132046
123,124,124,J.P. Hayes,1104933
124,125,125,Frank Lickliter II,1093206
125,126,126,Jimmy Walker,986331
126,127,127,Bob Tway,950575
127,128,128,Spencer Levin,947448
128,129,129,John Huston,879725
129,130,130,Casey Wittenberg,871915
130,131,131,Brett Wetterich,871329
131,132,132,Bob Heintz,869250
132,133,133,Shaun Micheel,853566
133,134,134,Shane Bertsch,841248
