,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,1,Tiger Woods,13,263.89599999999996,3430.6459999999997
1,2,2,Tom Watson,2,165.0,330.0
2,3,3,Steve Stricker,18,119.72,2154.967
3,4,4,Phil Mickelson,14,116.406,1629.69
4,5,5,Geoff Ogilvy,16,100.18799999999999,1603.0
5,6,6,Kenny Perry,20,99.63799999999999,1992.75
6,7,7,Paul Casey,12,96.771,1161.25
7,8,8,Zach Johnson,21,96.14200000000001,2018.984
8,9,9,Retief Goosen,16,91.19200000000001,1459.0710000000001
9,10,10,Y.E. Yang,19,85.32799999999999,1621.241
10,11,11,Lucas Glover,22,79.163,1741.5929999999998
11,12,12,Sean O'Hair,19,77.589,1474.1879999999999
12,13,13,Ángel Cabrera,13,74.442,967.75
13,14,14,Brian Gay,21,73.34899999999999,1540.32
14,15,15,Nick Watney,19,73.05,1387.95
15,16,16,Stewart Cink,18,68.066,1225.193
16,17,17,David Toms,21,66.373,1393.829
17,18,18,Jim Furyk,18,65.99,1187.8210000000001
18,19,19,Ian Poulter,14,64.782,906.954
19,20,20,Hunter Mahan,20,64.116,1282.328
20,21,21,Rory Sabbatini,19,61.232,1163.4
21,22,22,Luke Donald,17,58.406000000000006,992.9
22,23,23,Dustin Johnson,20,57.748000000000005,1154.9569999999999
23,24,24,Tim Clark,18,54.452,980.127
24,25,25,Anthony Kim,18,53.169,957.033
25,26,26,John Rollins,21,52.945,1111.843
26,27,27,Pat Perez,18,51.129,920.313
27,28,28,Mike Weir,19,50.967,968.367
28,29,29,Jerry Kelly,21,50.876999999999995,1068.4189999999999
29,30,30,Robert Allenby,17,49.735,845.5
30,31,31,Camilo Villegas,18,49.199,885.576
31,32,32,Ernie Els,15,48.857,732.85
32,33,33,Ryan Moore,21,48.714,1022.997
33,34,34,Kevin Na,22,46.406000000000006,1020.938
34,35,35,Charley Hoffman,21,45.876000000000005,963.3910000000001
35,36,36,Len Mattiace,1,44.0,44.0
36,37,37,Fred Couples,13,43.738,568.6
37,38,38,Bryce Molder,16,41.833999999999996,669.35
38,39,39,Charles Howell III,23,40.754,937.3330000000001
39,40,40,Davis Love III,21,40.545,851.455
40,41,41,Jason Day,15,39.95,599.25
41,42,42,Justin Leonard,21,39.928000000000004,838.49
42,43,43,Steve Marino,24,39.099000000000004,938.383
43,44,44,John Senden,24,39.059,937.4060000000001
44,45,45,Larry Mize,1,39.0,39.0
45,46,46,Mark Wilson,22,38.561,848.35
46,47,47,Paul Goydos,19,38.181999999999995,725.45
47,48,48,Padraig Harrington,16,37.979,607.6669999999999
48,49,49,John Mallinger,21,36.881,774.5
49,50,50,José María Olazábal,4,36.375,145.5
50,51,51,Ben Crane,20,36.35,727.0
51,52,52,Sergio Garcia,14,35.803000000000004,501.23900000000003
52,53,53,Jason Dufner,22,35.755,786.6
53,54,54,Woody Austin,19,35.125,667.38
54,55,55,Stephen Ames,17,34.821999999999996,591.98
55,56,56,John Merrick,22,34.626,761.7669999999999
56,57,57,Nathan Green,24,34.266999999999996,822.3969999999999
57,58,58,Vijay Singh,19,34.051,646.9630000000001
58,59,59,Bubba Watson,20,33.853,677.06
59,60,60,Chad Campbell,21,33.476,703.0
60,61,61,Jason Bohn,19,33.184,630.5
61,62,62,Roland Thatcher,11,33.121,364.333
62,63,63,Brett Quigley,23,33.032,759.725
63,64,64,Brian Davis,25,32.906,822.66
64,65,65,Kevin Stadler,17,32.764,556.98
65,66,66,Bo Van Pelt,23,32.289,742.6560000000001
66,67,67,Jonathan Byrd,18,32.27,580.854
67,68,68,Scott Verplank,20,32.04,640.805
68,69,69,J.B. Holmes,20,31.763,635.25
69,70,70,Kevin Sutherland,22,31.519000000000002,693.41
70,71,71,Mathew Goggin,21,31.503,661.563
71,72,72,Charlie Wi,22,31.055999999999997,683.2330000000001
72,73,73,Brandt Snedeker,20,30.842,616.8330000000001
73,74,74,Ben Curtis,16,30.656,490.5
74,75,75,Bob Estes,20,30.552,611.043
75,76,76,Briny Baird,23,30.236,695.429
76,77,77,Boo Weekley,20,29.480999999999998,589.626
77,78,78,Matt Kuchar,19,29.208000000000002,554.943
78,79,79,Jeff Overton,21,28.463,597.729
79,80,80,Brandt Jobe,8,28.375,227.0
80,81,81,Shigeki Maruyama,5,28.295,141.477
81,82,82,Jeff Klauk,23,28.037,644.862
82,83,83,J.J. Henry,24,27.36,656.63
83,84,84,Justin Rose,18,27.328000000000003,491.909
84,85,85,Michael Letzig,22,27.135,596.98
85,86,86,James Driscoll,16,26.741999999999997,427.87199999999996
86,87,87,Greg Chalmers,21,25.86,543.068
87,88,88,Matt Jones,14,25.214000000000002,353.0
88,89,89,Marc Leishman,22,24.885,547.467
89,90,90,Scott McCarron,23,24.625,566.37
90,91,91,K.J. Choi,20,24.583000000000002,491.667
91,92,92,Lee Janzen,20,24.538,490.755
92,93,93,Michael Allen,18,24.467,440.41
93,94,94,Nick O'Hern,21,24.393,512.25
94,95,95,Ted Purdy,24,24.177,580.25
95,96,96,Ryuji Imada,21,23.76,498.96
96,97,97,Cameron Beckman,20,23.429000000000002,468.583
97,98,98,Sandy Lyle,2,23.25,46.5
98,99,99,Bill Haas,23,23.241999999999997,534.577
99,100,100,Freddie Jacobson,18,23.198,417.561
100,101,101,Scott Piercy,23,23.079,530.82
101,102,102,D.A. Points,23,23.069000000000003,530.58
102,103,103,George McNeill,21,22.869,480.25
103,104,104,Mark Calcavecchia,18,22.808000000000003,410.55
104,105,105,Aaron Baddeley,19,22.660999999999998,430.56300000000005
105,106,106,Rod Pampling,20,22.624000000000002,452.473
106,107,107,D.J. Trahan,24,22.583000000000002,542.0
107,108,108,Webb Simpson,23,22.554000000000002,518.75
108,109,109,Kevin Streelman,23,22.531999999999996,518.239
109,110,110,Adam Scott,17,22.294,379.0
110,111,111,Chris Riley,17,22.158,376.68800000000005
111,112,112,James Nitties,23,22.05,507.149
112,113,113,Scott Hoch,1,22.0,22.0
113,114,114,Michael Bradley,14,21.864,306.093
114,115,115,Tim Petrovic,25,21.711,542.778
115,116,116,Ronnie Black,3,21.666999999999998,65.0
116,117,117,Robert Garrigus,20,21.63,432.59
117,118,118,Richard Johnson,20,20.855,417.1
118,119,119,Tom Lehman,14,20.332,284.65
119,120,120,Jeff Quinney,21,20.226,424.75300000000004
120,121,121,Tommy Armour III,15,20.15,302.25
121,122,122,Alex Cejka,21,19.599,411.577
122,123,123,Andres Romero,17,19.337,328.736
123,124,124,Daniel Chopra,23,19.175,441.023
124,125,125,Tim Herron,22,19.157,421.462
125,126,126,Trevor Immelman,13,19.076,247.99
126,127,127,Greg Owen,24,18.672,448.135
127,128,128,Charles Warren,18,18.325,329.843
128,129,129,Rocco Mediate,18,18.151,326.725
129,130,130,Bill Lunde,23,18.01,414.23
130,131,131,Garrett Willis,6,17.958,107.75
131,132,132,Matt Bettencourt,26,17.808,463.017
132,133,133,Steve Flesch,22,17.67,388.73
133,134,134,Harrison Frazar,23,17.408,400.375
134,135,135,David Mathis,22,17.144000000000002,377.175
135,136,136,Loren Roberts,3,16.333,49.0
136,137,137,Chris DiMarco,24,16.312,391.477
137,138,138,Scott Sterling,16,16.109,257.75
138,139,139,Vaughn Taylor,24,16.102999999999998,386.46
139,140,140,Corey Pavin,21,15.902000000000001,333.95
140,141,141,Ricky Barnes,19,15.789000000000001,299.992
141,142,142,Jeff Maggert,23,15.779000000000002,362.92
142,143,143,Chris Stroud,24,15.774000000000001,378.58
143,144,144,Rich Beem,22,15.763,346.792
144,145,145,Joe Ogilvie,24,15.544,373.065
145,146,146,Heath Slocum,23,15.423,354.74
146,147,147,David Duval,18,15.222000000000001,274.0
147,148,148,Patrick Sheehan,14,15.22,213.085
148,149,149,Todd Hamilton,24,15.187999999999999,364.5
149,150,150,Tag Ridings,15,14.657,219.86
150,151,151,Matt Weibring,18,14.652000000000001,263.742
151,152,152,Will MacKenzie,20,14.587,291.737
152,153,153,Jimmy Walker,20,14.189,283.785
153,154,154,Troy Matteson,25,14.151,353.765
154,155,155,Ryan Palmer,23,14.075,323.725
155,156,156,Spencer Levin,21,14.067,295.39799999999997
156,157,157,Ken Duke,25,14.065999999999999,351.65
157,158,158,Aron Price,23,13.802,317.444
158,159,159,Martin Laird,21,13.779000000000002,289.36
159,160,160,Stuart Appleby,22,13.725,301.95
160,161,161,Spike McRoy,1,13.5,13.5
161,162,162,Bart Bryant,17,13.345999999999998,226.89
162,163,163,Cliff Kresge,24,13.296,319.115
163,164,164,Jonathan Kaye,17,12.970999999999998,220.5
164,165,165,Jeff Sluman,2,12.625,25.25
165,166,166,Tim Wilkinson,14,12.623,176.72
166,167,167,Brendon de Jonge,25,12.617,315.435
167,168,168,Shaun Micheel,16,12.588,201.415
168,169,169,Glen Day,22,12.42,273.237
169,170,170,Chris Smith,3,12.292,36.875
