,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Tiger Woods,6,5030000
1,2,2,Steve Stricker,6,2346883
2,3,3,Padraig Harrington,6,2211258
3,4,4,Y.E. Yang,6,1701575
4,5,5,Heath Slocum,8,1659750
5,6,6,Matt Kuchar,6,1543200
6,7,7,Phil Mickelson,6,1522194
7,8,8,Jim Furyk,7,1490850
8,9,9,Ryan Moore,7,1225144
9,10,10,Sean O'Hair,6,1146750
10,11,11,Stephen Ames,7,1141863
11,12,12,Scott Verplank,6,1077750
12,13,13,Troy Matteson,6,1069650
13,14,14,Ernie Els,6,1050875
14,15,15,Zach Johnson,7,976733
15,16,16,Marc Leishman,7,972737
16,17,17,Robert Allenby,6,891363
17,18,18,Martin Laird,4,882705
18,19,19,Dustin Johnson,7,861306
19,20,20,Ángel Cabrera,6,853125
20,21,21,Jason Dufner,6,847594
21,22,22,Hunter Mahan,7,791629
22,23,23,George McNeill,6,783200
23,24,24,Justin Leonard,7,713488
24,25,25,John Senden,7,710675
25,26,26,Vaughn Taylor,5,685460
26,27,27,Sergio Garcia,6,679754
27,28,28,Lucas Glover,7,672099
28,29,29,Steve Marino,7,657000
29,30,30,Jason Bohn,7,649471
30,31,31,Mike Weir,7,648650
31,32,32,Brandt Snedeker,8,621784
32,33,33,Chad Campbell,7,614904
33,34,34,Bill Haas,7,612088
34,35,35,Tim Petrovic,8,599661
35,36,36,Kevin Na,5,595050
36,37,37,Lee Westwood,2,595000
37,38,38,Justin Rose,7,593465
38,39,39,Rickie Fowler,3,571090
39,40,40,Nick Watney,7,560069
40,41,41,Freddie Jacobson,8,535115
41,42,42,Tim Clark,8,527329
42,43,43,Jerry Kelly,7,525731
43,44,44,Kenny Perry,6,525438
44,45,45,Geoff Ogilvy,6,519816
45,46,46,Retief Goosen,6,515485
46,47,47,Webb Simpson,8,501325
47,48,48,Kevin Stadler,4,500700
48,49,49,David Toms,9,494083
49,50,50,Stewart Cink,6,490508
50,51,51,Rory McIlroy,2,474250
51,52,52,Ian Poulter,5,465885
52,53,53,Nick O'Hern,8,447776
53,54,54,Jamie Lovemark,3,440000
54,55,55,Luke Donald,6,429538
55,56,56,Kevin Sutherland,7,419303
56,57,57,Bo Van Pelt,9,413193
57,58,58,Brian Gay,8,398150
