,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Tiger Woods,17,158
1,2,2,Zach Johnson,26,316
2,3,3,Tim Clark,23,347
3,4,4,Hunter Mahan,25,356
4,5,5,Jonathan Byrd,25,373
5,6,6,Steve Stricker,22,374
6,7,7,Jason Day,18,400
7,8,8,Dustin Johnson,25,404
8,9,9,David Toms,27,415
9,10,10,Stephen Ames,23,420
10,11,11,John Senden,29,422
11,12,12,Justin Leonard,26,429
12,13,13,Bill Haas,29,431
13,14,14,Bo Van Pelt,30,443
14,15,15,Ben Crane,27,452
15,T16,T16,Chris Riley,22,456
16,T16,T16,Scott Verplank,24,456
17,18,18,Kenny Perry,24,461
18,19,19,Charley Hoffman,27,472
19,T20,T20,Lucas Glover,26,474
20,T20,T20,Matt Weibring,22,474
21,22,22,Sean O'Hair,23,484
22,23,23,Harrison Frazar,28,497
23,24,24,Nick Watney,24,498
24,25,25,Jim Furyk,23,500
25,26,26,Charlie Wi,28,506
26,27,27,Chad Campbell,26,509
27,28,28,Kevin Na,26,511
28,29,29,Bryce Molder,21,521
29,30,30,Mark Wilson,28,526
30,31,31,Steve Marino,29,532
31,32,32,Justin Rose,22,543
32,33,33,Phil Mickelson,18,544
33,34,34,Anthony Kim,22,550
34,35,35,Matt Kuchar,24,556
35,36,36,Chris Stroud,28,560
36,37,37,Jerry Kelly,26,561
37,38,38,George McNeill,26,564
38,39,39,Michael Letzig,28,565
39,40,40,Matt Jones,17,567
40,T41,T41,Robert Allenby,21,572
41,T41,T41,Camilo Villegas,21,572
42,T41,T41,Y.E. Yang,23,572
43,44,44,Kevin Sutherland,27,581
44,45,45,Marc Leishman,28,590
45,46,46,Retief Goosen,20,593
46,47,47,Martin Laird,24,594
47,48,48,Vaughn Taylor,28,599
48,49,49,Geoff Ogilvy,20,601
49,50,50,Sergio Garcia,17,603
50,51,51,Nick O'Hern,27,604
51,52,52,Briny Baird,28,606
52,53,53,Ryan Moore,27,608
53,54,54,Tag Ridings,16,609
54,55,55,Fred Couples,16,615
55,56,56,D.J. Trahan,30,617
56,57,57,Davis Love III,27,621
57,T58,T58,Robert Garrigus,25,625
58,T58,T58,Rory Sabbatini,25,625
59,T60,T60,Rod Pampling,23,626
60,T60,T60,Bubba Watson,24,626
61,62,62,Michael Allen,22,627
62,63,63,Greg Owen,30,628
63,64,64,Kevin Streelman,29,630
64,65,65,Mike Weir,24,632
65,66,66,Greg Chalmers,26,636
66,T67,T67,Jason Dufner,26,641
67,T67,T67,Nicholas Thompson,31,641
68,69,69,Daniel Chopra,28,651
69,70,70,Scott McCarron,27,652
70,71,71,Ernie Els,19,653
71,72,72,Brian Davis,32,654
72,73,73,Bill Lunde,27,655
73,74,74,Ted Purdy,30,659
74,75,75,Webb Simpson,30,662
75,76,76,J.J. Henry,28,665
76,77,77,John Rollins,27,670
77,78,78,Kris Blanks,20,672
78,79,79,Charles Warren,20,673
79,80,80,Joe Ogilvie,29,680
80,81,81,Heath Slocum,30,683
81,82,82,Jason Bohn,25,689
82,83,83,Alex Cejka,25,695
83,84,84,Woody Austin,24,696
84,85,85,Luke Donald,21,697
85,86,86,Scott Piercy,28,702
86,87,87,Pat Perez,22,703
87,88,88,Steve Elkington,23,704
88,89,89,Bob Heintz,20,711
89,90,90,Bob Estes,23,714
90,91,91,Brian Gay,27,715
91,92,92,Troy Matteson,30,721
92,T93,T93,D.A. Points,29,722
93,T93,T93,Dean Wilson,29,722
94,95,95,Brandt Snedeker,26,723
95,96,96,Ryan Palmer,26,727
96,97,97,James Nitties,27,728
97,98,98,Rich Beem,26,730
98,T99,T99,John Merrick,28,737
99,T99,T99,Kevin Stadler,20,737
100,101,101,Charles Howell III,29,744
101,102,102,Tim Herron,27,749
102,T103,T103,Cameron Beckman,26,751
103,T103,T103,Boo Weekley,22,751
104,105,105,Tim Petrovic,31,753
105,106,106,John Mallinger,27,757
106,107,107,Corey Pavin,23,759
107,108,108,Jimmy Walker,24,760
108,109,109,Ian Poulter,17,765
109,110,110,Patrick Sheehan,15,773
110,111,111,Aaron Baddeley,23,778
111,112,112,Ángel Cabrera,17,784
112,113,113,Joe Durant,20,792
113,114,114,Paul Goydos,25,793
114,115,115,Brendon de Jonge,29,800
115,116,116,Mathew Goggin,26,801
116,117,117,Stewart Cink,22,808
117,118,118,Jeff Klauk,29,809
118,119,119,Jeff Maggert,28,811
119,120,120,Brett Quigley,28,814
120,121,121,Andres Romero,20,816
121,122,122,Kirk Triplett,20,819
122,123,123,Chris DiMarco,29,822
123,124,124,Jeff Overton,28,828
124,T125,T125,Freddie Jacobson,25,834
125,T125,T125,Jay Williamson,22,834
126,127,127,Steve Flesch,27,840
127,128,128,Jeff Quinney,26,844
128,129,129,Padraig Harrington,20,845
129,T130,T130,Matt Bettencourt,31,850
130,T130,T130,Johnson Wagner,26,850
131,132,132,Tommy Armour III,19,851
132,133,133,Cliff Kresge,28,858
133,134,134,Tom Pernice Jr.,26,859
134,135,135,Vijay Singh,21,862
135,T136,T136,Chez Reavie,27,863
136,T136,T136,Darron Stiles,20,863
137,138,138,Lee Janzen,23,873
138,139,139,Scott Sterling,16,888
139,140,140,Peter Tomasulo,25,903
140,T141,T141,Mark Calcavecchia,23,914
141,T141,T141,David Duval,22,914
142,143,143,Jason Gore,24,916
143,144,144,Colt Knost,24,917
144,145,145,Casey Wittenberg,25,918
145,146,146,Steve Lowery,27,921
146,T147,T147,Brad Adamonis,25,930
147,T147,T147,Rocco Mediate,22,930
148,149,149,Richard Johnson,26,934
149,150,150,K.J. Choi,22,941
150,151,151,Spencer Levin,25,943
151,152,152,Aron Price,27,944
152,153,153,Ben Curtis,18,948
153,T154,T154,Ricky Barnes,23,952
154,T154,T154,Glen Day,26,952
155,156,156,Ryuji Imada,25,954
156,157,157,Carl Pettersson,29,958
157,158,158,David Mathis,27,965
158,159,159,Ken Duke,29,978
