,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Lucas Glover,3,1650.0
1,2,2,Stewart Cink,4,1291.096
2,3,3,Tiger Woods,4,1286.163
3,4,4,Phil Mickelson,3,873.53
4,5,5,Kenny Perry,4,734.943
5,6,6,Tom Watson,2,732.6030000000001
6,7,7,Chad Campbell,4,681.113
7,T8,T8,Ricky Barnes,1,559.83
8,T8,T8,David Duval,2,559.83
9,10,10,Hunter Mahan,4,527.4169999999999
10,11,11,John Merrick,3,393.44599999999997
11,12,12,Steve Stricker,4,337.53
12,13,13,Sean O'Hair,4,293.621
13,14,14,Jim Furyk,4,287.712
14,15,15,Steve Flesch,2,283.20099999999996
15,16,16,Dustin Johnson,4,235.7
16,17,17,Anthony Kim,4,209.78799999999998
17,18,18,Todd Hamilton,3,174.185
18,19,19,Zach Johnson,4,172.204
19,20,20,Justin Leonard,4,161.222
20,T21,T21,Matt Bettencourt,1,154.6
21,T21,T21,Ryan Moore,1,154.6
22,23,23,Nick Watney,4,152.79399999999998
23,24,24,Bubba Watson,4,129.558
24,25,25,Kevin Sutherland,4,126.654
25,26,26,Jeff Overton,2,123.25299999999999
26,27,27,Boo Weekley,4,114.601
27,28,28,Ben Curtis,4,113.12299999999999
28,T29,T29,Michael Allen,1,81.76
29,T29,T29,Corey Pavin,1,81.76
30,31,31,J.B. Holmes,3,71.833
31,32,32,Tom Lehman,3,59.422
32,33,33,Billy Mayfair,3,56.787
33,T34,T34,Scott McCarron,1,53.113
34,T34,T34,John Rollins,1,53.113
35,36,36,John Mallinger,2,48.318999999999996
36,T37,T37,Mark Calcavecchia,1,47.794
37,T37,T37,John Daly,2,47.794
38,T37,T37,Davis Love III,2,47.794
39,40,40,Rocco Mediate,2,46.608999999999995
40,41,41,Larry Mize,1,46.575
41,42,42,Ken Duke,4,38.625
42,T43,T43,Woody Austin,1,31.736
43,T43,T43,Fred Couples,2,31.736
44,45,45,David Toms,3,31.736
45,46,46,Steve Marino,2,31.176
46,47,47,Paul Goydos,2,29.353
47,48,48,Gary Woodland,1,27.409000000000002
48,49,49,Bryce Molder,1,25.539
49,T50,T50,Dudley Hart,1,25.5
50,T50,T50,D.J. Trahan,4,25.5
51,T52,T52,Rich Beem,1,21.113000000000003
52,T52,T52,Ben Crane,3,21.113000000000003
53,T52,T52,Kevin Na,1,21.113000000000003
54,55,55,Jeff Brehaut,1,20.63
55,56,56,Fred Funk,1,19.921
56,57,57,Mark O'Meara,2,15.547
57,58,58,Bob Tway,1,15.525
58,59,59,J.J. Henry,2,14.55
59,60,60,Gregory Bisconti,1,13.6
60,T61,T61,Bob Estes,1,13.3
61,T61,T61,Grant Sturgeon,1,13.3
