,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,,Tiger Woods,40,15.2,607.85,-475.4,604.54,USA
1,2,,Phil Mickelson,44,8.54,375.85,-335.82,367.29,USA
2,3,,Steve Stricker,45,6.89,310.02,-197.67,333.56,USA
3,4,,Lee Westwood,52,6.76,351.73,-203.36,299.54,ENG
4,5,,Padraig Harrington,53,5.75,304.76,-264.69,215.02,IRL
5,6,,Jim Furyk,50,5.7,285.03,-190.74,265.05,USA
6,7,,Paul Casey,44,5.55,244.05,-161.89,282.86,ENG
7,8,,Henrik Stenson,47,5.54,260.48,-216.84,234.25,SWE
8,9,,Rory McIlroy,57,4.97,283.19,-102.9,283.06,NIR
9,10,,Kenny Perry,52,4.91,255.3,-190.18,247.21,USA
10,11,,Sergio Garcia,52,4.88,253.77,-290.52,122.94,ESP
11,12,,Ian Poulter,51,4.75,242.13,-151.37,226.68,ENG
12,13,,Martin Kaymer,52,4.64,241.34,-155.73,225.58,GER
13,14,,Geoff Ogilvy,50,4.63,231.4,-210.03,228.29,AUS
14,15,,Stewart Cink,47,4.38,205.74,-175.55,192.59,USA
15,16,,Sean O'Hair,50,4.36,218.22,-137.76,241.54,USA
16,17,,Ernie Els,53,4.27,226.1,-221.08,189.91,RSA
17,18,,Ross Fisher,51,4.14,211.36,-128.22,188.34,ENG
18,19,,Retief Goosen,58,4.06,235.53,-135.32,239.1,RSA
19,20,,Lucas Glover,53,3.95,209.52,-78.96,234.68,USA
20,21,,Robert Allenby,60,3.95,237.01,-145.9,196.2,AUS
21,22,,Zach Johnson,52,3.75,194.84,-133.57,214.36,USA
22,23,,Camilo Villegas,52,3.66,190.37,-182.4,128.01,COL
23,24,,Anthony Kim,52,3.65,190.01,-174.74,137.91,USA
24,25,,Ángel Cabrera,50,3.6,179.92,-141.04,195.39,ARG
25,26,,Vijay Singh,46,3.5,161.14,-271.79,67.42,FIJ
26,27,,Robert Karlsson,42,3.29,138.35,-186.48,55.22,SWE
27,28,,Luke Donald,42,3.22,135.04,-119.53,139.23,ENG
28,29,,Hunter Mahan,53,3.18,168.56,-130.96,165.09,USA
29,30,,Ryo Ishikawa,54,3.1,167.36,-48.67,133.13,JPN
30,31,,Y.E. Yang,59,3.07,181.15,-40.41,203.03,KOR
31,32,,Nick Watney,54,3.02,163.01,-81.81,197.43,USA
32,33,,Yuta Ikeda,40,2.91,116.43,-15.58,114.15,JPN
33,34,,Adam Scott,47,2.86,134.49,-155.24,118.58,AUS
34,35,,Søren Kjeldsen,54,2.8,151.42,-109.14,128.67,DEN
35,36,,Mike Weir,51,2.78,141.58,-144.71,115.48,CAN
36,37,,Tim Clark,56,2.74,153.53,-128.15,126.11,RSA
37,38,,Graeme McDowell,55,2.66,146.25,-121.26,109.63,NIR
38,39,,Oliver Wilson,52,2.64,137.52,-109.51,108.14,ENG
39,40,,Francesco Molinari,56,2.64,147.79,-72.67,128.93,ITA
40,41,,David Toms,47,2.64,123.91,-73.63,142.26,USA
41,42,,Justin Leonard,52,2.51,130.72,-151.55,107.09,USA
42,43,,Simon Dyson,59,2.47,145.96,-69.2,139.85,ENG
43,44,,Brian Gay,60,2.46,147.57,-92.62,155.39,USA
44,45,,Michael Sim,40,2.45,98.03,-32.98,107.94,AUS
45,46,,Anders Hansen,49,2.43,119.09,-84.14,127.03,DEN
46,47,,Miguel Angel Jiménez,56,2.43,135.91,-147.41,102.6,ESP
