,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,1,Tiger Woods,17,52.38,3431.0,6550,5.0,11.0
1,2,2,Tom Watson,2,27.5,330.0,1200,,1.0
2,3,3,Steve Stricker,22,23.81,2155.0,9050,2.0,8.0
3,4,4,Phil Mickelson,18,23.45,1630.0,6950,2.0,6.0
4,5,5,Geoff Ogilvy,20,19.91,1603.0,8050,2.0,4.0
5,6,6,Kenny Perry,24,19.83,1993.0,10050,2.0,7.0
6,7,7,Paul Casey,12,19.52,1161.0,5950,1.0,3.0
7,8,8,Zach Johnson,26,19.14,2019.0,10550,2.0,7.0
8,9,9,Retief Goosen,20,18.13,1459.0,8050,1.0,4.0
9,10,10,Y.E. Yang,23,17.91,1621.0,9050,2.0,4.0
10,11,11,Lucas Glover,26,16.05,1742.0,10850,1.0,5.0
11,12,12,Sean O'Hair,23,15.44,1474.0,9550,1.0,6.0
12,13,13,Brian Gay,27,15.25,1540.0,10100,2.0,4.0
13,14,14,Ángel Cabrera,17,14.89,968.0,6500,1.0,2.0
14,15,15,Nick Watney,24,14.61,1388.0,9500,1.0,3.0
15,16,16,David Toms,27,13.8,1394.0,10100,,7.0
16,17,17,Stewart Cink,22,13.54,1225.0,9050,1.0,4.0
17,18,18,Jim Furyk,23,13.13,1188.0,9050,,7.0
18,19,19,Ian Poulter,17,12.86,907.0,7050,,4.0
19,20,20,Hunter Mahan,25,12.76,1282.0,10050,,6.0
20,21,21,Rory Sabbatini,25,12.18,1163.0,9550,1.0,4.0
21,22,22,John Rollins,27,11.83,1112.0,9400,1.0,4.0
22,23,23,Luke Donald,21,11.61,993.0,8550,,5.0
23,24,24,Dustin Johnson,25,11.49,1155.0,10050,1.0,4.0
24,25,25,Jerry Kelly,26,11.37,1068.0,9400,1.0,5.0
25,26,26,Tim Clark,23,10.83,980.0,9050,,4.0
26,27,27,Anthony Kim,22,10.57,957.0,9050,,3.0
27,28,28,Pat Perez,22,10.4,920.0,8850,1.0,2.0
28,29,29,Ryan Moore,27,10.39,1023.0,9850,1.0,4.0
29,30,30,Kevin Na,26,10.36,1021.0,9850,,8.0
30,31,31,Mike Weir,24,10.14,968.0,9550,,5.0
31,32,32,Robert Allenby,21,9.89,846.0,8550,,3.0
32,33,33,Camilo Villegas,21,9.79,886.0,9050,,3.0
33,34,34,Ernie Els,19,9.71,733.0,7550,,5.0
34,35,35,Charley Hoffman,27,9.63,963.0,10000,,3.0
35,36,36,Fred Couples,16,9.17,569.0,6200,,4.0
36,37,37,Bryce Molder,21,9.11,669.0,7350,,2.0
37,T38,T38,Scott Hoch,1,8.8,22.0,250,,
38,T38,T38,Len Mattiace,1,8.8,44.0,500,,
39,40,40,Charles Howell III,29,8.72,937.0,10750,,3.0
40,41,41,Mark Wilson,28,8.61,848.0,9850,1.0,2.0
41,42,42,Jason Day,18,8.56,599.0,7000,,2.0
42,43,43,Davis Love III,27,8.23,851.0,10350,,2.0
43,44,44,Steve Marino,29,8.2,938.0,11450,,4.0
44,45,45,Paul Goydos,25,8.11,725.0,8950,,3.0
45,46,46,John Senden,29,8.01,937.0,11700,,5.0
46,47,47,John Mallinger,27,7.98,775.0,9700,,4.0
47,48,48,Justin Leonard,26,7.95,838.0,10550,,5.0
48,49,49,Jason Dufner,26,7.79,787.0,10100,,5.0
49,50,50,Padraig Harrington,20,7.55,608.0,8050,,2.0
50,51,51,Kevin Stadler,20,7.43,557.0,7500,,1.0
51,52,52,Ben Crane,27,7.42,727.0,9800,,4.0
52,53,53,John Merrick,28,7.4,762.0,10300,,4.0
53,54,54,Nathan Green,30,7.38,822.0,11150,1.0,1.0
54,55,55,Brett Quigley,28,7.34,760.0,10350,,3.0
55,56,56,Woody Austin,24,7.29,667.0,9150,,3.0
56,57,57,Jonathan Byrd,25,7.26,581.0,8000,,2.0
57,T58,T58,Sergio Garcia,17,7.11,501.0,7050,,2.0
58,T58,T58,Bo Van Pelt,30,7.11,743.0,10450,1.0,4.0
59,60,60,Brian Davis,32,7.09,823.0,11600,,3.0
60,61,61,Jason Bohn,25,7.01,631.0,9000,,2.0
61,62,62,Stephen Ames,23,6.96,592.0,8500,,4.0
62,63,63,Roland Thatcher,16,6.94,364.0,5250,,2.0
63,64,64,José María Olazábal,4,6.93,146.0,2100,,1.0
64,65,65,Chad Campbell,26,6.86,703.0,10250,,2.0
65,66,66,Scott Verplank,24,6.82,641.0,9400,,4.0
66,67,67,Bubba Watson,24,6.8,677.0,9950,,2.0
67,68,68,Vijay Singh,21,6.77,647.0,9550,,3.0
68,69,69,Charlie Wi,28,6.54,683.0,10450,,3.0
69,T70,T70,Ronnie Black,3,6.5,65.0,1000,,
70,T70,T70,Larry Mize,1,6.5,39.0,600,,
71,72,72,J.B. Holmes,25,6.45,635.0,9850,,2.0
72,73,73,Bob Estes,23,6.37,611.0,9600,,2.0
73,74,74,Mathew Goggin,26,6.36,662.0,10400,,3.0
74,75,75,Kevin Sutherland,27,6.3,693.0,11000,,2.0
75,76,76,Shigeki Maruyama,5,6.29,141.0,2250,,1.0
76,77,77,Briny Baird,28,6.21,695.0,11200,,3.0
77,78,78,Jeff Klauk,29,6.14,645.0,10500,,2.0
78,79,79,Matt Kuchar,24,6.13,555.0,9050,,2.0
79,80,80,Ben Curtis,18,6.09,491.0,8050,,1.0
80,81,81,Brandt Snedeker,26,6.08,617.0,10150,,4.0
81,82,82,Jeff Overton,28,6.01,598.0,9950,,3.0
82,83,83,Michael Letzig,28,5.97,597.0,10000,,2.0
83,84,84,Boo Weekley,22,5.87,590.0,10050,,1.0
84,85,85,J.J. Henry,28,5.86,657.0,11200,,3.0
85,86,86,Matt Jones,17,5.79,353.0,6100,,2.0
86,87,87,Greg Chalmers,26,5.72,543.0,9500,,2.0
87,88,88,Brandt Jobe,8,5.68,227.0,4000,,
88,89,89,James Driscoll,17,5.63,428.0,7600,,1.0
89,90,90,Marc Leishman,28,5.47,547.0,10000,,2.0
90,T91,T91,Michael Allen,22,5.44,440.0,8100,,1.0
91,T91,T91,Justin Rose,22,5.44,492.0,9050,,1.0
92,93,93,Spike McRoy,1,5.4,14.0,250,,
93,94,94,Nick O'Hern,27,5.36,512.0,9550,,1.0
94,95,95,Lee Janzen,23,5.31,491.0,9250,,2.0
95,96,96,Scott McCarron,27,5.22,566.0,10850,,3.0
96,97,97,Scott Piercy,28,5.18,531.0,10250,,2.0
97,98,98,Ted Purdy,30,5.16,580.0,11250,,1.0
98,99,99,George McNeill,26,5.14,480.0,9350,,1.0
99,100,100,Bill Haas,29,5.09,535.0,10500,,3.0
100,101,101,Cameron Beckman,26,5.07,469.0,9250,,2.0
101,T102,T102,Michael Bradley,17,5.02,306.0,6100,1.0,1.0
102,T102,T102,Chris Riley,22,5.02,377.0,7500,,1.0
103,104,104,Freddie Jacobson,25,5.0,418.0,8350,,2.0
104,105,105,D.A. Points,29,4.94,531.0,10750,,3.0
105,T106,T106,K.J. Choi,22,4.89,492.0,10050,,1.0
106,T106,T106,Kevin Streelman,29,4.89,518.0,10600,,2.0
107,108,108,Garrett Willis,6,4.79,108.0,2250,,
108,109,109,Ryuji Imada,25,4.77,499.0,10450,,
109,110,110,Aaron Baddeley,23,4.76,431.0,9050,,2.0
110,111,111,Webb Simpson,30,4.72,519.0,11000,,2.0
111,112,112,Rod Pampling,23,4.69,452.0,9650,,2.0
112,113,113,Tim Petrovic,31,4.68,543.0,11600,,4.0
