,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Tiger Woods,13,3431.0,5.0,11.0,,
1,2,2,Steve Stricker,18,2155.0,2.0,8.0,1276.0,
2,3,3,Zach Johnson,21,2019.0,2.0,7.0,1412.0,
3,4,4,Kenny Perry,20,1993.0,2.0,7.0,1438.0,
4,5,5,Lucas Glover,22,1742.0,1.0,5.0,1689.0,
5,6,6,Phil Mickelson,14,1630.0,2.0,6.0,1801.0,
6,7,7,Y.E. Yang,19,1621.0,2.0,4.0,1810.0,
7,8,8,Geoff Ogilvy,16,1603.0,2.0,4.0,1828.0,
8,9,9,Brian Gay,21,1540.0,2.0,4.0,1891.0,
9,10,10,Sean O'Hair,19,1474.0,1.0,6.0,1957.0,
10,11,11,Retief Goosen,16,1459.0,1.0,4.0,1972.0,
11,12,12,David Toms,21,1394.0,,7.0,2037.0,
12,13,13,Nick Watney,19,1388.0,1.0,3.0,2043.0,
13,14,14,Hunter Mahan,20,1282.0,,6.0,2149.0,
14,15,15,Stewart Cink,18,1225.0,1.0,4.0,2206.0,
15,16,16,Jim Furyk,18,1188.0,,7.0,2243.0,
16,17,17,Rory Sabbatini,19,1163.0,1.0,4.0,2268.0,
17,18,18,Paul Casey,12,1161.0,1.0,3.0,2270.0,
18,19,19,Dustin Johnson,20,1155.0,1.0,4.0,2276.0,
19,20,20,John Rollins,21,1112.0,1.0,4.0,2319.0,
20,21,21,Jerry Kelly,21,1068.0,1.0,5.0,2363.0,
21,22,22,Ryan Moore,21,1023.0,1.0,4.0,2408.0,
22,23,23,Kevin Na,22,1021.0,,8.0,2410.0,
23,24,24,Luke Donald,17,993.0,,5.0,2438.0,
24,25,25,Tim Clark,18,980.0,,4.0,2451.0,
25,26,26,Mike Weir,19,968.0,,5.0,2463.0,
26,27,27,Ángel Cabrera,13,968.0,1.0,2.0,2463.0,
27,28,28,Charley Hoffman,21,963.0,,3.0,2468.0,
28,29,29,Anthony Kim,18,957.0,,3.0,2474.0,
29,30,30,Steve Marino,24,938.0,,4.0,2493.0,
30,31,31,John Senden,24,937.0,,5.0,2494.0,
31,32,32,Charles Howell III,23,937.0,,3.0,2494.0,
32,33,33,Pat Perez,18,920.0,1.0,2.0,2511.0,
33,34,34,Ian Poulter,14,907.0,,4.0,2524.0,
34,35,35,Camilo Villegas,18,886.0,,3.0,2545.0,
35,36,36,Davis Love III,21,851.0,,2.0,2580.0,
36,37,37,Mark Wilson,22,848.0,1.0,2.0,2583.0,
37,38,38,Robert Allenby,17,846.0,,3.0,2585.0,
38,39,39,Justin Leonard,21,838.0,,5.0,2593.0,
39,40,40,Brian Davis,25,823.0,,3.0,2608.0,
40,41,41,Nathan Green,24,822.0,1.0,1.0,2609.0,
41,42,42,Jason Dufner,22,787.0,,5.0,2644.0,
42,43,43,John Mallinger,21,775.0,,4.0,2656.0,
43,44,44,John Merrick,22,762.0,,4.0,2669.0,
44,45,45,Brett Quigley,23,760.0,,3.0,2671.0,
45,46,46,Bo Van Pelt,23,743.0,1.0,4.0,2688.0,
46,47,47,Ernie Els,15,733.0,,5.0,2698.0,
47,48,48,Ben Crane,20,727.0,,4.0,2704.0,
48,49,49,Paul Goydos,19,725.0,,3.0,2706.0,
49,50,50,Chad Campbell,21,703.0,,2.0,2728.0,
50,51,51,Briny Baird,23,695.0,,3.0,2736.0,
51,52,52,Kevin Sutherland,22,693.0,,2.0,2738.0,
52,53,53,Charlie Wi,22,683.0,,3.0,2748.0,
53,54,54,Bubba Watson,20,677.0,,2.0,2754.0,
