,Scoring_Rating_RANK THIS WEEK,Scoring_Rating_RANK LAST WEEK,Scoring_Rating_PLAYER NAME,Scoring_Rating_EVENTS,Scoring_Rating_RATING
0,1,1,Tiger Woods,12,9.0
1,2,2,Todd Fischer,1,8.8
2,3,3,Chris Baryla,1,8.6
3,3,3,Padraig Harrington,10,8.6
4,3,3,Shigeki Maruyama,1,8.6
5,3,3,Steve Stricker,15,8.6
6,7,7,Jamie Lovemark,2,8.5
7,7,7,Arron Oberholser,2,8.5
8,9,9,Thomas Aiken,1,8.4
9,9,9,Paul Casey,6,8.4
10,9,9,Tim Clark,14,8.4
11,9,9,Fred Couples,9,8.4
12,9,9,Jim Furyk,15,8.4
13,9,9,Zach Johnson,19,8.4
14,9,9,Matt Kuchar,16,8.4
15,9,9,Neal Lancaster,1,8.4
16,9,9,Steve Marino,17,8.4
17,9,9,Kevin Na,17,8.4
18,9,9,Sean O'Hair,12,8.4
19,9,9,Jeff Sluman,1,8.4
20,9,9,Brandt Snedeker,13,8.4
21,22,22,Stephen Ames,12,8.3
22,22,22,Ángel Cabrera,7,8.3
23,22,22,Scott Hoch,1,8.3
24,22,22,Brandt Jobe,6,8.3
25,22,22,Danny Lee,5,8.3
26,22,22,Justin Leonard,18,8.3
27,22,22,George McNeill,15,8.3
28,22,22,Bryce Molder,10,8.3
29,22,22,Ryan Moore,14,8.3
30,22,22,Tim Petrovic,16,8.3
31,22,22,Scott Piercy,14,8.3
32,22,22,Ian Poulter,9,8.3
33,22,22,Justin Rose,12,8.3
34,22,22,Rory Sabbatini,14,8.3
35,22,22,Charl Schwartzel,2,8.3
36,22,22,John Senden,20,8.3
37,22,22,Hideto Tanihara,1,8.3
38,22,22,Nick Watney,16,8.3
39,22,22,Matt Weibring,9,8.3
40,41,41,Woody Austin,16,8.2
41,41,41,Marco Dawson,1,8.2
42,41,41,Luke Donald,15,8.2
43,41,41,Ernie Els,13,8.2
44,41,41,Lucas Glover,18,8.2
45,41,41,Bill Haas,15,8.2
46,41,41,Charley Hoffman,20,8.2
47,41,41,Dustin Johnson,14,8.2
48,41,41,James Kingston,1,8.2
49,41,41,Cliff Kresge,9,8.2
50,41,41,Tom Lehman,7,8.2
51,41,41,Jeff Maggert,11,8.2
52,41,41,Hunter Mahan,18,8.2
53,41,41,Spike McRoy,1,8.2
54,41,41,Phil Mickelson,11,8.2
55,41,41,Francesco Molinari,1,8.2
56,41,41,Geoff Ogilvy,14,8.2
57,41,41,Rod Pampling,13,8.2
58,41,41,Kenny Perry,18,8.2
59,41,41,Webb Simpson,16,8.2
60,41,41,David Toms,19,8.2
61,41,41,Omar Uresti,2,8.2
62,41,41,Bo Van Pelt,17,8.2
63,41,41,Scott Verplank,18,8.2
64,41,41,Lee Westwood,3,8.2
65,41,41,Garrett Willis,3,8.2
66,41,41,Dean Wilson,11,8.2
67,68,68,Robert Allenby,12,8.1
68,68,68,Aaron Baddeley,10,8.1
69,68,68,Kris Blanks,7,8.1
70,68,68,Jonathan Byrd,17,8.1
71,68,68,Tom Byrum,1,8.1
72,68,68,Chad Campbell,16,8.1
73,68,68,Alex Cejka,14,8.1
74,68,68,Greg Chalmers,13,8.1
75,68,68,Brian Davis,18,8.1
76,68,68,Jason Day,11,8.1
77,68,68,Graham DeLaet,1,8.1
78,68,68,Bob Estes,14,8.1
79,68,68,Sergio Garcia,10,8.1
80,68,68,Mathew Goggin,11,8.1
81,68,68,Scott Gutschewski,3,8.1
82,68,68,J.P. Hayes,4,8.1
83,68,68,Charles Howell III,18,8.1
