,Last_5_Events_-_Putting_RANK THIS WEEK,Last_5_Events_-_Putting_RANK LAST WEEK,Last_5_Events_-_Putting_PLAYER NAME,Last_5_Events_-_Putting_EVENTS,Last_5_Events_-_Putting_RATING
0,1,1,Todd Fischer,1,9.4
1,2,2,George McNeill,2,9.1
2,3,3,Aaron Baddeley,2,9.0
3,T4,T4,Mathias Grönberg,2,8.9
4,T4,T4,Wen-Tang Lin,1,8.9
5,T4,T4,Martin Piller,1,8.9
6,T4,T4,Jimmy Walker,2,8.9
7,T8,T8,Nick Dougherty,1,8.8
8,T8,T8,Todd Hamilton,1,8.8
9,T10,T10,Ronnie Black,2,8.7
10,T10,T10,Wil Collins,1,8.7
11,T10,T10,Richard Finch,1,8.7
12,T10,T10,Bob Heintz,4,8.7
13,T10,T10,Miguel Angel Jiménez,1,8.7
14,T10,T10,Matt Kuchar,3,8.7
15,T10,T10,Jesper Parnevik,1,8.7
16,T10,T10,Loren Roberts,2,8.7
17,T10,T10,Omar Uresti,1,8.7
18,T10,T10,Charlie Wi,2,8.7
19,20,20,Pat Perez,3,8.6
20,T21,T21,Thomas Aiken,1,8.5
21,T21,T26,Tim Clark,3,8.5
22,T21,T21,Greg Kraft,1,8.5
23,T21,T21,Shigeki Maruyama,1,8.5
24,T21,T21,José María Olazábal,3,8.5
25,T21,T21,Michael Sim,1,8.5
26,T27,T26,Michael Allen,2,8.4
27,T27,T26,Daniel Chopra,4,8.4
28,T27,T26,Jamie Lovemark,2,8.4
29,T27,T26,Rocco Mediate,2,8.4
30,T27,T26,Ryan Palmer,3,8.4
31,T27,T130,Kenny Perry,2,8.4
32,T27,T26,Webb Simpson,3,8.4
33,T27,T26,Lee Westwood,1,8.4
34,T27,T26,Azuma Yano,2,8.4
35,T36,T35,Stephen Ames,4,8.3
36,T36,T35,Guy Boros,3,8.3
37,T36,T35,Christian Cévaër,1,8.3
38,T36,T35,José Coceres,1,8.3
39,T36,T35,Ben Crane,5,8.3
40,T36,T35,Brian Davis,3,8.3
41,T36,T35,Jason Day,5,8.3
42,T36,T35,Padraig Harrington,3,8.3
43,T36,T35,Prayad Marksaeng,1,8.3
44,T36,T35,Alan Morin,1,8.3
45,T36,T35,Leif Olson,1,8.3
46,T36,T35,Dicky Pride,2,8.3
47,T36,T35,Peter Tomasulo,1,8.3
48,T36,T35,Bo Van Pelt,5,8.3
49,T50,T49,Rich Beem,3,8.2
50,T50,T49,Tom Byrum,1,8.2
51,T50,T49,Robert Floyd,1,8.2
52,T50,T49,Rickie Fowler,3,8.2
53,T50,T49,Tadd Fujikawa,2,8.2
54,T50,T49,Jim Furyk,4,8.2
55,T50,T49,Freddie Jacobson,4,8.2
56,T50,T49,Scott McCarron,3,8.2
57,T50,T49,Jack Newman,1,8.2
58,T50,T49,Corey Pavin,4,8.2
59,T50,T49,Jeff Quinney,2,8.2
60,T50,T49,Rory Sabbatini,2,8.2
61,T50,T49,Steve Stricker,3,8.2
62,T50,T49,Hideto Tanihara,1,8.2
63,T50,T49,Aaron Watkins,1,8.2
64,T50,T49,Garrett Willis,3,8.2
65,T66,T65,Craig Barlow,1,8.1
66,T66,T65,Greg Chalmers,4,8.1
67,T66,T65,Darren Clarke,1,8.1
68,T66,T65,Chris Couch,2,8.1
69,T66,T65,Bob Estes,3,8.1
70,T66,T65,David Gossett,1,8.1
71,T66,T65,Robert Karlsson,2,8.1
72,T66,T65,Luke List,1,8.1
73,T66,T65,Graeme McDowell,1,8.1
74,T66,T65,Kevin Na,4,8.1
75,T66,T65,James Nitties,2,8.1
76,T66,T65,Tom Pernice Jr.,3,8.1
77,T66,T65,Tim Petrovic,3,8.1
78,T66,T65,Chez Reavie,4,8.1
79,T66,T65,Tag Ridings,2,8.1
80,T66,T65,Andres Romero,3,8.1
81,T66,T65,Reinier Saxton,1,8.1
82,T66,T65,Chris Stroud,3,8.1
83,T66,T65,Scott Verplank,4,8.1
84,T66,T65,Matt Weibring,3,8.1
85,T86,T85,Tyler Aldridge,1,8.0
86,T86,T85,Chris Baryla,1,8.0
