,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Tiger Woods,21,"$7,537,625"
1,2,2,Phil Mickelson,30,"$5,006,971"
2,3,4,David Toms,31,"$3,932,239"
3,4,3,Vijay Singh,30,"$3,925,313"
4,5,5,Ernie Els,18,"$3,291,895"
5,6,6,Rich Beem,32,"$3,168,365"
6,7,7,Jerry Kelly,31,"$3,039,389"
7,8,8,Chris DiMarco,30,"$2,776,430"
8,9,9,Retief Goosen,16,"$2,759,504"
9,10,10,Justin Leonard,26,"$2,738,235"
10,11,20,Shigeki Maruyama,25,"$2,714,794"
11,12,11,Charles Howell III,32,"$2,702,747"
12,13,12,Jim Furyk,27,"$2,553,250"
13,14,13,Fred Funk,30,"$2,440,571"
14,15,14,Sergio Garcia,22,"$2,401,993"
15,16,15,Davis Love III,28,"$2,356,160"
16,17,16,Nick Price,19,"$2,319,662"
17,18,21,K.J. Choi,28,"$2,317,407"
18,19,17,Jeff Sluman,33,"$2,316,437"
19,20,18,Rocco Mediate,24,"$2,290,676"
20,21,19,Len Mattiace,29,"$2,251,564"
21,22,22,Robert Allenby,27,"$2,115,771"
22,23,23,Bob Estes,27,"$2,067,100"
23,24,24,Chris Riley,28,"$2,032,979"
24,25,25,José María Olazábal,20,"$1,987,027"
25,26,26,Scott McCarron,30,"$1,982,964"
26,27,29,Padraig Harrington,12,"$1,962,347"
27,28,27,John Rollins,34,"$1,956,565"
28,29,28,Kenny Perry,27,"$1,928,598"
29,30,30,Loren Roberts,25,"$1,919,047"
30,31,31,Steve Lowery,28,"$1,882,553"
31,32,32,Brad Faxon,26,"$1,880,922"
32,33,33,Stuart Appleby,28,"$1,729,459"
33,34,34,John Cook,26,"$1,709,095"
34,35,36,Craig Perks,29,"$1,649,792"
35,36,35,Phil Tataurangi,25,"$1,643,686"
36,37,37,Kevin Sutherland,28,"$1,569,529"
37,38,38,Scott Hoch,23,"$1,527,673"
38,39,40,Craig Parry,22,"$1,513,735"
39,40,39,Peter Lonard,25,"$1,513,113"
40,41,41,Jonathan Byrd,32,"$1,462,713"
41,42,42,Pat Perez,30,"$1,451,726"
42,43,43,John Huston,27,"$1,429,053"
43,44,44,Chris Smith,31,"$1,391,094"
44,45,45,Lee Janzen,30,"$1,377,740"
45,46,46,Matt Kuchar,28,"$1,367,725"
46,47,47,Billy Andrade,31,"$1,365,707"
47,48,48,Mark O'Meara,27,"$1,355,132"
48,49,49,Dan Forsman,25,"$1,305,790"
49,50,51,Stephen Ames,29,"$1,295,787"
50,51,50,Mark Calcavecchia,28,"$1,286,259"
51,52,52,Ian Leggatt,30,"$1,282,548"
52,53,53,David Peoples,30,"$1,243,774"
53,54,54,Dudley Hart,27,"$1,227,330"
54,55,55,Scott Verplank,27,"$1,217,022"
55,56,56,Bob Burns,30,"$1,199,802"
56,57,57,Steve Flesch,32,"$1,192,341"
57,58,58,Bob Tway,28,"$1,160,399"
58,59,59,Steve Elkington,24,"$1,154,535"
59,60,60,Matt Gogel,25,"$1,089,482"
60,61,61,Luke Donald,30,"$1,088,205"
61,62,62,Jonathan Kaye,27,"$1,082,803"
62,63,63,Joel Edwards,28,"$1,077,651"
63,64,72,Rory Sabbatini,24,"$994,164"
64,65,65,Michael Campbell,13,"$988,000"
65,66,64,Brandt Jobe,28,"$972,479"
66,67,66,Stewart Cink,29,"$967,962"
67,68,67,Jesper Parnevik,27,"$964,304"
68,69,68,Geoff Ogilvy,27,"$957,184"
69,70,69,J.L. Lewis,31,"$957,182"
70,71,70,J.P. Hayes,24,"$955,271"
71,72,71,Tim Herron,30,"$954,917"
72,73,73,Brian Gay,34,"$926,735"
73,74,74,Fred Couples,21,"$926,703"
74,75,75,Ben Crane,30,"$921,076"
75,76,76,Duffy Waldorf,27,"$909,003"
76,77,77,Cameron Beckman,26,"$907,740"
77,78,83,Mike Weir,26,"$881,390"
78,79,78,Tom Lehman,22,"$868,632"
79,80,79,Billy Mayfair,31,"$864,745"
80,81,80,Heath Slocum,32,"$864,615"
81,82,81,Jeff Maggert,28,"$863,198"
82,83,82,Glen Day,31,"$859,930"
83,84,84,Kirk Triplett,25,"$843,273"
84,85,85,David Duval,25,"$838,045"
85,86,86,Chad Campbell,34,"$825,474"
86,87,87,Briny Baird,33,"$817,514"
87,88,88,Neal Lancaster,31,"$813,230"
88,89,89,Jim Carter,29,"$812,346"
89,90,90,Robert Gamez,21,"$807,892"
90,91,91,David Gossett,30,"$806,308"
91,92,101,Ángel Cabrera,14,"$797,946"
92,93,92,Tim Petrovic,31,"$797,206"
93,94,93,Joey Sindelar,32,"$790,750"
94,95,94,Steve Stricker,22,"$789,713"
95,96,99,Esteban Toledo,33,"$781,713"
96,97,95,Bernhard Langer,18,"$779,395"
97,98,96,Rod Pampling,29,"$776,903"
98,99,97,Paul Azinger,21,"$769,926"
99,100,98,Darren Clarke,12,"$769,811"
100,101,100,Hidemichi Tanaka,31,"$766,423"
101,102,102,Frank Lickliter II,30,"$740,460"
102,103,103,Mark Brooks,32,"$731,671"
103,104,104,Harrison Frazar,28,"$731,295"
104,105,105,Jay Haas,24,"$722,782"
105,106,106,Gene Sauers,11,"$715,605"
106,107,112,Tim Clark,24,"$690,109"
107,108,202,Toshi Izawa,8,"$669,204"
108,109,107,Skip Kendall,31,"$653,594"
109,110,108,Carlos Franco,31,"$652,147"
110,111,109,Tom Pernice Jr.,31,"$645,110"
111,112,110,Shaun Micheel,30,"$641,450"
112,113,111,Greg Chalmers,31,"$640,898"
113,114,113,Notah Begay III,26,"$624,026"
114,115,114,Tom Byrum,23,"$620,280"
115,116,115,Spike McRoy,25,"$616,814"
116,117,116,Andrew Magee,29,"$616,785"
117,118,117,Olin Browne,33,"$615,828"
118,119,118,John Daly,21,"$593,595"
119,120,119,Brent Geiberger,29,"$582,592"
120,121,120,John Senden,30,"$578,613"
121,122,121,"David Berganio, Jr.",30,"$573,151"
122,123,122,J.J. Henry,34,"$569,875"
123,124,123,Carl Paulson,28,"$568,924"
124,125,124,Paul Stankowski,31,"$565,294"
125,126,125,Glen Hnatiuk,28,"$558,940"
126,127,126,Greg Norman,14,"$558,488"
127,128,127,Per-Ulrik Johansson,27,"$556,064"
128,129,129,Thomas Levet,4,"$549,936"
129,130,128,Pat Bates,29,"$537,284"
130,131,130,Craig Barlow,22,"$528,569"
131,132,131,Jay Williamson,30,"$515,445"
132,133,132,David Frost,29,"$509,845"
133,134,133,Craig Stadler,22,"$505,778"
134,135,134,Deane Pappas,35,"$498,404"
135,136,135,Jay Don Blake,34,"$495,066"
136,137,136,Kent Jones,34,"$493,879"
137,138,137,Kaname Yokoo,28,"$490,473"
138,139,138,Colin Montgomerie,12,"$481,095"
139,140,139,Peter Jacobsen,23,"$479,123"
140,141,147,Adam Scott,11,"$478,907"
141,142,140,Thomas Bjørn,10,"$470,004"
142,143,141,Mike Sposa,35,"$467,418"
143,144,142,Kenneth Staton,37,"$457,816"
144,145,143,Paul Gow,36,"$448,752"
145,146,144,Frank Nobilo,30,"$447,324"
