,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,1,1,Tiger Woods,18,13,5.0,2.0,2.0
1,T2,T2,Phil Mickelson,26,12,2.0,1.0,5.0
2,T2,T2,David Toms,27,12,,3.0,1.0
3,4,4,Vijay Singh,28,11,2.0,,2.0
4,T5,T5,Jim Furyk,25,9,1.0,,
5,T5,T5,Sergio Garcia,21,9,1.0,,
6,T7,T7,Robert Allenby,27,8,,2.0,1.0
7,T7,T7,Bob Estes,26,8,1.0,,
8,T7,T7,Jerry Kelly,29,8,2.0,,
9,T7,T7,Nick Price,18,8,1.0,,
10,T11,T11,K.J. Choi,27,7,2.0,,
11,T11,T11,Chris DiMarco,29,7,1.0,1.0,
12,T11,T11,Ernie Els,18,7,2.0,,
13,T11,T11,Steve Flesch,32,7,,,
14,T11,T11,Fred Funk,29,7,,4.0,
15,T11,T11,Scott Hoch,21,7,,1.0,
16,T11,T11,Charles Howell III,32,7,1.0,1.0,1.0
17,T11,T11,Justin Leonard,26,7,1.0,1.0,
18,T11,T11,José María Olazábal,20,7,1.0,,1.0
19,T20,T20,John Cook,25,6,,2.0,
20,T20,T20,Davis Love III,26,6,,2.0,
21,T20,T20,Pat Perez,30,6,,2.0,
22,T20,T20,Kenny Perry,27,6,,2.0,1.0
23,T20,T20,John Rollins,34,6,1.0,,
24,T20,T20,Jeff Sluman,32,6,1.0,1.0,
25,T20,T20,Bob Tway,28,6,,,
26,T27,T27,Billy Andrade,31,5,,1.0,
27,T27,T27,Rich Beem,30,5,2.0,1.0,
28,T27,T27,Mark Calcavecchia,25,5,,1.0,
29,T27,T27,Brad Faxon,25,5,,2.0,1.0
30,T27,T27,Harrison Frazar,28,5,,,
31,T27,T27,Retief Goosen,15,5,1.0,2.0,
32,T27,T27,John Huston,26,5,,,1.0
33,T27,T27,Steve Lowery,28,5,,3.0,
34,T27,T27,Shigeki Maruyama,24,5,1.0,,
35,T27,T27,Scott McCarron,28,5,,2.0,
36,T27,T27,Chris Riley,28,5,1.0,,1.0
37,T27,T27,Loren Roberts,25,5,1.0,2.0,
38,T27,T27,Chris Smith,30,5,1.0,,
39,T40,T40,Stephen Ames,28,4,,1.0,
40,T40,T40,Stuart Appleby,28,4,,2.0,
41,T40,T40,Jonathan Byrd,32,4,1.0,,1.0
42,T40,T40,Ángel Cabrera,13,4,,,
43,T40,T40,Jim Carter,29,4,,,
44,T40,T40,Stewart Cink,27,4,,,
45,T40,T40,Joel Edwards,28,4,,,
46,T40,T40,Dan Forsman,25,4,1.0,,
47,T40,T40,Robert Gamez,21,4,,1.0,1.0
48,T40,T40,Brian Gay,34,4,,1.0,
49,T40,T40,Padraig Harrington,9,4,,,
50,T40,T40,Lee Janzen,29,4,,,1.0
51,T40,T40,Jonathan Kaye,27,4,,2.0,
52,T40,T40,Matt Kuchar,27,4,1.0,,
53,T40,T40,J.L. Lewis,31,4,,1.0,
54,T40,T40,Peter Lonard,24,4,,,1.0
55,T40,T40,Len Mattiace,28,4,2.0,,1.0
56,T40,T40,Rocco Mediate,23,4,1.0,,2.0
57,T40,T40,David Peoples,30,4,,2.0,
58,T40,T40,Rory Sabbatini,23,4,,1.0,
59,T40,T40,Phil Tataurangi,25,4,1.0,,
60,T40,T40,Scott Verplank,26,4,,,
61,T40,T40,Duffy Waldorf,27,4,,,
62,T63,T63,Tommy Armour III,30,3,,,
63,T63,T63,Craig Barlow,22,3,,,1.0
64,T63,T63,Pat Bates,29,3,,,
65,T63,T63,Cameron Beckman,26,3,,,1.0
66,T63,T63,Notah Begay III,26,3,,,1.0
67,T63,T63,Tom Byrum,23,3,,,
68,T63,T63,Tim Clark,23,3,,,
69,T63,T63,Steve Elkington,23,3,,1.0,1.0
70,T63,T63,Matt Gogel,25,3,1.0,,
71,T63,T63,David Gossett,29,3,,1.0,
72,T63,T63,Dudley Hart,26,3,,1.0,
73,T63,T63,J.P. Hayes,24,3,1.0,,
74,T63,T63,Tim Herron,30,3,,1.0,
75,T63,T63,Peter Jacobsen,21,3,,,
76,T63,T63,Brandt Jobe,28,3,,1.0,1.0
77,T63,T63,Neal Lancaster,31,3,,1.0,
78,T63,T63,Ian Leggatt,29,3,1.0,,
79,T63,T63,Tom Lehman,22,3,,,
80,T63,T63,Billy Mayfair,31,3,,,
81,T63,T63,Spike McRoy,25,3,1.0,,
82,T63,T63,Geoff Ogilvy,27,3,,1.0,
83,T63,T63,Rod Pampling,29,3,,,
84,T63,T63,Craig Perks,28,3,1.0,,
85,T63,T63,Joey Sindelar,32,3,,1.0,
86,T63,T63,Kevin Sutherland,28,3,1.0,,
87,T63,T63,Esteban Toledo,32,3,,1.0,
88,T63,T63,Kirk Triplett,25,3,,,1.0
89,T90,T90,Paul Azinger,20,2,,,
90,T90,T90,Briny Baird,33,2,,,1.0
91,T90,T90,Mark Brooks,32,2,,,2.0
92,T90,T90,Olin Browne,33,2,,,
93,T90,T90,Bob Burns,30,2,1.0,,1.0
94,T90,T90,Chad Campbell,34,2,,,1.0
95,T90,T90,Michael Campbell,11,2,,1.0,
96,T90,T90,Greg Chalmers,31,2,,,
97,T90,T90,Darren Clarke,11,2,,1.0,
98,T90,T90,Fred Couples,18,2,,1.0,
99,T90,T90,Ben Crane,30,2,,1.0,
100,T90,T90,John Daly,21,2,,,
101,T90,T90,Glen Day,31,2,,1.0,1.0
102,T90,T90,David Duval,24,2,,,
103,T90,T90,Carlos Franco,31,2,,,
104,T90,T90,David Frost,29,2,,,
105,T90,T90,Brent Geiberger,29,2,,,
106,T90,T90,Paul Gow,35,2,,,
107,T90,T90,Paul Goydos,20,2,,,
108,T90,T90,J.J. Henry,34,2,,,1.0
109,T90,T90,Per-Ulrik Johansson,27,2,,,
110,T90,T90,Skip Kendall,31,2,,,
111,T90,T90,Frank Lickliter II,30,2,,,
112,T90,T90,Andrew Magee,28,2,,,1.0
113,T90,T90,Jeff Maggert,27,2,,,1.0
114,T90,T90,Shaun Micheel,30,2,,,1.0
115,T90,T90,Mark O'Meara,24,2,,2.0,
116,T90,T90,Deane Pappas,34,2,,1.0,
117,T90,T90,Jesper Parnevik,26,2,,1.0,
118,T90,T90,Craig Parry,21,2,1.0,,
119,T90,T90,Carl Paulson,28,2,,,
120,T90,T90,Tom Pernice Jr.,31,2,,,
121,T90,T90,Adam Scott,10,2,,,
122,T90,T90,Heath Slocum,32,2,,1.0,
123,T90,T90,Paul Stankowski,31,2,,,
124,T90,T90,Kenneth Staton,36,2,,,
125,T90,T90,Hidemichi Tanaka,31,2,,,
126,T90,T90,Jay Williamson,30,2,,,
127,T128,T128,Woody Austin,36,1,,,
128,T128,T128,"David Berganio, Jr.",30,1,,1.0,
129,T128,T128,Thomas Bjørn,9,1,,,
130,T128,T128,Jay Don Blake,34,1,,,1.0
131,T128,T128,Jeff Brehaut,29,1,,,
132,T128,T128,Bart Bryant,20,1,,,
133,T128,T128,Brandel Chamblee,30,1,,,
134,T128,T128,José Coceres,16,1,,,
135,T128,T128,Russ Cochran,24,1,,,
136,T128,T128,Robert Damron,28,1,,,
137,T128,T128,Luke Donald,30,1,1.0,,
138,T128,T128,Scott Dunlap,30,1,,,
139,T128,T128,Brad Elder,26,1,,,1.0
140,T128,T128,Gary Evans,2,1,,,
141,T128,T128,Nick Faldo,5,1,,,
142,T128,T128,Niclas Fasth,9,1,,,
143,T128,T128,Robin Freeman,27,1,,,
144,T128,T128,Pierre Fulke,4,1,,,
145,T128,T128,"Jim Gallagher, Jr.",15,1,,,
146,T128,T128,Mathew Goggin,20,1,,,
147,T128,T128,Ricardo Gonzalez,4,1,,,
148,T128,T128,Jeff Gove,30,1,,,
149,T128,T128,Jay Haas,24,1,,,
150,T128,T128,Donnie Hammond,17,1,,,
151,T128,T128,Soren Hansen,4,1,,,
152,T128,T128,Mike Heinen,15,1,,,
153,T128,T128,Brian Henninger,20,1,,,1.0
154,T128,T128,Eduardo Herrera,23,1,,,
155,T128,T128,Glen Hnatiuk,28,1,,,
156,T128,T128,David Howser,3,1,,,
157,T128,T128,Tripp Isenhour,21,1,,,
158,T128,T128,Miguel Angel Jiménez,19,1,,,
159,T128,T128,Kent Jones,33,1,,,
160,T128,T128,Greg Kraft,31,1,,,
161,T128,T128,Cliff Kresge,2,1,,,1.0
162,T128,T128,Bernhard Langer,16,1,,,
163,T128,T128,Thomas Levet,3,1,,1.0,
164,T128,T128,Bryce Molder,22,1,,,
165,T128,T128,David Morland IV,21,1,,,
166,T128,T128,John Morse,8,1,,,
167,T128,T128,Frank Nobilo,30,1,,,
168,T128,T128,Greg Norman,13,1,,,
169,T128,T128,Peter O'Malley,6,1,,,
170,T128,T128,Corey Pavin,24,1,,,
171,T128,T128,Matt Peterson,27,1,,,
172,T128,T128,Tim Petrovic,31,1,,1.0,
173,T128,T128,Brett Quigley,32,1,,,
174,T128,T128,John Riegger,29,1,,,
175,T128,T128,Justin Rose,4,1,,,
176,T128,T128,Gene Sauers,11,1,1.0,,
177,T128,T128,Tom Scherrer,34,1,,,
178,T128,T128,John Senden,30,1,,,
179,T128,T128,Jerry Smith,33,1,,,
180,T128,T128,Mike Sposa,34,1,,,
181,T128,T128,Craig Stadler,22,1,,,
182,T128,T128,Steve Stricker,22,1,,,
183,T128,T128,Toru Taniguchi,8,1,,,
184,T128,T128,Grant Waite,31,1,,,
185,T128,T128,Tom Watson,4,1,,,
186,T128,T128,Brett Wetterich,32,1,,,
187,T128,T128,Garrett Willis,29,1,,1.0,
188,T128,T128,Kaname Yokoo,28,1,,1.0,
