,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Tiger Woods,18,44.11,"$6,912,624","$15,672,140"
1,2,2,Ernie Els,18,20.56,"$3,291,894","$16,014,140"
2,3,3,Phil Mickelson,26,20.22,"$4,311,971","$21,324,140"
3,4,4,Retief Goosen,15,20.04,"$2,617,004","$13,062,140"
4,5,5,Thomas Levet,3,17.19,"$532,185","$3,096,140"
5,6,6,Vijay Singh,28,16.52,"$3,756,562","$22,746,140"
6,7,7,David Toms,27,15.78,"$3,459,739","$21,918,140"
7,8,8,Nick Price,18,13.62,"$2,170,911","$15,942,140"
8,9,9,Gary Evans,2,13.59,"$286,228","$2,106,140"
9,10,10,Sergio Garcia,21,13.28,"$2,401,992","$18,084,140"
10,11,11,Rich Beem,30,13.06,"$2,938,365","$22,502,000"
11,12,12,Jerry Kelly,29,12.9,"$2,946,889","$22,836,140"
12,13,13,Justin Leonard,26,12.55,"$2,738,234","$21,810,140"
13,14,14,José María Olazábal,20,11.95,"$1,987,027","$16,626,140"
14,15,15,Jim Furyk,25,11.48,"$2,363,249","$20,586,140"
15,16,16,Shigeki Maruyama,24,11.33,"$2,214,793","$19,550,140"
16,17,17,Fred Funk,29,11.18,"$2,383,071","$21,314,000"
17,18,18,Chris DiMarco,29,11.06,"$2,606,430","$23,556,140"
18,19,19,Charles Howell III,32,11.05,"$2,702,746","$24,464,000"
19,20,20,Cliff Kresge,2,11.04,"$101,370","$918,000"
20,21,21,Rocco Mediate,23,10.7,"$2,040,675","$19,074,140"
21,22,22,K.J. Choi,27,10.65,"$2,204,907","$20,710,140"
22,23,23,Gene Sauers,11,10.49,"$715,605","$6,822,000"
23,24,24,Padraig Harrington,9,10.43,"$924,847","$8,868,140"
24,25,25,Loren Roberts,25,10.21,"$1,919,047","$18,792,140"
25,26,26,Len Mattiace,28,10.05,"$2,194,063","$21,836,140"
26,27,27,Kevin Johnson,1,9.81,"$37,100","$378,000"
27,28,28,Robert Allenby,27,9.68,"$2,115,770","$21,846,140"
28,29,29,Davis Love III,26,9.6,"$2,056,159","$21,414,140"
29,T30,T30,Chris Riley,28,9.55,"$2,032,978","$21,294,140"
30,T30,T30,Phil Tataurangi,25,9.55,"$1,643,686","$17,218,000"
31,32,32,Jeff Sluman,32,9.17,"$2,250,186","$24,546,000"
32,33,33,Brad Faxon,25,9.12,"$1,814,671","$19,902,140"
33,34,34,Bob Estes,26,9.0,"$1,934,599","$21,504,140"
34,35,35,Kenny Perry,27,8.95,"$1,928,597","$21,550,000"
35,36,36,Craig Parry,21,8.69,"$1,466,234","$16,868,140"
36,37,37,Scott Hoch,21,8.6,"$1,465,172","$17,040,140"
37,38,38,Steve Lowery,28,8.35,"$1,882,553","$22,540,000"
38,39,39,Todd Fischer,1,8.33,"$60,000","$720,000"
39,40,40,Scott McCarron,28,8.31,"$1,896,713","$22,818,140"
40,41,41,Michael Campbell,11,8.11,"$831,500","$10,254,140"
41,42,42,John Cook,25,8.09,"$1,624,095","$20,082,140"
42,43,43,John Rollins,34,8.03,"$1,956,565","$24,364,000"
43,44,44,Stuart Appleby,28,7.73,"$1,729,459","$22,386,140"
44,T45,T45,Peter Lonard,24,7.72,"$1,413,112","$18,308,140"
45,T45,T45,Justin Rose,4,7.72,"$316,316","$4,096,140"
46,47,47,Dan Forsman,25,7.57,"$1,305,790","$17,244,000"
47,48,48,Darren Clarke,11,7.55,"$769,810","$10,200,140"
48,49,49,Craig Perks,28,7.33,"$1,632,042","$22,250,140"
49,50,50,Kevin Sutherland,28,7.04,"$1,569,528","$22,296,140"
50,51,51,Pat Perez,30,6.9,"$1,451,726","$21,052,000"
51,52,52,David Howser,3,6.87,"$133,475","$1,944,000"
52,53,53,John Huston,26,6.73,"$1,299,052","$19,306,000"
53,54,54,Jonathan Byrd,32,6.69,"$1,462,713","$21,852,000"
54,55,55,Ángel Cabrera,13,6.4,"$750,445","$11,730,140"
55,56,56,Nick Faldo,5,6.2,"$321,207","$5,184,140"
56,57,57,Steve Elkington,23,6.15,"$1,084,535","$17,622,140"
57,58,58,Matt Kuchar,27,6.09,"$1,237,725","$20,314,140"
58,59,59,Chris Smith,30,6.08,"$1,361,094","$22,392,140"
59,60,60,Stephen Ames,28,6.01,"$1,278,037","$21,276,140"
60,61,61,Todd Barranger,1,6.0,"$43,200","$720,000"
61,62,62,David Peoples,30,5.94,"$1,243,773","$20,934,000"
62,63,63,Bob Burns,30,5.92,"$1,199,802","$20,268,000"
63,64,64,Ian Leggatt,29,5.91,"$1,245,047","$21,070,000"
64,T65,T65,Robert Gamez,21,5.81,"$807,891","$13,914,000"
65,T65,T65,Dudley Hart,26,5.81,"$1,161,080","$19,980,140"
66,67,67,Billy Andrade,31,5.78,"$1,365,707","$23,644,140"
67,68,68,Matt Gogel,25,5.71,"$1,089,482","$19,092,000"
68,69,69,J.P. Hayes,24,5.68,"$955,270","$16,812,000"
69,70,70,Mark Calcavecchia,25,5.66,"$1,162,509","$20,550,140"
70,71,71,Scott Verplank,26,5.65,"$1,217,022","$21,540,140"
71,72,72,Bob Tway,28,5.51,"$1,160,399","$21,042,140"
72,T73,T73,Thomas Bjørn,9,5.47,"$470,003","$8,588,140"
73,T73,T73,Jonathan Kaye,27,5.47,"$1,082,802","$19,808,140"
74,75,75,Rory Sabbatini,23,5.45,"$936,663","$17,200,000"
75,76,76,Joel Edwards,28,5.31,"$1,077,651","$20,296,000"
76,77,77,Luke Donald,30,5.16,"$1,088,204","$21,078,140"
77,78,78,Pierre Fulke,4,5.15,"$211,139","$4,096,140"
78,79,79,Steve Flesch,32,5.13,"$1,192,341","$23,240,000"
79,80,80,Soren Hansen,4,5.08,"$207,965","$4,096,140"
80,81,81,Lee Janzen,29,5.07,"$1,127,740","$22,258,140"
81,82,82,Brandt Jobe,28,4.98,"$972,479","$19,530,000"
82,83,83,Geoff Ogilvy,27,4.95,"$957,184","$19,350,000"
83,84,84,Cameron Beckman,26,4.93,"$907,739","$18,414,000"
84,85,85,Fred Couples,18,4.84,"$646,702","$13,356,000"
85,86,86,Tom Lehman,22,4.81,"$868,631","$18,066,140"
86,T87,T87,Paul Azinger,20,4.68,"$769,925","$16,438,000"
87,T87,T87,Hiroyuki Fujita,1,4.68,"$33,714","$720,000"
88,T87,T87,Adam Scott,10,4.68,"$431,407","$9,218,140"
89,T87,T87,Duffy Waldorf,27,4.68,"$909,003","$19,430,140"
90,91,91,Zach Johnson,2,4.66,"$57,000","$1,224,000"
91,92,92,Tom Watson,4,4.64,"$180,130","$3,878,140"
92,93,93,Jesper Parnevik,26,4.58,"$964,303","$21,062,140"
93,94,94,Tim Herron,30,4.44,"$954,916","$21,520,000"
94,95,95,Ben Crane,30,4.43,"$921,076","$20,782,000"
95,96,96,Steve Stricker,22,4.42,"$789,712","$17,848,140"
96,97,97,J.L. Lewis,31,4.4,"$957,182","$21,744,000"
97,98,98,Greg Norman,13,4.38,"$498,488","$11,368,140"
98,99,99,Kirk Triplett,25,4.34,"$843,273","$19,416,000"
99,100,100,Jay Haas,24,4.21,"$722,782","$17,164,000"
100,101,101,Stewart Cink,27,4.19,"$894,212","$21,350,140"
101,T102,T102,David Duval,24,4.17,"$838,044","$20,082,140"
102,T102,T102,Ricardo Gonzalez,4,4.17,"$162,959","$3,906,140"
103,104,104,Mike Weir,25,4.11,"$843,890","$20,532,140"
104,105,105,Bernhard Langer,16,4.08,"$559,395","$13,710,140"
105,106,106,Glen Day,31,4.03,"$859,929","$21,312,000"
106,107,107,Tom Byrum,23,4.0,"$620,279","$15,526,000"
107,108,108,Heath Slocum,32,3.89,"$864,615","$22,240,000"
108,109,109,Mark O'Meara,24,3.87,"$730,132","$18,864,140"
109,110,110,Brian Gay,34,3.85,"$926,735","$24,040,000"
110,111,111,Rod Pampling,29,3.81,"$776,902","$20,376,000"
111,112,112,Jim Carter,29,3.78,"$812,346","$21,474,140"
112,113,113,Peter O'Malley,6,3.77,"$212,265","$5,636,140"
113,114,114,Stephen Leaney,2,3.76,"$79,231","$2,106,140"
114,T115,T115,Spike McRoy,25,3.7,"$616,813","$16,660,000"
115,T115,T115,Tim Petrovic,31,3.7,"$797,206","$21,572,140"
116,117,117,Tim Clark,23,3.69,"$632,609","$17,136,140"
117,118,118,Harrison Frazar,28,3.68,"$731,295","$19,846,000"
118,T119,T119,Neal Lancaster,31,3.66,"$813,229","$22,238,140"
119,T119,T119,Jeff Maggert,27,3.66,"$733,198","$20,034,140"
120,121,121,Hidemichi Tanaka,31,3.65,"$766,423","$20,980,000"
121,122,122,Billy Mayfair,31,3.64,"$864,745","$23,770,140"
122,123,123,Jason Caron,1,3.56,"$35,639","$1,000,000"
