,Career_Money_Leaders_RANK THIS WEEK,Career_Money_Leaders_RANK LAST WEEK,Career_Money_Leaders_PLAYER NAME,Career_Money_Leaders_MONEY
0,1,1,Tiger Woods,"$33,103,852"
1,2,2,Phil Mickelson,"$22,149,969"
2,3,3,Davis Love III,"$20,050,850"
3,4,4,Vijay Singh,"$18,281,015"
4,5,5,Nick Price,"$16,648,337"
5,6,6,David Duval,"$16,150,598"
6,7,7,Scott Hoch,"$16,018,375"
7,8,8,Ernie Els,"$15,308,529"
8,9,9,Mark Calcavecchia,"$14,571,858"
9,10,10,Hal Sutton,"$14,205,947"
10,11,11,Jim Furyk,"$13,856,843"
11,12,12,Justin Leonard,"$13,658,234"
12,13,13,Fred Couples,"$13,327,971"
13,14,14,Tom Lehman,"$12,957,027"
14,15,15,Jeff Sluman,"$12,884,759"
15,16,16,David Toms,"$12,872,425"
16,17,17,Mark O'Meara,"$12,755,331"
17,18,18,Paul Azinger,"$12,457,891"
18,19,19,Loren Roberts,"$11,785,532"
19,20,20,Payne Stewart,"$11,737,008"
20,21,21,Brad Faxon,"$11,592,350"
21,22,22,John Cook,"$11,005,774"
22,23,23,Tom Kite,"$10,920,309"
23,24,24,Fred Funk,"$10,770,922"
24,25,25,John Huston,"$10,566,582"
25,26,26,Bob Estes,"$10,415,855"
26,27,27,Lee Janzen,"$10,130,316"
27,28,28,Jeff Maggert,"$10,006,019"
28,29,29,Corey Pavin,"$9,898,182"
29,30,30,Steve Elkington,"$9,864,808"
30,31,31,Tom Watson,"$9,773,761"
31,32,32,Kenny Perry,"$9,557,012"
32,33,33,Bob Tway,"$9,548,783"
33,34,34,Jesper Parnevik,"$9,276,274"
34,35,35,Rocco Mediate,"$9,271,474"
35,36,36,Jay Haas,"$9,156,638"
36,37,37,Billy Mayfair,"$9,138,307"
37,38,38,Craig Stadler,"$9,008,663"
38,39,39,Scott Verplank,"$8,974,545"
39,40,40,Steve Lowery,"$8,417,843"
40,41,41,Chris DiMarco,"$8,286,904"
41,42,42,Kirk Triplett,"$8,282,529"
42,43,43,Billy Andrade,"$8,148,866"
43,44,44,David Frost,"$8,001,237"
44,45,45,Mike Weir,"$7,926,034"
45,46,46,Mark Brooks,"$7,886,692"
46,47,47,Stewart Cink,"$7,872,432"
47,48,48,Stuart Appleby,"$7,621,734"
48,49,49,Steve Pate,"$7,613,719"
49,50,50,Curtis Strange,"$7,599,951"
50,51,51,Duffy Waldorf,"$7,489,751"
51,52,52,Andrew Magee,"$7,380,467"
52,53,53,Steve Stricker,"$7,241,556"
53,54,54,Sergio Garcia,"$7,139,882"
54,55,55,Ben Crenshaw,"$7,091,166"
55,56,56,Robert Allenby,"$7,077,119"
56,57,57,Larry Mize,"$6,874,000"
57,58,58,Chris Perry,"$6,866,671"
58,59,59,Dudley Hart,"$6,839,583"
59,60,60,Joey Sindelar,"$6,760,441"
60,61,61,Jerry Kelly,"$6,672,835"
61,62,62,Dan Forsman,"$6,546,345"
62,63,63,Bruce Lietzke,"$6,474,794"
63,64,64,Scott Simpson,"$6,473,578"
64,65,65,Scott McCarron,"$6,405,278"
65,66,66,Lanny Wadkins,"$6,355,681"
66,67,67,Chip Beck,"$6,199,550"
67,68,68,Peter Jacobsen,"$6,177,393"
68,69,69,Bill Glasson,"$6,136,653"
69,70,70,José María Olazábal,"$6,104,290"
70,71,71,Steve Jones,"$5,983,270"
71,72,72,Hale Irwin,"$5,966,031"
72,73,73,Craig Parry,"$5,916,109"
73,74,74,"Jim Gallagher, Jr.","$5,838,475"
74,75,75,Fuzzy Zoeller,"$5,803,343"
