,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,18,7.98,"$6,912,624","$86,578,344"
1,2,2,Ernie Els,18,3.72,"$3,291,894","$88,478,344"
2,3,3,Phil Mickelson,26,3.65,"$4,311,969","$117,978,344"
3,4,4,Retief Goosen,15,3.63,"$2,617,003","$72,078,344"
4,5,5,Thomas Levet,3,3.15,"$532,185","$16,878,344"
5,6,6,Vijay Singh,28,2.98,"$3,756,561","$125,878,344"
6,7,7,David Toms,27,2.85,"$3,459,737","$121,278,344"
7,8,8,Gary Evans,2,2.52,"$286,228","$11,378,344"
8,9,9,Nick Price,18,2.46,"$2,170,910","$88,078,344"
9,10,10,Sergio Garcia,21,2.4,"$2,401,991","$99,978,344"
10,11,11,Rich Beem,30,2.35,"$2,938,364","$124,900,000"
11,12,12,Jerry Kelly,29,2.33,"$2,946,887","$126,378,344"
12,13,13,Justin Leonard,26,2.27,"$2,738,233","$120,678,344"
13,14,14,José María Olazábal,20,2.16,"$1,987,026","$91,878,344"
14,15,15,Jim Furyk,25,2.08,"$2,363,248","$113,878,344"
15,16,16,Shigeki Maruyama,24,2.05,"$2,214,792","$108,178,344"
16,17,17,Fred Funk,29,2.01,"$2,383,069","$118,300,000"
17,18,18,Chris DiMarco,29,2.0,"$2,606,428","$130,378,344"
18,T19,T19,Charles Howell III,32,1.99,"$2,702,744","$135,800,000"
19,T19,T19,Cliff Kresge,2,1.99,"$101,370","$5,100,000"
20,21,21,Rocco Mediate,23,1.93,"$2,040,675","$105,478,344"
21,22,22,K.J. Choi,27,1.92,"$2,204,904","$114,678,344"
22,23,23,Padraig Harrington,9,1.9,"$924,847","$48,778,344"
23,24,24,Gene Sauers,11,1.89,"$715,604","$37,900,000"
24,25,25,Loren Roberts,25,1.84,"$1,919,044","$104,078,344"
25,26,26,Len Mattiace,28,1.82,"$2,194,061","$120,878,344"
26,27,27,Kevin Johnson,1,1.77,"$37,100","$2,100,000"
27,28,28,Robert Allenby,27,1.75,"$2,115,768","$120,878,344"
28,29,29,Davis Love III,26,1.74,"$2,056,157","$118,478,344"
29,T30,T30,Chris Riley,28,1.72,"$2,032,977","$117,978,344"
