,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Tiger Woods,18,"$6,912,625",5.0
1,2,2,Phil Mickelson,26,"$4,311,971",2.0
2,3,3,Vijay Singh,28,"$3,756,563",2.0
3,4,4,David Toms,27,"$3,459,739",
4,5,5,Ernie Els,18,"$3,291,895",2.0
5,6,6,Jerry Kelly,29,"$2,946,889",2.0
6,7,7,Rich Beem,30,"$2,938,365",2.0
7,8,8,Justin Leonard,26,"$2,738,235",1.0
8,9,9,Charles Howell III,32,"$2,702,747",1.0
9,10,10,Retief Goosen,15,"$2,617,004",1.0
10,11,11,Chris DiMarco,29,"$2,606,430",1.0
11,12,12,Sergio Garcia,21,"$2,401,993",1.0
12,13,13,Fred Funk,29,"$2,383,071",
13,14,14,Jim Furyk,25,"$2,363,250",1.0
14,15,15,Jeff Sluman,32,"$2,250,187",1.0
15,16,16,Shigeki Maruyama,24,"$2,214,794",1.0
16,17,17,K.J. Choi,27,"$2,204,907",2.0
17,18,18,Len Mattiace,28,"$2,194,064",2.0
18,19,19,Nick Price,18,"$2,170,912",1.0
19,20,20,Robert Allenby,27,"$2,115,771",
20,21,21,Davis Love III,26,"$2,056,160",
21,22,22,Rocco Mediate,23,"$2,040,676",1.0
22,23,23,Chris Riley,28,"$2,032,979",1.0
23,24,24,José María Olazábal,20,"$1,987,027",1.0
24,25,25,John Rollins,34,"$1,956,565",1.0
25,26,26,Bob Estes,26,"$1,934,600",1.0
26,27,27,Kenny Perry,27,"$1,928,598",
27,28,28,Loren Roberts,25,"$1,919,047",1.0
28,29,29,Scott McCarron,28,"$1,896,714",
29,30,30,Steve Lowery,28,"$1,882,553",
30,31,31,Brad Faxon,25,"$1,814,672",
31,32,32,Stuart Appleby,28,"$1,729,459",
32,33,33,Phil Tataurangi,25,"$1,643,686",1.0
33,34,34,Craig Perks,28,"$1,632,042",1.0
34,35,35,John Cook,25,"$1,624,095",
35,36,36,Kevin Sutherland,28,"$1,569,529",1.0
36,37,37,Craig Parry,21,"$1,466,235",1.0
37,38,38,Scott Hoch,21,"$1,465,173",
38,39,39,Jonathan Byrd,32,"$1,462,713",1.0
39,40,40,Pat Perez,30,"$1,451,726",
40,41,41,Peter Lonard,24,"$1,413,113",
41,42,42,Billy Andrade,31,"$1,365,707",
42,43,43,Chris Smith,30,"$1,361,094",1.0
43,44,44,Dan Forsman,25,"$1,305,790",1.0
44,45,45,John Huston,26,"$1,299,053",
45,46,46,Stephen Ames,28,"$1,278,037",
46,47,47,Ian Leggatt,29,"$1,245,048",1.0
47,48,48,David Peoples,30,"$1,243,774",
48,49,49,Matt Kuchar,27,"$1,237,725",1.0
49,50,50,Scott Verplank,26,"$1,217,022",
50,51,51,Bob Burns,30,"$1,199,802",1.0
51,52,52,Steve Flesch,32,"$1,192,341",
52,53,53,Mark Calcavecchia,25,"$1,162,509",
53,54,54,Dudley Hart,26,"$1,161,080",
54,55,55,Bob Tway,28,"$1,160,399",
55,56,56,Lee Janzen,29,"$1,127,740",
56,57,57,Matt Gogel,25,"$1,089,482",1.0
57,58,58,Luke Donald,30,"$1,088,205",1.0
58,59,59,Steve Elkington,23,"$1,084,535",
59,60,60,Jonathan Kaye,27,"$1,082,803",
