,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Tiger Woods,18,"$384,034","$6,912,624"
1,2,2,Ernie Els,18,"$182,883","$3,291,894"
2,3,3,Thomas Levet,3,"$177,395","$532,185"
3,4,4,Retief Goosen,15,"$174,466","$2,617,004"
4,5,5,Phil Mickelson,26,"$165,845","$4,311,971"
5,6,6,Vijay Singh,28,"$134,162","$3,756,562"
6,7,7,David Toms,27,"$128,138","$3,459,739"
7,8,8,Nick Price,18,"$120,606","$2,170,911"
8,9,9,Sergio Garcia,21,"$114,380","$2,401,992"
9,10,10,Gary Evans,2,"$110,614","$221,228"
10,11,11,Justin Leonard,26,"$105,316","$2,738,234"
11,12,12,Jerry Kelly,29,"$101,616","$2,946,889"
12,13,13,José María Olazábal,20,"$99,351","$1,987,027"
13,14,14,Rich Beem,30,"$97,945","$2,938,365"
14,15,15,Jim Furyk,25,"$94,529","$2,363,249"
15,16,16,Shigeki Maruyama,24,"$92,283","$2,214,793"
16,17,17,Chris DiMarco,29,"$89,876","$2,606,430"
17,18,18,Padraig Harrington,9,"$89,644","$806,797"
18,19,19,Rocco Mediate,23,"$88,725","$2,040,675"
19,20,20,Charles Howell III,32,"$84,460","$2,702,746"
20,21,21,Fred Funk,29,"$82,174","$2,383,071"
21,22,22,K.J. Choi,27,"$81,663","$2,204,907"
22,23,23,Davis Love III,26,"$79,083","$2,056,159"
23,24,24,Robert Allenby,27,"$78,361","$2,115,770"
24,25,25,Len Mattiace,28,"$78,359","$2,194,063"
25,26,26,Loren Roberts,25,"$76,761","$1,919,047"
26,27,27,Bob Estes,26,"$74,407","$1,934,599"
27,28,28,Chris Riley,28,"$72,606","$2,032,978"
28,29,29,Brad Faxon,25,"$72,586","$1,814,671"
29,30,30,Kenny Perry,27,"$71,429","$1,928,597"
30,31,31,Jeff Sluman,32,"$70,318","$2,250,186"
31,32,32,Craig Parry,21,"$69,820","$1,466,234"
32,33,33,Scott Hoch,21,"$69,770","$1,465,172"
33,34,34,Scott McCarron,28,"$67,739","$1,896,713"
34,35,35,Steve Lowery,28,"$67,234","$1,882,553"
35,36,36,Phil Tataurangi,25,"$65,747","$1,643,686"
36,37,37,Gene Sauers,11,"$65,055","$715,605"
37,38,38,John Cook,25,"$64,963","$1,624,095"
38,39,39,Nick Faldo,5,"$64,241","$321,207"
39,40,40,Stuart Appleby,28,"$61,766","$1,729,459"
40,41,41,Darren Clarke,11,"$60,537","$665,910"
41,42,42,Todd Fischer,1,"$60,000","$60,000"
42,43,43,Peter Lonard,24,"$58,879","$1,413,112"
43,44,44,Craig Perks,28,"$58,287","$1,632,042"
44,45,45,John Rollins,34,"$57,546","$1,956,565"
45,46,46,Kevin Sutherland,28,"$56,054","$1,569,528"
46,47,47,Michael Campbell,11,"$55,840","$614,250"
