,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Joe Durant,88,87.92,1077,1225
1,2,2,Jim Furyk,84,87.62,1012,1155
2,3,3,Heath Slocum,101,87.49,1231,1407
3,4,4,Brian Davis,101,86.72,1228,1416
4,5,5,Mathew Goggin,97,86.68,1171,1351
5,6,6,Bart Bryant,87,86.2,1037,1203
6,7,7,Billy Mayfair,98,86.01,1174,1365
7,8,8,Jay Williamson,50,86.0,602,700
8,T9,T9,John Senden,97,85.89,1169,1361
9,T9,T9,Charles Warren,101,85.89,1211,1410
10,11,11,Craig Bowden,78,85.69,934,1090
11,12,12,Zach Johnson,76,85.62,899,1050
12,13,13,Kirk Triplett,77,85.29,916,1074
13,14,14,Ken Duke,112,85.06,1332,1566
14,15,15,Joey Sindelar,75,84.95,886,1043
15,16,16,Scott Verplank,82,84.61,962,1137
16,17,17,John Mallinger,96,84.58,1130,1336
17,18,18,D.J. Trahan,99,84.35,1164,1380
18,19,19,Jeff Gove,103,84.26,1210,1436
19,20,20,Kent Jones,97,84.19,1140,1354
20,T21,T21,Jeff Maggert,79,84.18,931,1106
21,T21,T21,Shaun Micheel,91,84.18,1038,1233
22,23,23,Stephen Ames,81,83.91,897,1069
23,24,24,Sean O'Hair,98,83.81,1154,1377
24,25,25,Bo Van Pelt,104,83.78,1214,1449
25,26,26,Jason Gore,86,83.75,1005,1200
26,27,27,Alex Cejka,80,83.68,933,1115
27,28,28,Frank Lickliter II,95,83.65,1110,1327
28,29,29,Kenny Perry,83,83.61,964,1153
29,30,30,Luke Donald,69,83.6,790,945
30,31,31,Hunter Mahan,91,83.59,1065,1274
31,32,32,Stephen Leaney,82,83.52,953,1141
32,33,33,Jeff Overton,60,83.39,698,837
33,T34,T34,Jason Bohn,57,83.35,661,793
34,T34,T34,Jeff Brehaut,59,83.35,686,823
35,T34,T34,Steve Lowery,74,83.35,866,1039
36,T37,T37,David Branshaw,83,83.3,963,1156
37,T37,T37,Corey Pavin,81,83.3,943,1132
38,39,39,Ryan Moore,92,83.28,1071,1286
39,40,40,Duffy Waldorf,69,83.26,806,968
40,41,41,Lucas Glover,98,83.17,1132,1361
41,42,42,Tom Byrum,50,83.07,579,697
42,43,43,Jason Dufner,100,83.02,1159,1396
43,44,44,Ryan Armour,107,82.86,1238,1494
44,T45,T45,Freddie Jacobson,70,82.83,815,984
45,T45,T45,Greg Owen,81,82.83,941,1136
46,47,47,Nick Watney,87,82.81,1007,1216
47,48,48,J.J. Henry,86,82.73,987,1193
48,49,49,Rich Beem,89,82.71,1033,1249
49,50,50,Woody Austin,95,82.64,1095,1325
50,51,51,Rocco Mediate,72,82.59,830,1005
51,52,52,Michael Boyd,61,82.57,706,855
52,53,53,Jeff Quinney,95,82.54,1097,1329
53,54,54,Will MacKenzie,100,82.52,1152,1396
54,55,55,Tommy Armour III,81,82.51,934,1132
55,56,56,Tom Pernice Jr.,104,82.49,1201,1456
56,57,57,Cameron Beckman,96,82.48,1106,1341
57,58,58,Justin Leonard,95,82.43,1098,1332
58,59,59,Mathias Grönberg,95,82.42,1092,1325
59,60,60,Tim Clark,66,82.4,735,892
60,61,61,Tiger Woods,63,82.35,695,844
61,62,62,Steve Flesch,100,82.32,1150,1397
62,63,63,Charlie Wi,90,82.31,1033,1255
63,64,64,Bob Estes,88,82.28,1012,1230
64,65,65,Justin Rose,63,82.27,682,829
65,66,66,Rod Pampling,92,82.26,1043,1268
66,67,67,Robert Allenby,90,82.15,1026,1249
67,68,68,Tom Lehman,62,82.12,712,867
