,Driving_Pct._260-280_All_Drives_RANK THIS WEEK,Driving_Pct._260-280_All_Drives_RANK LAST WEEK,Driving_Pct._260-280_All_Drives_PLAYER NAME,Driving_Pct._260-280_All_Drives_ROUNDS,Driving_Pct._260-280_All_Drives_%,Driving_Pct._260-280_All_Drives_TOTAL DRIVES FOR 260-280,Driving_Pct._260-280_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._260-280_All_Drives_RELATIVE TO PAR
0,T1,T1,Heath Slocum,101,40.0,518,1295,-0.023
1,T1,T1,Scott Verplank,82,40.0,330,825,-0.009
2,3,3,Fred Funk,65,39.68,294,741,-0.027
3,4,4,Anders Hansen,55,39.5,188,476,+0.059
4,5,5,Rocco Mediate,72,38.4,359,935,-0.006
5,6,6,Glen Day,85,38.15,399,1046,E
6,7,7,Darron Stiles,65,38.14,283,742,+0.099
7,8,8,Craig Bowden,78,38.06,357,938,-0.090
8,9,9,Zach Johnson,76,37.8,316,836,-0.038
9,10,10,Craig Kanada,109,37.75,496,1314,-0.002
10,11,11,Paul Goydos,60,37.58,245,652,-0.065
11,12,12,Brian Gay,107,37.39,507,1356,-0.061
12,13,13,Doug LaBelle II,104,37.37,475,1271,+0.011
13,14,14,Tim Clark,66,37.18,274,737,-0.033
14,15,15,Michael Boyd,61,37.04,270,729,+0.033
15,16,16,Matt Kuchar,85,36.88,367,995,-0.030
16,17,17,Steve Elkington,87,36.85,374,1015,-0.008
17,18,18,Shigeki Maruyama,84,36.76,411,1118,+0.015
18,19,19,Chris DiMarco,79,36.22,318,878,+0.003
19,20,20,Kirk Triplett,77,36.0,342,950,+0.044
20,21,21,Ryuji Imada,104,35.8,445,1243,-0.029
21,22,22,Ian Poulter,63,35.78,195,545,-0.031
22,23,23,Steve Stricker,81,35.61,323,907,-0.025
23,24,24,Paul Gow,70,35.59,284,798,+0.049
24,25,25,Ben Curtis,80,35.55,321,903,+0.009
25,26,26,Gavin Coles,87,35.38,380,1074,+0.003
26,27,27,Dicky Pride,71,35.36,302,854,+0.013
27,28,28,Brian Davis,101,35.15,433,1232,-0.014
28,29,29,Bob Estes,88,35.06,392,1118,+0.008
29,30,30,José Coceres,50,34.97,206,589,E
30,31,31,Stephen Leaney,82,34.89,359,1029,-0.064
