,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,T1,T1,J.B. Holmes,71,56.36,64785.2,114950
1,T1,T1,Bubba Watson,80,56.36,68901.1,122256
2,3,3,John Daly,59,56.1,48209.1,85938
3,4,4,Robert Garrigus,95,55.57,86043.8,154828
4,5,5,Brett Wetterich,88,54.88,64317.9,117198
5,6,6,Tiger Woods,63,54.86,40477.6,73778
6,7,7,Scott Gutschewski,67,54.34,58070.0,106868
7,8,8,Jason Gore,86,54.28,77268.3,142350
8,9,9,Harrison Frazar,88,54.17,72014.2,132947
9,10,10,Ernie Els,59,54.08,40513.0,74911
10,11,11,Tag Ridings,52,54.05,48852.4,90392
11,T12,T12,Bill Haas,93,53.81,80271.5,149163
12,T12,T12,Phil Mickelson,73,53.81,46542.8,86495
13,T14,T14,Charley Hoffman,97,53.8,82826.2,153945
14,T14,T14,Adam Scott,69,53.8,51520.6,95771
15,T14,T14,Nick Watney,87,53.8,68320.0,126991
16,17,17,Jeff Overton,60,53.79,53555.4,99555
17,18,18,Davis Love III,66,53.77,47061.0,87524
18,T19,T19,Anthony Kim,93,53.74,73620.9,136986
19,T19,T19,Charles Warren,101,53.74,88299.6,164324
20,21,21,Robert Allenby,90,53.61,65839.6,122812
21,22,22,Charles Howell III,89,53.6,62208.4,116059
22,23,23,Geoff Ogilvy,84,53.59,56298.1,105061
23,T24,T24,Troy Matteson,87,53.56,70541.0,131712
24,T24,T24,Camilo Villegas,82,53.56,62552.6,116798
25,26,26,Mathew Goggin,97,53.52,83427.7,155879
26,27,27,Aaron Baddeley,83,53.45,59178.4,110709
27,28,28,Chris Couch,76,53.33,70463.5,132125
28,29,29,Hunter Mahan,91,53.3,62670.5,117585
29,30,30,Mathias Grönberg,95,53.21,86147.7,161895
30,T31,T31,Steve Allan,63,53.2,52739.2,99126
31,T31,T31,Kenny Perry,83,53.2,68548.5,128856
32,33,33,Retief Goosen,50,53.16,29949.4,56338
33,34,34,Boo Weekley,101,53.15,69847.6,131418
34,35,35,Henrik Stenson,52,53.13,35149.8,66156
35,T36,T36,Vijay Singh,102,53.1,72052.5,135684
36,T36,T36,D.J. Trahan,99,53.1,83707.9,157629
37,38,38,Greg Owen,81,53.05,67756.8,127728
38,39,39,Sergio Garcia,68,53.03,48774.4,91968
39,T40,T40,Matt Hendrix,63,52.98,55405.2,104571
40,T40,T40,George McNeill,95,52.98,77733.9,146718
41,42,42,Jonathan Byrd,73,52.95,58641.1,110745
42,43,43,Lucas Glover,98,52.93,78661.5,148604
43,44,44,Steve Marino,106,52.92,87813.8,165932
44,45,45,Andrew Buckle,77,52.91,59212.6,111904
45,46,46,Pat Perez,84,52.87,53643.2,101469
46,47,47,Ryan Palmer,91,52.85,79761.5,150918
47,T48,T48,Daniel Chopra,106,52.83,94106.9,178127
48,T48,T48,Stewart Cink,91,52.83,64027.9,121192
49,50,50,Bubba Dickerson,51,52.78,42837.8,81168
50,T51,T51,John Merrick,92,52.77,77136.1,146183
51,T51,T51,Sean O'Hair,98,52.77,77633.8,147108
52,53,53,Bo Van Pelt,104,52.75,86524.6,164018
53,54,54,Paul Stankowski,52,52.74,42305.1,80219
54,55,55,Padraig Harrington,64,52.69,40437.8,76746
55,56,56,J.J. Henry,86,52.65,60226.3,114397
56,57,57,Rory Sabbatini,81,52.55,55564.7,105730
57,58,58,J.P. Hayes,89,52.47,75790.7,144448
58,59,59,Michael Putnam,96,52.46,75523.7,143978
59,60,60,Brendon de Jonge,76,52.45,64722.3,123400
60,61,61,Ted Purdy,102,52.43,83773.8,159770
61,62,62,John Senden,97,52.41,79800.8,152259
62,63,63,Peter Lonard,85,52.37,67831.6,129532
63,T64,T64,Rod Pampling,92,52.33,64516.4,123290
64,T64,T64,Carl Pettersson,111,52.33,83813.5,160151
65,66,66,Kevin Sutherland,85,52.32,67011.4,128092
66,67,67,Jason Schultz,63,52.3,51674.1,98796
67,68,68,Rich Beem,89,52.28,64089.0,122580
68,69,69,Mike Weir,82,52.26,52036.9,99565
69,70,70,Stuart Appleby,74,52.25,53295.8,101996
70,71,71,Craig Barlow,52,52.21,42852.2,82080
71,72,72,Will MacKenzie,100,52.18,82878.5,158843
72,73,73,Chris Tidland,59,52.17,49950.8,95749
73,74,74,Kyle Reifers,71,52.14,61197.9,117377
74,75,75,Brett Quigley,79,52.12,56863.0,109090
75,76,76,Tim Herron,98,52.11,70745.8,135757
76,77,77,Kevin Stadler,95,52.1,77193.9,148176
77,78,78,John Rollins,102,52.06,74479.1,143066
78,79,79,Jarrod Lyle,77,51.88,63069.6,121579
79,80,80,Mark Calcavecchia,93,51.86,64543.8,124459
80,81,81,Justin Rose,63,51.84,30847.3,59501
81,82,82,Joe Ogilvie,102,51.82,79203.5,152848
82,83,83,Jason Dufner,100,51.81,79819.4,154054
83,T84,T84,Brian Bateman,55,51.78,40522.7,78265
84,T84,T84,Jason Bohn,57,51.78,47060.7,90887
85,86,86,Bryce Molder,56,51.76,48249.9,93223
86,T87,T87,Jeff Gove,103,51.75,88921.8,171841
87,T87,T87,Steve Lowery,74,51.75,66234.1,127979
88,89,89,Michael Allen,74,51.73,60908.0,117734
89,T90,T90,Briny Baird,115,51.67,97702.4,189084
90,T90,T90,Tom Johnson,74,51.67,60634.5,117343
91,92,92,Ryan Moore,92,51.66,70560.8,136578
92,93,93,Eric Axley,107,51.58,86179.1,167092
93,94,94,Cameron Beckman,96,51.57,82292.1,159560
94,95,95,Tim Petrovic,106,51.48,83802.9,162795
95,96,96,Billy Andrade,88,51.45,74754.2,145307
96,T97,T97,David Branshaw,83,51.42,69813.9,135772
97,T97,T97,Cliff Kresge,107,51.42,87176.9,169540
98,99,99,Jeff Brehaut,59,51.41,48732.7,94800
99,100,100,Daisuke Maruyama,86,51.39,68991.8,134250
100,101,101,Chris Stroud,66,51.35,53056.6,103332
101,102,102,Todd Hamilton,76,51.32,55245.5,107652
102,T103,T103,Tom Lehman,62,51.3,42092.3,82049
103,T103,T103,Parker McLachlin,83,51.3,70316.5,137071
104,105,105,Jay Williamson,50,51.29,46760.1,91176
105,106,106,Ken Duke,112,51.28,89876.0,175252
106,107,107,Jim Rutledge,59,51.27,43331.4,84514
107,T108,T108,D.J. Brigman,67,51.26,52203.3,101837
108,T108,T108,Freddie Jacobson,70,51.26,61529.9,120046
109,T110,T110,K.J. Choi,87,51.25,59819.8,116725
110,T110,T110,Jesper Parnevik,88,51.25,69284.2,135184
111,T112,T112,Michael Sim,52,51.24,47213.4,92135
112,T112,T112,Vaughn Taylor,91,51.24,64507.3,125898
113,114,114,Mark Hensby,81,51.23,66000.4,128830
114,115,115,Kevin Na,84,51.19,72225.6,141083
115,T116,T116,Joe Durant,88,51.17,65328.7,127682
116,T116,T116,Duffy Waldorf,69,51.17,57417.0,112209
117,118,118,Lee Janzen,66,51.15,51545.9,100768
118,T119,T119,Chad Campbell,96,51.14,62787.4,122764
119,T119,T119,Marco Dawson,73,51.14,59884.7,117091
120,121,121,Nathan Green,103,51.13,78977.5,154464
121,122,122,Johnson Wagner,97,51.12,81437.5,159291
122,T123,T123,Frank Lickliter II,95,51.1,75910.5,148563
123,T123,T123,Joey Sindelar,75,51.1,65511.1,128204
124,125,125,Alex Cejka,80,51.09,69567.6,136166
125,T126,T126,Rich Barcelo,80,51.08,64753.4,126776
126,T126,T126,Arron Oberholser,69,51.08,44832.4,87771
127,128,128,Trevor Immelman,74,51.06,48994.8,95957
128,129,129,Jerry Kelly,101,51.04,61826.4,121138
129,130,130,Steve Wheatcroft,73,51.03,58767.3,115165
130,131,131,Ryan Armour,107,51.0,84704.0,166080
131,132,132,Steve Flesch,100,50.99,79488.8,155884
132,133,133,Jeff Maggert,79,50.95,72067.1,141454
133,134,134,Woody Austin,95,50.92,73174.4,143708
134,135,135,Billy Mayfair,98,50.91,70095.7,137692
135,136,136,Mark Wilson,87,50.88,64352.1,126475
136,137,137,Kent Jones,97,50.87,83332.1,163820
137,T138,T138,Brandt Snedeker,105,50.83,73781.8,145140
138,T138,T138,Charlie Wi,90,50.83,78291.1,154028
139,140,140,Tommy Armour III,81,50.82,66068.7,130007
140,141,141,Darron Stiles,65,50.79,49562.2,97589
141,T142,T142,Tripp Isenhour,86,50.77,67091.9,132159
142,T142,T142,Ian Poulter,63,50.77,34490.0,67929
143,T144,T144,Bart Bryant,87,50.73,67171.3,132401
144,T144,T144,Shaun Micheel,91,50.73,66433.7,130948
145,146,146,Bob Tway,103,50.71,81906.3,161510
146,147,147,Robert Gamez,88,50.68,69335.6,136824
147,148,148,Bob Heintz,85,50.66,65504.6,129294
148,149,149,Stephen Ames,81,50.65,50422.0,99552
149,150,150,Steve Stricker,81,50.6,55646.7,109963
150,151,151,Zach Johnson,76,50.49,53233.8,105441
151,T152,T152,John Mallinger,96,50.47,77299.7,153151
