,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Boo Weekley,101,0.8759999999999999,68.33800000000001,78
1,2,2,J.B. Holmes,71,0.828,53.013000000000005,64
2,3,3,Joe Durant,88,0.698,50.946999999999996,73
3,4,4,Mathew Goggin,97,0.691,60.102,87
4,5,5,Charles Warren,101,0.68,63.283,93
5,6,6,Brett Wetterich,88,0.6709999999999999,46.992,70
6,7,7,Robert Allenby,90,0.638,47.825,75
7,8,8,Tiger Woods,63,0.624,26.842,43
8,9,9,Nick Watney,87,0.622,43.568999999999996,70
9,10,10,Jeff Overton,60,0.613,33.093,54
10,11,11,Vijay Singh,102,0.583,47.843999999999994,82
11,12,12,Anthony Kim,93,0.578,46.258,80
12,13,13,D.J. Trahan,99,0.556,50.0,90
13,14,14,Lucas Glover,98,0.542,42.302,78
14,15,15,Bubba Watson,80,0.539,35.567,66
15,16,16,Peter Lonard,85,0.524,39.827,76
16,17,17,Geoff Ogilvy,84,0.523,33.479,64
17,18,18,Hunter Mahan,91,0.496,35.73,72
18,19,19,Kenny Perry,83,0.485,36.345,75
19,20,20,Sean O'Hair,98,0.484,40.165,83
20,21,21,Adam Scott,69,0.478,25.798000000000002,54
21,22,22,Robert Garrigus,95,0.46799999999999997,40.205,86
22,23,23,Ernie Els,59,0.452,19.87,44
23,24,24,Jay Williamson,50,0.447,21.435,48
24,25,25,Bill Haas,93,0.44299999999999995,36.359,82
25,26,26,Steve Allan,63,0.439,24.145,55
26,27,27,Mathias Grönberg,95,0.424,37.329,88
27,28,28,John Rollins,102,0.41700000000000004,35.023,84
28,T29,T29,Jason Gore,86,0.41100000000000003,32.036,78
29,T29,T29,Greg Owen,81,0.41100000000000003,28.736,70
30,31,31,J.J. Henry,86,0.374,25.451,68
31,T32,T32,Chris Couch,76,0.369,26.963,73
32,T32,T32,Camilo Villegas,82,0.369,25.441999999999997,69
33,34,34,John Senden,97,0.366,30.728,84
34,35,35,Trevor Immelman,74,0.35700000000000004,19.268,54
35,36,36,Bo Van Pelt,104,0.354,34.336999999999996,97
36,37,37,Charley Hoffman,97,0.348,28.910999999999998,83
37,38,38,Tommy Armour III,81,0.33299999999999996,22.956,69
38,39,39,Ken Duke,112,0.32899999999999996,31.285,95
39,40,40,Phil Mickelson,73,0.32799999999999996,17.05,52
40,41,41,Scott Verplank,82,0.32299999999999995,19.06,59
41,42,42,Matt Hendrix,63,0.308,16.951,55
42,43,43,Will MacKenzie,100,0.295,26.864,91
43,44,44,Rod Pampling,92,0.292,21.628,74
44,T45,T45,Jerry Kelly,101,0.27899999999999997,20.894000000000002,75
45,T45,T45,Ian Poulter,63,0.27899999999999997,10.873,39
46,47,47,Mark Calcavecchia,93,0.27699999999999997,20.204,73
47,48,48,Steve Elkington,87,0.276,20.141,73
48,49,49,Harrison Frazar,88,0.26899999999999996,19.62,73
49,50,50,Mike Weir,82,0.267,15.993,60
50,51,51,Kevin Stadler,95,0.259,20.192,78
51,52,52,Alex Cejka,80,0.257,19.037,74
52,53,53,Steve Marino,106,0.25,22.728,91
53,54,54,Troy Matteson,87,0.239,18.180999999999997,76
54,55,55,Jason Bohn,57,0.237,12.579,53
55,56,56,Ted Purdy,102,0.235,20.46,87
56,57,57,Billy Mayfair,98,0.23399999999999999,19.398,83
57,58,58,Ryan Armour,107,0.22899999999999998,21.570999999999998,94
58,T59,T59,Rich Beem,89,0.223,15.578,70
59,T59,T59,Davis Love III,66,0.223,11.828,53
60,61,61,Zach Johnson,76,0.214,12.864,60
61,T62,T62,Frank Lickliter II,95,0.21100000000000002,17.964000000000002,85
62,T62,T62,Henrik Stenson,52,0.21100000000000002,7.5889999999999995,36
63,64,64,Cameron Beckman,96,0.201,17.094,85
64,65,65,Jim Furyk,84,0.19899999999999998,13.128,66
65,66,66,Ryan Moore,92,0.196,14.664000000000001,75
66,67,67,George McNeill,95,0.19,15.204,80
67,68,68,Woody Austin,95,0.183,15.407,84
68,69,69,Bart Bryant,87,0.18,13.332,74
69,70,70,K.J. Choi,87,0.161,10.93,68
70,71,71,Daisuke Maruyama,86,0.16,12.157,76
71,72,72,Justin Rose,63,0.157,6.132000000000001,39
72,73,73,Aaron Baddeley,83,0.152,9.999,66
73,74,74,Rory Sabbatini,81,0.151,9.482999999999999,63
74,75,75,Jeff Gove,103,0.147,13.786,94
75,76,76,Chris Stroud,66,0.146,8.172,56
76,77,77,Steve Lowery,74,0.14400000000000002,9.966000000000001,69
77,78,78,John Merrick,92,0.13699999999999998,11.115,81
78,79,79,Heath Slocum,101,0.134,12.504000000000001,93
79,80,80,Padraig Harrington,64,0.133,6.1,46
80,81,81,Briny Baird,115,0.132,13.819,105
81,82,82,Arron Oberholser,69,0.125,6.606,53
82,T83,T83,Stephen Ames,81,0.124,7.678999999999999,62
83,T83,T83,Johnson Wagner,97,0.124,10.698,86
84,85,85,Bubba Dickerson,51,0.111,4.7669999999999995,43
85,86,86,Jarrod Lyle,77,0.099,6.662000000000001,67
86,87,87,Mark Wilson,87,0.094,6.8870000000000005,73
87,88,88,Carl Pettersson,111,0.092,8.478,92
88,89,89,Darron Stiles,65,0.08900000000000001,4.731,53
89,90,90,Scott Gutschewski,67,0.049,2.8289999999999997,58
90,91,91,Sergio Garcia,68,0.048,2.637,55
