,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
0,1,1,Bubba Watson,80,300.3,5104.5,17,336.2,251.5
1,2,2,J.B. Holmes,71,300.2,8105.9,27,349.6,273.6
2,3,3,John Daly,59,298.2,3577.9,12,319.9,248.0
3,4,4,Robert Garrigus,95,293.2,13485.2,46,326.4,243.5
4,5,5,Tiger Woods,63,289.8,7535.5,26,328.8,236.0
5,6,6,Chris Couch,76,288.5,10097.9,35,325.5,249.5
6,7,7,Charley Hoffman,97,286.6,15191.5,53,327.3,220.0
7,8,8,Geoff Ogilvy,84,285.5,9136.8,32,338.6,255.1
8,T9,T9,Davis Love III,66,285.1,9692.0,34,327.3,247.7
9,T9,T9,Nick Watney,87,285.1,10548.7,37,318.5,257.0
10,11,11,Bill Haas,93,285.0,10828.7,38,320.5,238.9
11,12,12,Scott Gutschewski,67,284.9,7407.2,26,307.7,250.9
12,13,13,Harrison Frazar,88,284.3,9949.2,35,318.9,248.3
13,14,14,Charles Warren,101,284.1,16193.6,57,327.9,233.0
14,15,15,Anthony Kim,93,283.9,12206.4,43,308.1,248.7
15,16,16,Jason Gore,86,283.7,11346.8,40,315.5,253.2
16,17,17,Kyle Reifers,71,282.3,5646.8,20,315.6,253.7
17,18,18,Ernie Els,59,282.2,5644.0,20,300.4,262.9
18,19,19,Brett Wetterich,88,281.9,9020.8,32,306.1,248.8
19,20,20,Retief Goosen,50,281.3,5062.7,18,299.5,255.3
20,21,21,Robert Allenby,90,281.2,12092.8,43,308.5,254.3
21,22,22,Adam Scott,69,280.3,10090.9,36,320.1,258.3
22,23,23,Padraig Harrington,64,280.0,8960.9,32,319.2,244.0
23,24,24,Troy Matteson,87,279.6,10063.8,36,310.6,244.3
24,25,25,Tag Ridings,52,279.5,5310.3,19,309.5,241.9
25,T26,T26,Lucas Glover,98,279.4,11455.1,41,302.0,243.7
26,T26,T26,Ryan Palmer,91,279.4,10618.0,38,305.1,244.8
27,28,28,Henrik Stenson,52,279.3,6703.6,24,309.6,257.2
28,29,29,Pat Perez,84,278.5,8632.0,31,315.6,240.6
29,30,30,Charles Howell III,89,278.3,10298.4,37,302.6,245.2
30,31,31,Craig Barlow,52,278.1,6118.1,22,338.3,235.5
31,32,32,Camilo Villegas,82,277.7,9162.8,33,299.7,210.6
32,33,33,Mathew Goggin,97,277.1,15797.4,57,297.9,245.1
33,34,34,Matt Hendrix,63,276.9,7752.0,28,303.6,245.6
34,35,35,Hunter Mahan,91,276.7,9129.6,33,316.1,231.1
35,36,36,Vijay Singh,102,275.4,12946.0,47,312.9,239.3
36,37,37,Sean O'Hair,98,275.1,15682.0,57,341.8,232.5
37,38,38,Paul Stankowski,52,275.0,5225.3,19,299.3,253.5
38,39,39,Bo Van Pelt,104,274.8,10717.3,39,306.0,246.8
39,40,40,John Senden,97,274.6,12082.0,44,305.7,238.8
40,41,41,Kevin Stadler,95,274.5,11529.5,42,305.7,243.9
41,42,42,Stewart Cink,91,274.4,15091.1,55,303.3,249.3
42,T43,T43,Mathias Grönberg,95,274.2,13709.5,50,298.7,238.8
43,T43,T43,Todd Hamilton,76,274.2,8773.4,32,316.2,234.4
44,45,45,D.J. Trahan,99,274.1,10962.1,40,315.8,236.5
45,46,46,Andrew Buckle,77,274.0,10412.8,38,309.7,230.8
46,T47,T47,Stuart Appleby,74,273.7,10946.4,40,307.3,235.7
47,T47,T47,Aaron Baddeley,83,273.7,6021.7,22,295.6,254.4
48,T47,T47,Daniel Chopra,106,273.7,15055.8,55,303.7,242.3
49,T50,T50,Brendon de Jonge,76,273.2,8196.3,30,300.9,208.2
50,T50,T50,Greg Owen,81,273.2,9287.8,34,301.5,229.1
51,T50,T50,John Rollins,102,273.2,12019.2,44,303.8,231.9
52,53,53,Rich Beem,89,273.0,12285.8,45,308.1,246.7
53,T54,T54,Ted Purdy,102,272.9,12552.9,46,314.5,239.7
54,T54,T54,Brett Quigley,79,272.9,9007.3,33,300.4,222.3
55,56,56,Jeff Overton,60,272.5,8446.2,31,306.6,212.1
56,57,57,Bryce Molder,56,272.3,5990.2,22,311.1,223.9
57,58,58,Steve Marino,106,272.2,11976.9,44,303.0,231.3
58,59,59,Jason Schultz,63,271.7,7064.5,26,286.9,238.1
59,60,60,Steve Allan,63,271.4,8142.3,30,296.5,250.5
