,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Kirk Triplett,77,2,1,1
1,2,2,Luke Donald,69,5,2,3
2,3,3,Craig Barlow,52,9,4,5
3,4,4,Mark Wilson,87,15,6,9
4,T5,T5,Billy Mayfair,98,16,9,7
5,T5,T5,Darron Stiles,65,16,5,11
6,T5,T5,Vaughn Taylor,91,16,12,4
7,T8,T8,J.P. Hayes,89,18,10,8
8,T8,T8,Jeff Maggert,79,18,7,11
9,10,10,Mark Brooks,53,21,7,14
10,11,11,Geoff Ogilvy,84,22,3,19
11,12,12,Arron Oberholser,69,26,13,13
12,13,13,Craig Bowden,78,36,30,6
13,14,14,Mathew Goggin,97,43,26,17
14,T15,T15,Alex Cejka,80,48,13,35
15,T15,T15,Jeff Gove,103,48,20,28
16,17,17,John Daly,59,56,13,43
17,18,18,Robert Allenby,90,57,23,34
18,T19,T19,Hunter Mahan,91,62,17,45
19,T19,T19,Kyle Reifers,71,62,13,49
20,T21,T21,Cliff Kresge,107,66,41,25
21,T21,T21,Vijay Singh,102,66,37,29
22,23,23,Peter Lonard,85,68,51,17
23,T24,T24,Joe Ogilvie,102,75,37,38
24,T24,T24,Kevin Sutherland,85,75,23,52
25,26,26,Jerry Kelly,101,77,63,14
26,T27,T27,David Toms,80,79,40,39
27,T27,T27,Jaco Van Zyl,51,79,22,57
28,29,29,Steve Marino,106,80,45,35
29,T30,T30,J.B. Holmes,71,82,17,65
30,T30,T30,Steve Stricker,81,82,43,39
31,32,32,Mathias Grönberg,95,86,54,32
32,T33,T33,Rich Beem,89,91,28,63
33,T33,T33,Matt Hendrix,63,91,67,24
34,T35,T35,Padraig Harrington,64,92,35,57
35,T35,T35,John Mallinger,96,92,67,25
36,T35,T35,Joey Sindelar,75,92,17,75
37,38,38,Davis Love III,66,94,27,67
38,T39,T39,Mark Hensby,81,97,48,49
39,T39,T39,Tim Herron,98,97,30,67
40,T39,T39,Brandt Snedeker,105,97,35,62
41,42,42,Stephen Leaney,82,99,70,29
42,43,43,Briny Baird,115,100,45,55
43,44,44,Eric Axley,107,101,54,47
44,45,45,Shigeki Maruyama,84,102,79,23
45,46,46,Bubba Dickerson,51,103,101,2
