,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Charles Warren,29,59,9,50
1,2,2,Mathew Goggin,30,70,26,44
2,3,3,Hunter Mahan,27,73,36,37
3,4,4,Jay Williamson,14,84,72,12
4,5,5,Kenny Perry,24,104,22,82
5,6,6,Cameron Beckman,29,109,69,40
6,7,7,Jason Gore,27,110,8,102
7,8,8,Sean O'Hair,28,113,34,79
8,9,9,John Senden,27,115,55,60
9,10,10,D.J. Trahan,30,116,48,68
10,11,11,Boo Weekley,29,118,37,81
11,12,12,Bill Haas,30,120,11,109
12,13,13,Briny Baird,31,121,66,55
13,14,14,Jeff Overton,19,122,24,98
14,15,15,Matt Hendrix,24,129,15,114
15,T16,T16,Alex Cejka,25,130,94,36
16,T16,T16,Greg Owen,29,130,40,90
17,18,18,Peter Lonard,27,131,80,51
18,19,19,Jeff Brehaut,21,133,76,57
19,T20,T20,Lucas Glover,29,135,46,89
20,T20,T20,Billy Mayfair,30,135,117,18
21,T22,T22,Daisuke Maruyama,28,140,98,42
22,T22,T22,Chris Stroud,24,140,87,53
23,24,24,Ted Purdy,33,142,57,85
24,25,25,Kent Jones,30,143,111,32
25,T26,T26,Ken Duke,31,144,103,41
26,T26,T26,Joe Durant,28,144,139,5
27,T26,T26,Jim Rutledge,23,144,99,45
28,T29,T29,Michael Allen,22,146,61,85
29,T29,T29,Anthony Kim,26,146,12,134
30,31,31,Nick Watney,26,147,17,130
31,T32,T32,Jeff Gove,30,148,84,64
32,T32,T32,J.J. Henry,26,148,54,94
33,34,34,Bubba Dickerson,19,149,25,124
34,T35,T35,Tommy Armour III,24,150,126,24
35,T35,T35,Rich Beem,29,150,79,71
36,37,37,Robert Allenby,28,154,22,132
37,38,38,David Branshaw,30,155,93,62
38,39,39,Steve Allan,18,156,12,144
39,40,40,Ryan Armour,32,157,135,22
40,41,41,John Merrick,29,158,33,125
41,42,42,Mark Calcavecchia,28,159,86,73
42,T43,T43,John Rollins,29,162,85,77
43,T43,T43,Jaco Van Zyl,21,162,131,31
44,45,45,Tiger Woods,16,164,12,152
45,46,46,Steve Marino,31,165,29,136
46,47,47,Pat Perez,27,166,37,129
47,48,48,Darron Stiles,24,167,134,33
48,49,49,Bo Van Pelt,30,168,50,118
49,T50,T50,Steve Lowery,22,169,67,102
50,T50,T50,Camilo Villegas,24,169,27,142
51,52,52,Mathias Grönberg,31,170,16,154
52,T53,T53,Tom Byrum,20,171,156,15
53,T53,T53,J.B. Holmes,24,171,3,168
54,55,55,Justin Leonard,29,173,148,25
55,T56,T56,Jim Furyk,23,174,171,3
56,T56,T56,Ryan Moore,28,174,82,92
57,T58,T58,Craig Barlow,16,176,45,131
58,T58,T58,Steve Wheatcroft,25,176,122,54
59,T58,T58,Charlie Wi,27,176,124,52
60,T61,T61,Zach Johnson,23,177,169,8
61,T61,T61,George McNeill,30,177,28,149
62,T61,T61,Shaun Micheel,29,177,138,39
63,T61,T61,Brett Wetterich,28,177,7,170
64,T61,T61,Mark Wilson,25,177,131,46
65,T66,T66,Steve Elkington,25,178,164,14
66,T66,T66,Adam Scott,19,178,18,160
67,T66,T66,Heath Slocum,28,178,172,6
68,69,69,Bart Bryant,25,179,160,19
69,T70,T70,Michael Boyd,21,180,176,4
70,T70,T70,Joey Sindelar,25,180,111,69
71,T72,T72,Tag Ridings,18,181,6,175
72,T72,T72,Jason Schultz,22,181,43,138
73,T72,T72,Duffy Waldorf,23,181,107,74
74,75,75,Chris Tidland,21,182,62,120
75,76,76,Jason Bohn,17,183,111,72
76,T77,T77,Glen Day,27,184,164,20
77,T77,T77,Chris Riley,17,184,167,17
78,T79,T79,Brian Davis,28,185,172,13
79,T79,T79,Troy Matteson,26,185,37,148
80,T81,T81,Robert Gamez,30,186,159,27
81,T81,T81,Tom Johnson,27,186,103,83
82,T83,T83,Paul Stankowski,18,188,43,145
83,T83,T83,Scott Verplank,23,188,172,16
84,T83,T83,Mike Weir,23,188,92,96
85,T86,T86,John Mallinger,29,189,163,26
86,T86,T86,Bubba Watson,26,189,1,188
87,88,88,Scott Gutschewski,22,190,5,185
88,T89,T89,Will MacKenzie,30,191,74,117
89,T89,T89,Justin Rose,16,191,96,95
90,91,91,José Coceres,17,192,191,1
91,92,92,Trevor Immelman,21,193,118,75
92,T93,T93,Fred Funk,22,195,193,2
93,T93,T93,J.P. Hayes,28,195,69,126
94,T93,T93,Charley Hoffman,30,195,19,176
95,T93,T93,Tripp Isenhour,32,195,111,84
96,97,97,Jerry Kelly,28,196,162,34
97,T98,T98,Craig Bowden,25,197,190,7
98,T98,T98,Robert Garrigus,28,197,4,193
99,T98,T98,Michael Sim,17,197,78,119
100,T101,T101,John Daly,24,198,2,196
101,T101,T101,Doug LaBelle II,33,198,187,11
102,T101,T101,Jarrod Lyle,24,198,65,133
103,T104,T104,Mark Brooks,18,199,189,10
104,T104,T104,Harrison Frazar,32,199,9,190
105,106,106,Michael Putnam,29,200,53,147
106,107,107,Stephen Ames,23,201,154,47
107,T108,T108,Chris Couch,30,202,20,182
108,T108,T108,Kyle Reifers,27,202,41,161
109,T108,T108,Kirk Triplett,25,202,181,21
110,T111,T111,Brian Gay,32,203,194,9
111,T111,T111,Davis Love III,21,203,34,169
112,T111,T111,Kevin Stadler,31,203,62,141
113,T114,T114,Jeff Maggert,26,205,142,63
114,T114,T114,Tom Pernice Jr.,31,205,156,49
115,116,116,Tim Clark,19,206,178,28
116,T117,T117,Steve Flesch,31,207,107,100
117,T117,T117,Frank Lickliter II,30,207,142,65
118,T119,T119,D.J. Brigman,22,210,94,116
119,T119,T119,Ernie Els,16,210,31,179
120,T119,T119,Phil Mickelson,22,210,29,181
121,122,122,Bob Heintz,27,211,133,78
122,T123,T123,Luke Donald,20,212,177,35
123,T123,T123,Anders Hansen,17,212,164,48
124,T123,T123,Geoff Ogilvy,22,212,47,165
125,T123,T123,Kevin Sutherland,25,212,75,137
126,T127,T127,Jeff Quinney,29,213,155,58
127,T127,T127,Vijay Singh,27,213,58,155
128,129,129,Jesper Parnevik,27,214,99,115
129,T130,T130,Aaron Baddeley,23,215,69,146
130,T130,T130,Charles Howell III,26,215,20,195
131,T132,T132,Jonathan Byrd,23,216,67,149
132,T132,T132,Mark Hensby,25,216,115,101
133,T132,T132,Rocco Mediate,22,216,178,38
134,T135,T135,Brendon de Jonge,26,217,58,159
135,T135,T135,Johnson Wagner,33,217,129,88
136,T137,T137,Gavin Coles,28,218,195,23
137,T137,T137,Joe Ogilvie,31,218,91,127
138,139,139,Bob Estes,28,219,149,70
139,140,140,Stuart Appleby,24,220,80,140
140,T141,T141,Andrew Buckle,26,221,50,171
141,T141,T141,Daniel Chopra,34,221,32,189
142,T141,T141,Paul Goydos,19,221,192,29
143,T141,T141,Rod Pampling,25,221,119,102
144,T141,T141,Henrik Stenson,15,221,41,180
145,T146,T146,Kevin Na,27,222,109,113
146,T146,T146,Ryan Palmer,30,222,49,173
