,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
0,1,1,Bubba Watson,80,124.18,4346.33,35,136.81,120.82
1,2,2,Tiger Woods,63,123.95,4090.34,33,127.08,119.77
2,3,3,J.B. Holmes,71,123.79,4456.59,36,128.86,119.43
3,4,4,John Daly,59,122.25,3056.25,25,125.09,117.09
4,5,5,Phil Mickelson,73,122.04,3905.43,32,130.19,117.85
5,6,6,Robert Garrigus,95,121.61,7053.2,58,128.29,118.33
6,7,7,Brett Wetterich,88,121.43,5949.97,49,128.4,117.03
7,8,8,Chris Couch,76,120.83,6525.03,54,126.02,117.07
8,9,9,Henrik Stenson,52,120.33,3369.32,28,124.85,115.31
9,10,10,Charles Howell III,89,119.96,6358.02,53,123.99,115.6
10,11,11,Sergio Garcia,68,119.95,5157.98,43,125.23,112.14
11,12,12,Nick Watney,87,119.9,6354.92,53,123.57,115.61
12,13,13,Charley Hoffman,97,119.64,7776.46,65,125.11,111.99
13,14,14,Lucas Glover,98,119.63,6460.12,54,128.55,115.65
14,15,15,Scott Gutschewski,67,119.49,3226.25,27,123.51,111.25
15,16,16,Tag Ridings,52,119.28,3101.35,26,122.37,109.4
16,17,17,Jason Gore,86,118.85,6655.76,56,135.33,114.55
17,18,18,Anthony Kim,93,118.64,6525.23,55,122.53,115.2
18,19,19,Bill Haas,93,118.6,6285.66,53,122.83,114.85
19,20,20,Aaron Baddeley,83,118.45,4619.61,39,124.03,115.06
20,21,21,Pat Perez,84,118.38,4261.71,36,124.1,113.97
21,22,22,Adam Scott,69,118.33,5324.93,45,123.32,113.62
22,23,23,Davis Love III,66,118.29,5086.46,43,121.85,109.44
23,24,24,Harrison Frazar,88,117.93,5070.9,43,124.13,114.18
24,25,25,John Senden,97,117.91,7310.11,62,122.68,107.66
25,26,26,Greg Owen,81,117.89,4951.3,42,122.51,113.97
