,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Tiger Woods,63,-.095
1,2,2,Ken Duke,112,-.060
2,3,3,Tag Ridings,52,-.033
3,4,4,Jesper Parnevik,88,-.031
4,5,5,Daniel Chopra,106,E
5,6,6,Robert Allenby,90,+.006
6,7,7,Padraig Harrington,64,+.008
7,8,8,Ryan Moore,92,+.014
8,9,9,Mathias Grönberg,95,+.016
9,10,10,Bo Van Pelt,104,+.018
10,11,11,J.B. Holmes,71,+.020
11,12,12,Marco Dawson,73,+.024
12,13,13,Freddie Jacobson,70,+.031
13,14,14,Sean O'Hair,98,+.032
14,15,15,Robert Garrigus,95,+.037
15,16,16,Michael Boyd,61,+.039
16,T17,T17,Geoff Ogilvy,84,+.045
17,T17,T17,Jeff Overton,60,+.045
18,19,19,Chris Tidland,59,+.050
19,20,20,Rory Sabbatini,81,+.051
20,T21,T21,Steve Allan,63,+.055
21,T21,T21,Nathan Green,103,+.055
22,23,23,Tom Pernice Jr.,104,+.056
23,24,24,Vijay Singh,102,+.065
24,25,25,Charley Hoffman,97,+.066
25,26,26,Craig Bowden,78,+.070
26,27,27,Rod Pampling,92,+.072
27,T28,T28,Ernie Els,59,+.074
28,T28,T28,Kevin Stadler,95,+.074
29,30,30,Jarrod Lyle,77,+.075
30,T31,T31,Sergio Garcia,68,+.076
31,T31,T31,Bubba Watson,80,+.076
32,33,33,George McNeill,95,+.077
33,T34,T34,Jason Dufner,100,+.078
34,T34,T34,Steve Marino,106,+.078
35,T36,T36,Cameron Beckman,96,+.079
36,T36,T36,Jason Schultz,63,+.079
37,T38,T38,Rich Barcelo,80,+.081
38,T38,T38,Jason Bohn,57,+.081
39,T40,T40,Stewart Cink,91,+.089
40,T40,T40,Lucas Glover,98,+.089
41,T40,T40,J.P. Hayes,89,+.089
42,T43,T43,Bart Bryant,87,+.090
43,T43,T43,Mike Weir,82,+.090
44,T43,T43,Jay Williamson,50,+.090
45,46,46,Steve Wheatcroft,73,+.091
46,T47,T47,Tim Clark,66,+.092
47,T47,T47,Arron Oberholser,69,+.092
48,T47,T47,Jim Rutledge,59,+.092
49,T47,T47,Camilo Villegas,82,+.092
50,51,51,Chris Stroud,66,+.093
51,T52,T52,Chris DiMarco,79,+.094
52,T52,T52,Ryuji Imada,104,+.094
53,54,54,John Merrick,92,+.095
54,55,55,Jason Gore,86,+.096
55,T56,T56,Bob Heintz,85,+.097
56,T56,T56,John Rollins,102,+.097
57,58,58,Heath Slocum,101,+.098
58,T59,T59,Chris Couch,76,+.099
59,T59,T59,Bob Tway,103,+.099
60,61,61,Jonathan Byrd,73,+.100
61,62,62,Ian Poulter,63,+.101
62,T63,T63,Phil Mickelson,73,+.102
63,T63,T63,Charles Warren,101,+.102
64,65,65,Davis Love III,66,+.104
65,T66,T66,Briny Baird,115,+.105
66,T66,T66,Jim Furyk,84,+.105
67,T66,T66,Bill Haas,93,+.105
68,T69,T69,Alex Cejka,80,+.107
69,T69,T69,Bob Estes,88,+.107
70,T69,T69,John Senden,97,+.107
71,72,72,Joey Sindelar,75,+.108
72,73,73,Kevin Sutherland,85,+.109
73,T74,T74,Kevin Na,84,+.110
74,T74,T74,Adam Scott,69,+.110
75,76,76,Billy Andrade,88,+.112
76,T77,T77,Frank Lickliter II,95,+.114
77,T77,T77,Peter Lonard,85,+.114
78,T79,T79,Matt Hendrix,63,+.118
79,T79,T79,Nick Watney,87,+.118
80,T81,T81,Charles Howell III,89,+.119
81,T81,T81,Joe Ogilvie,102,+.119
82,T81,T81,Charlie Wi,90,+.119
83,84,84,K.J. Choi,87,+.122
84,85,85,Stuart Appleby,74,+.125
85,86,86,Brett Quigley,79,+.126
86,87,87,Greg Owen,81,+.128
87,88,88,Brendon de Jonge,76,+.129
88,89,89,Luke Donald,69,+.130
89,T90,T90,Steve Flesch,100,+.131
90,T90,T90,Mathew Goggin,97,+.131
91,92,92,Troy Matteson,87,+.135
92,93,93,Lee Janzen,66,+.136
93,94,94,Tim Petrovic,106,+.137
94,T95,T95,Glen Day,85,+.139
95,T95,T95,Will MacKenzie,100,+.139
96,T97,T97,Tom Lehman,62,+.140
97,T97,T97,John Mallinger,96,+.140
98,T97,T97,Duffy Waldorf,69,+.140
99,T100,T100,Kenny Perry,83,+.142
100,T100,T100,Brandt Snedeker,105,+.142
101,102,102,Jeff Gove,103,+.143
102,T103,T103,Parker McLachlin,83,+.145
103,T103,T103,Kyle Reifers,71,+.145
104,T103,T103,D.J. Trahan,99,+.145
105,T106,T106,Rich Beem,89,+.146
106,T106,T106,Vaughn Taylor,91,+.146
107,108,108,Pat Perez,84,+.147
108,T109,T109,Woody Austin,95,+.148
109,T109,T109,Brian Davis,101,+.148
110,T109,T109,David Toms,80,+.148
111,T112,T112,Ryan Armour,107,+.149
112,T112,T112,Shaun Micheel,91,+.149
113,T114,T114,Steve Lowery,74,+.150
114,T114,T114,Carl Pettersson,111,+.150
115,116,116,Andrew Buckle,77,+.151
116,117,117,Henrik Stenson,52,+.152
117,118,118,Paul Gow,70,+.157
118,119,119,Michael Sim,52,+.158
119,120,120,Chris Riley,59,+.159
120,T121,T121,Steve Elkington,87,+.160
121,T121,T121,Daisuke Maruyama,86,+.160
122,T121,T121,Johnson Wagner,97,+.160
123,124,124,Tripp Isenhour,86,+.162
124,T125,T125,John Daly,59,+.163
125,T125,T125,Boo Weekley,101,+.163
126,T127,T127,Tommy Armour III,81,+.164
127,T127,T127,Richard Johnson,93,+.164
128,T127,T127,Anthony Kim,93,+.164
129,T127,T127,Nick O'Hern,72,+.164
130,T131,T131,Jeff Brehaut,59,+.167
131,T131,T131,Mark Hensby,81,+.167
132,T131,T131,Zach Johnson,76,+.167
133,134,134,J.J. Henry,86,+.168
134,T135,T135,Hunter Mahan,91,+.169
135,T135,T135,Shigeki Maruyama,84,+.169
136,T135,T135,Dean Wilson,92,+.169
137,138,138,Tim Herron,98,+.171
138,139,139,Joe Durant,88,+.173
139,140,140,Todd Hamilton,76,+.174
140,141,141,Paul Stankowski,52,+.175
141,142,142,José María Olazábal,52,+.176
142,T143,T143,Stephen Leaney,82,+.177
143,T143,T143,Jeff Quinney,95,+.177
144,145,145,Jerry Kelly,101,+.181
145,T146,T146,Gavin Coles,87,+.187
146,T146,T146,Ryan Palmer,91,+.187
147,T148,T148,Craig Barlow,52,+.189
148,T148,T148,Michael Putnam,96,+.189
149,150,150,Mark Wilson,87,+.191
150,T151,T151,Harrison Frazar,88,+.192
151,T151,T151,Trevor Immelman,74,+.192
152,153,153,Brian Gay,107,+.194
153,154,154,Cliff Kresge,107,+.196
154,155,155,Mark Calcavecchia,93,+.197
155,T156,T156,Scott Gutschewski,67,+.198
156,T156,T156,Corey Pavin,81,+.198
157,T156,T156,Steve Stricker,81,+.198
158,159,159,Jeff Maggert,79,+.200
159,160,160,Eric Axley,107,+.202
160,161,161,David Branshaw,83,+.205
161,162,162,Justin Rose,63,+.207
162,163,163,Retief Goosen,50,+.210
163,164,164,Craig Kanada,109,+.211
164,165,165,Craig Lile,77,+.212
165,T166,T166,Aaron Baddeley,83,+.214
166,T166,T166,Brian Bateman,55,+.214
167,168,168,Brett Wetterich,88,+.219
168,169,169,Matt Kuchar,85,+.221
169,170,170,Doug LaBelle II,104,+.226
170,171,171,Dicky Pride,71,+.227
171,172,172,Michael Allen,74,+.231
172,T173,T173,José Coceres,50,+.232
173,T173,T173,Robert Gamez,88,+.232
174,175,175,Scott Verplank,82,+.235
175,176,176,Bubba Dickerson,51,+.239
176,177,177,Chad Campbell,96,+.240
177,178,178,Stephen Ames,81,+.242
178,T179,T179,Paul Goydos,60,+.243
179,T179,T179,Jaco Van Zyl,51,+.243
180,181,181,Ted Purdy,102,+.245
181,182,182,Mark Brooks,53,+.246
182,183,183,Billy Mayfair,98,+.248
183,T184,T184,Tom Johnson,74,+.250
184,T184,T184,Kent Jones,97,+.250
185,T184,T184,Rocco Mediate,72,+.250
186,187,187,Darron Stiles,65,+.259
187,188,188,Bryce Molder,56,+.265
188,189,189,Fred Funk,65,+.278
189,190,190,Justin Leonard,95,+.291
190,191,191,Jeff Sluman,60,+.292
191,192,192,Kirk Triplett,77,+.298
192,193,193,Anders Hansen,55,+.306
193,194,194,Tom Byrum,50,+.311
194,195,195,Ben Curtis,80,+.331
195,196,196,D.J. Brigman,67,+.383
