,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Corey Pavin,81,16.9,168,994,+0.208
1,2,2,Dean Wilson,92,11.73,123,1049,+0.211
2,3,3,Stephen Leaney,82,10.69,110,1029,+0.082
3,4,4,Chris Riley,59,10.08,72,714,+0.083
4,5,5,Jeff Sluman,60,9.79,57,582,+0.263
5,6,6,Gavin Coles,87,9.4,101,1074,+0.089
6,7,7,Mark Brooks,53,9.25,53,573,+0.057
7,8,8,Doug LaBelle II,104,9.21,117,1271,+0.026
8,9,9,Brian Gay,107,9.0,122,1356,+0.098
9,10,10,Luke Donald,69,8.81,62,704,+0.145
10,11,11,Bob Estes,88,8.68,97,1118,+0.165
11,12,12,Stephen Ames,81,8.61,75,871,+0.213
12,13,13,Richard Johnson,93,8.56,100,1168,+0.070
13,14,14,Tom Lehman,62,8.52,58,681,+0.138
14,15,15,Craig Lile,77,8.37,81,968,+0.062
15,16,16,Jim Furyk,84,8.31,77,927,+0.078
16,17,17,Matt Kuchar,85,8.14,81,995,+0.173
17,18,18,Lee Janzen,66,7.97,58,728,+0.362
18,19,19,Joey Sindelar,75,7.94,74,932,+0.176
19,20,20,Mark Wilson,87,7.9,80,1013,+0.088
20,21,21,Dicky Pride,71,7.85,67,854,+0.075
21,22,22,Paul Goydos,60,7.67,50,652,+0.240
22,T23,T23,José Coceres,50,7.64,45,589,+0.089
23,T23,T23,Ben Curtis,80,7.64,69,903,+0.174
24,25,25,Fred Funk,65,7.56,56,741,+0.268
25,T26,T26,Tom Byrum,50,7.52,43,572,+0.349
26,T26,T26,Ian Poulter,63,7.52,41,545,E
27,28,28,Tom Pernice Jr.,104,7.48,88,1176,+0.205
28,29,29,Kirk Triplett,77,7.47,71,950,+0.085
29,30,30,Robert Gamez,88,7.34,78,1062,+0.051
30,31,31,John Senden,97,7.31,86,1176,+0.058
31,32,32,Nick O'Hern,72,7.28,56,769,-0.089
32,33,33,Jesper Parnevik,88,7.27,76,1046,+0.079
33,34,34,Chad Campbell,96,7.23,74,1023,+0.095
34,35,35,Rory Sabbatini,81,7.01,62,885,+0.065
35,36,36,Jason Dufner,100,6.99,85,1216,+0.024
36,37,37,Michael Allen,74,6.95,62,892,+0.177
37,T38,T38,J.J. Henry,86,6.94,66,951,E
38,T38,T38,John Mallinger,96,6.94,84,1211,+0.095
39,40,40,Todd Hamilton,76,6.91,56,810,+0.429
40,41,41,Freddie Jacobson,70,6.8,65,956,+0.169
41,42,42,Parker McLachlin,83,6.75,69,1022,+0.333
42,43,43,Kent Jones,97,6.67,82,1230,+0.134
43,T44,T44,Jason Bohn,57,6.65,49,737,+0.082
44,T44,T44,Charlie Wi,90,6.65,77,1158,+0.234
45,46,46,Ryan Moore,92,6.6,69,1045,+0.174
46,47,47,Davis Love III,66,6.58,49,745,+0.020
47,48,48,Kyle Reifers,71,6.56,58,884,+0.086
48,49,49,Craig Kanada,109,6.54,86,1314,+0.105
49,50,50,Nathan Green,103,6.53,79,1209,+0.228
50,51,51,Joe Durant,88,6.52,67,1027,+0.060
51,52,52,Tim Clark,66,6.51,48,737,+0.167
52,53,53,Chris Couch,76,6.47,66,1020,+0.288
53,54,54,David Branshaw,83,6.41,67,1046,+0.313
54,55,55,Chris Tidland,59,6.32,45,712,+0.222
55,56,56,Michael Boyd,61,6.31,46,729,+0.109
56,57,57,Tripp Isenhour,86,6.27,64,1020,+0.109
57,58,58,Shigeki Maruyama,84,6.26,70,1118,+0.171
58,59,59,D.J. Brigman,67,6.22,47,756,+0.255
59,60,60,Tim Herron,98,6.21,71,1143,+0.042
60,61,61,Heath Slocum,101,6.18,80,1295,+0.063
61,62,62,Duffy Waldorf,69,6.17,51,827,+0.176
62,T63,T63,Paul Gow,70,6.14,49,798,+0.184
63,T63,T63,Jeff Maggert,79,6.14,67,1091,+0.179
64,65,65,Ryan Palmer,91,6.12,70,1143,+0.043
65,66,66,Michael Putnam,96,5.99,67,1119,+0.149
66,67,67,Steve Flesch,100,5.96,75,1258,+0.253
67,68,68,Bob Tway,103,5.94,73,1229,+0.205
68,69,69,Eric Axley,107,5.93,78,1315,+0.295
69,70,70,Tom Johnson,74,5.92,52,878,+0.192
70,71,71,Jeff Quinney,95,5.9,71,1203,+0.268
71,72,72,Andrew Buckle,77,5.85,55,940,+0.218
72,73,73,Arron Oberholser,69,5.83,43,738,+0.023
73,74,74,Trevor Immelman,74,5.82,44,756,-0.023
74,75,75,Billy Mayfair,98,5.8,67,1155,+0.015
75,76,76,Ryuji Imada,104,5.79,72,1243,+0.111
76,77,77,Mathew Goggin,97,5.78,70,1211,+0.114
77,78,78,Stuart Appleby,74,5.77,47,814,+0.277
78,79,79,David Toms,80,5.76,51,885,+0.020
