,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,1,1,Cameron Beckman,96,10,6,4
1,2,2,John Senden,97,11,9,2
2,3,3,Mathew Goggin,97,13,2,11
3,4,4,Charles Warren,101,15,1,14
4,5,5,Briny Baird,115,21,13,8
5,6,6,Alex Cejka,80,22,16,6
6,7,7,Jeff Overton,60,24,14,10
7,8,8,Kenny Perry,83,25,5,20
8,9,9,Sean O'Hair,98,31,8,23
9,10,10,Hunter Mahan,91,32,3,29
10,11,11,Greg Owen,81,33,16,17
11,12,12,Jeff Gove,103,35,32,3
12,13,13,D.J. Trahan,99,37,10,27
13,T14,T14,Joe Durant,88,38,26,12
14,T14,T14,Billy Mayfair,98,38,20,18
15,16,16,Tommy Armour III,81,40,35,5
16,17,17,Jay Williamson,50,44,4,40
17,18,18,Ted Purdy,102,45,24,21
18,19,19,Tiger Woods,63,46,45,1
19,20,20,John Merrick,92,50,41,9
20,T21,T21,Robert Allenby,90,52,37,15
21,T21,T21,Kent Jones,97,52,25,27
22,23,23,Michael Allen,74,61,29,32
23,T24,T24,Jim Furyk,84,62,56,6
24,T24,T24,J.J. Henry,86,62,32,30
25,26,26,Lucas Glover,98,64,20,44
26,T27,T27,Bill Haas,93,65,12,53
27,T27,T27,Boo Weekley,101,65,11,54
28,29,29,Nick Watney,87,66,31,35
29,T30,T30,Jason Gore,86,71,7,64
30,T30,T30,Chris Stroud,66,71,22,49
31,32,32,Craig Barlow,52,80,58,22
32,33,33,Ryan Armour,107,81,40,41
33,34,34,Bo Van Pelt,104,86,49,37
34,35,35,Ken Duke,112,88,26,62
35,36,36,Steve Lowery,74,91,50,41
36,T37,T37,Steve Marino,106,96,46,50
37,T37,T37,Charlie Wi,90,96,58,38
38,T39,T39,Jeff Brehaut,59,98,19,79
39,T39,T39,Duffy Waldorf,69,98,72,26
40,41,41,Joey Sindelar,75,100,70,30
41,42,42,Matt Hendrix,63,101,15,86
42,T43,T43,Anthony Kim,93,102,29,73
43,T43,T43,Heath Slocum,101,102,66,36
44,45,45,Brett Wetterich,88,104,61,43
45,46,46,Bart Bryant,87,108,69,39
46,47,47,Camilo Villegas,82,109,50,59
47,48,48,Daisuke Maruyama,86,110,22,88
48,49,49,Shaun Micheel,91,113,61,52
49,50,50,Pat Perez,84,115,47,68
50,51,51,Ryan Moore,92,116,56,60
51,52,52,Peter Lonard,85,118,18,100
52,53,53,Darron Stiles,65,119,48,71
53,54,54,Robert Garrigus,95,123,98,25
54,55,55,Tom Byrum,50,129,53,76
55,56,56,Michael Putnam,96,130,106,24
56,57,57,Steve Allan,63,134,39,95
57,58,58,David Branshaw,83,135,38,97
58,59,59,Will MacKenzie,100,136,89,47
59,T60,T60,Robert Gamez,88,138,81,57
60,T60,T60,Adam Scott,69,138,66,72
61,62,62,Jim Rutledge,59,145,26,119
62,T63,T63,Rich Beem,89,147,35,112
63,T63,T63,Jeff Maggert,79,147,114,33
64,T63,T63,Justin Rose,63,147,89,58
65,66,66,Justin Leonard,95,149,55,94
66,67,67,Mark Wilson,87,152,61,91
67,T68,T68,Johnson Wagner,97,154,135,19
68,T68,T68,Bubba Watson,80,154,86,68
69,70,70,J.B. Holmes,71,157,53,104
70,T71,T71,Jason Bohn,57,158,76,82
71,T71,T71,Trevor Immelman,74,158,92,66
72,73,73,Mathias Grönberg,95,160,52,108
73,T74,T74,Brian Davis,101,162,79,83
74,T74,T74,Jesper Parnevik,88,162,129,33
75,76,76,Mark Calcavecchia,93,163,42,121
76,77,77,Jaco Van Zyl,51,168,43,125
77,T78,T78,D.J. Brigman,67,170,119,51
78,T78,T78,Kirk Triplett,77,170,108,62
79,80,80,Tom Lehman,62,171,155,16
80,T81,T81,Steve Flesch,100,172,117,55
81,T81,T81,Zach Johnson,76,172,61,111
82,T81,T81,Vijay Singh,102,172,127,45
83,84,84,John Rollins,102,174,43,131
84,85,85,Kevin Stadler,95,175,111,64
85,86,86,Steve Wheatcroft,73,176,58,118
86,87,87,Stephen Leaney,82,181,168,13
87,88,88,Craig Bowden,78,186,98,88
88,T89,T89,Tom Johnson,74,188,81,107
89,T89,T89,Jeff Quinney,95,188,127,61
90,91,91,Jerry Kelly,101,190,97,93
91,T92,T92,Glen Day,85,191,77,114
92,T92,T92,Kevin Sutherland,85,191,123,68
93,94,94,Stephen Ames,81,193,107,86
94,95,95,Frank Lickliter II,95,194,117,77
95,96,96,Mark Brooks,53,196,104,92
96,97,97,Scott Verplank,82,197,83,114
97,98,98,George McNeill,95,200,61,139
