,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,José Coceres,50,75.97,468,616,-0.07
1,2,2,Fred Funk,65,74.9,555,741,-0.08
2,3,3,Jim Furyk,84,74.87,715,955,-0.16
3,4,4,Joe Durant,88,74.61,808,1083,-0.11
4,5,5,Michael Boyd,61,74.47,595,799,-0.05
5,6,6,Heath Slocum,101,73.8,997,1351,-0.13
6,7,7,Zach Johnson,76,73.76,627,850,-0.17
7,8,8,Mark Brooks,53,73.63,483,656,-0.1
8,9,9,Craig Bowden,78,73.07,776,1062,-0.1
9,10,10,Brian Gay,107,72.9,1049,1439,-0.12
10,11,11,Doug LaBelle II,104,72.85,1017,1396,-0.13
11,12,12,Jay Williamson,50,72.57,508,700,-0.15
12,13,13,Steve Elkington,87,72.5,796,1098,-0.11
13,14,14,Scott Verplank,82,72.28,657,909,-0.16
14,15,15,Tom Byrum,50,72.07,462,641,-0.1
15,16,16,Brian Davis,101,71.98,976,1356,-0.13
16,17,17,Billy Mayfair,98,71.75,899,1253,-0.17
17,18,18,Chris Riley,59,71.52,550,769,-0.19
18,19,19,Bart Bryant,87,71.31,798,1119,-0.15
19,20,20,Justin Leonard,95,70.95,884,1246,-0.15
20,21,21,Glen Day,85,70.68,798,1129,-0.11
21,22,22,Kirk Triplett,77,70.46,737,1046,-0.14
22,23,23,Ryan Armour,107,70.31,1011,1438,-0.13
23,24,24,Gavin Coles,87,70.27,813,1157,-0.09
24,25,25,Jerry Kelly,101,70.22,816,1162,-0.13
25,26,26,Tommy Armour III,81,70.17,755,1076,-0.12
26,27,27,John Mallinger,96,69.99,935,1336,-0.1
27,28,28,Darron Stiles,65,69.7,575,825,-0.12
28,29,29,Robert Gamez,88,69.54,815,1172,-0.11
29,30,30,Paul Goydos,60,69.48,510,734,-0.11
30,31,31,Corey Pavin,81,69.33,746,1076,-0.11
31,T32,T32,Tim Clark,66,69.15,520,752,-0.14
32,T32,T32,Hunter Mahan,91,69.15,762,1102,-0.15
33,34,34,Jaco Van Zyl,51,68.76,471,685,-0.08
34,T35,T35,Kent Jones,97,68.61,929,1354,-0.17
35,T35,T35,Shaun Micheel,91,68.61,728,1061,-0.1
36,37,37,Luke Donald,69,68.46,510,745,-0.15
37,38,38,Ken Duke,112,68.43,995,1454,-0.12
38,39,39,Alex Cejka,80,68.17,741,1087,-0.18
39,40,40,Rocco Mediate,72,68.01,674,991,-0.13
40,41,41,Stephen Ames,81,67.72,600,886,-0.15
41,42,42,Cameron Beckman,96,67.7,870,1285,-0.15
42,43,43,Ben Curtis,80,67.67,649,959,-0.09
43,44,44,Mathew Goggin,97,67.64,876,1295,-0.15
44,45,45,Daisuke Maruyama,86,67.42,772,1145,-0.11
45,46,46,Mark Wilson,87,67.35,757,1124,-0.11
46,47,47,Anders Hansen,55,67.34,367,545,-0.13
47,48,48,Jim Rutledge,59,67.27,518,770,-0.06
48,49,49,Charles Warren,101,67.16,947,1410,-0.2
49,50,50,Tom Pernice Jr.,104,67.03,862,1286,-0.15
50,51,51,Peter Lonard,85,67.02,756,1128,-0.13
51,52,52,Jeff Brehaut,59,66.85,494,739,-0.13
52,53,53,Charlie Wi,90,66.83,820,1227,-0.18
53,54,54,Chris Stroud,66,66.74,580,869,-0.15
54,55,55,Jeff Quinney,95,66.64,867,1301,-0.15
55,56,56,Briny Baird,115,66.3,1027,1549,-0.16
56,57,57,Steve Wheatcroft,73,66.29,639,964,-0.13
57,T58,T58,Trevor Immelman,74,66.27,501,756,-0.13
58,T58,T58,John Senden,97,66.27,825,1245,-0.13
59,60,60,Stephen Leaney,82,66.22,737,1113,-0.15
60,61,61,Bob Estes,88,66.18,777,1174,-0.16
61,T62,T62,Craig Kanada,109,66.13,951,1438,-0.12
62,T62,T62,Mike Weir,82,66.13,619,936,-0.13
63,64,64,Matt Kuchar,85,66.09,731,1106,-0.17
64,65,65,Jeff Maggert,79,65.91,729,1106,-0.14
65,T66,T66,David Branshaw,83,65.74,760,1156,-0.11
66,T66,T66,Jeff Gove,103,65.74,944,1436,-0.14
67,68,68,Frank Lickliter II,95,65.7,835,1271,-0.12
68,69,69,D.J. Trahan,99,65.68,888,1352,-0.12
69,70,70,Richard Johnson,93,65.64,831,1266,-0.11
70,71,71,Joey Sindelar,75,65.62,666,1015,-0.1
71,72,72,Paul Gow,70,65.51,604,922,-0.11
72,73,73,David Toms,80,65.46,580,886,-0.16
