,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Brett Wetterich,88,437,Mercedes-Benz Championship,1,12,656
1,2,1,Brett Wetterich,88,435,World Golf Championships-Bridgestone Invitational,4,16,36
2,3,3,J.B. Holmes,71,429,Mercedes-Benz Championship,1,12,656
3,4,4,Chris Couch,76,428,Mercedes-Benz Championship,2,12,656
4,5,5,Bubba Dickerson,51,422,Reno-Tahoe Open,2,8,660
5,6,6,Anthony Kim,93,420,Reno-Tahoe Open,3,8,660
6,7,7,John Senden,97,416,World Golf Championships-Bridgestone Invitational,4,16,36
7,8,8,Adam Scott,69,413,Mercedes-Benz Championship,1,12,656
8,9,9,Ernie Els,59,410,World Golf Championships-Bridgestone Invitational,4,8,36
9,10,10,Carl Pettersson,111,409,Mercedes-Benz Championship,1,12,656
10,11,11,Vijay Singh,102,408,Mercedes-Benz Championship,1,12,656
11,T12,T12,Geoff Ogilvy,84,407,Mercedes-Benz Championship,1,12,656
12,T12,T12,Eric Axley,107,407,Mercedes-Benz Championship,1,12,656
13,14,14,Sergio Garcia,68,406,World Golf Championships-Bridgestone Invitational,4,8,36
14,15,15,John Rollins,102,404,Mercedes-Benz Championship,3,12,656
15,T16,T16,Bob Heintz,85,403,Bob Hope Chrysler Classic,5,9,723
16,T16,6,Anthony Kim,93,403,Reno-Tahoe Open,2,10,660
17,T18,T18,Tim Herron,98,402,Mercedes-Benz Championship,1,12,656
18,T18,T18,Bubba Watson,80,402,Frys.com Open benefiting Shriners Hospitals for Children,3,4,538
19,T18,3,J.B. Holmes,71,402,Mercedes-Benz Championship,3,12,656
20,T18,T18,Steve Marino,106,402,Reno-Tahoe Open,3,8,660
21,T22,T22,Ted Purdy,102,401,Bob Hope Chrysler Classic,5,9,723
22,T22,T22,Charles Howell III,89,401,Nissan Open,3,3,500
23,T22,T22,Robert Garrigus,95,401,Frys.com Open benefiting Shriners Hospitals for Children,3,4,538
24,T22,T22,Andrew Buckle,77,401,Bob Hope Chrysler Classic,5,7,723
25,T22,T22,Troy Matteson,87,401,Mercedes-Benz Championship,1,12,656
26,T27,1,Brett Wetterich,88,399,Mercedes-Benz Championship,2,12,656
27,T27,T22,Troy Matteson,87,399,World Golf Championships-Bridgestone Invitational,1,16,36
28,T27,3,J.B. Holmes,71,399,Mercedes-Benz Championship,2,12,656
29,T30,T12,Geoff Ogilvy,84,398,Mercedes-Benz Championship,1,18,656
