,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,José Coceres,50,75.47,486,644
1,2,2,Fred Funk,65,75.26,642,853
2,3,3,Jim Furyk,84,74.37,859,1155
3,4,4,Michael Boyd,61,74.34,594,799
4,5,5,Joe Durant,88,73.71,903,1225
5,6,6,Heath Slocum,101,73.28,1031,1407
6,7,7,Craig Bowden,78,73.07,776,1062
7,8,8,Zach Johnson,76,73.05,767,1050
8,9,9,Brian Gay,107,72.9,1049,1439
9,10,10,Mark Brooks,53,72.81,498,684
10,11,11,Doug LaBelle II,104,72.78,1016,1396
11,12,12,Jay Williamson,50,72.57,508,700
12,13,13,Brian Davis,101,71.96,1019,1416
13,14,14,Steve Elkington,87,71.84,829,1154
14,15,15,Tom Byrum,50,71.75,480,669
15,16,16,Scott Verplank,82,71.42,812,1137
16,17,17,Chris Riley,59,71.39,549,769
17,18,18,Billy Mayfair,98,70.7,965,1365
18,19,19,Bart Bryant,87,70.66,850,1203
19,20,20,Glen Day,85,70.42,795,1129
20,21,21,Kirk Triplett,77,70.39,756,1074
21,22,22,Ryan Armour,107,70.31,1011,1438
22,23,23,Gavin Coles,87,70.27,813,1157
23,24,24,Tommy Armour III,81,70.17,755,1076
24,25,25,Justin Leonard,95,70.05,933,1332
25,26,26,John Mallinger,96,69.91,934,1336
26,27,27,Robert Gamez,88,69.28,812,1172
27,28,28,Tim Clark,66,68.95,615,892
28,29,29,Paul Goydos,60,68.83,563,818
29,30,30,Corey Pavin,81,68.82,779,1132
30,31,31,Jaco Van Zyl,51,68.61,470,685
31,32,32,Kent Jones,97,68.46,927,1354
32,33,33,Darron Stiles,65,68.35,583,853
33,34,34,Jerry Kelly,101,68.28,930,1362
34,35,35,Luke Donald,69,68.15,644,945
35,36,36,Alex Cejka,80,68.08,740,1087
36,37,37,Hunter Mahan,91,68.05,867,1274
37,38,38,Rocco Mediate,72,67.76,681,1005
38,39,39,Shaun Micheel,91,67.72,835,1233
39,40,40,Cameron Beckman,96,67.7,870,1285
40,41,41,Ken Duke,112,67.5,1057,1566
41,42,42,Daisuke Maruyama,86,67.42,772,1145
42,43,43,Ben Curtis,80,67.37,762,1131
43,44,44,Mathew Goggin,97,67.36,910,1351
44,45,45,Jim Rutledge,59,67.27,518,770
45,46,46,Mark Wilson,87,67.1,773,1152
46,47,47,Stephen Ames,81,67.07,727,1084
