,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
167,T168,T168,Steve Flesch,100,2.32,258.7,111.521,42,2.524
168,T168,T168,Johnson Wagner,97,2.32,261.9,112.86399999999999,45,2.59
169,T170,T170,Tom Lehman,62,2.318,261.5,112.83,33,2.5580000000000003
170,T170,T170,Greg Owen,81,2.318,273.2,117.87,34,2.5869999999999997
171,172,172,Jeff Sluman,60,2.316,250.4,108.117,21,2.47
172,T173,T173,Fred Funk,65,2.315,246.1,106.318,38,2.4730000000000003
173,T173,T173,Jim Rutledge,59,2.315,262.1,113.241,15,2.423
174,T175,T175,Nathan Green,103,2.312,258.5,111.787,51,2.556
175,T175,T175,Trevor Immelman,74,2.312,266.5,115.275,33,2.617
176,T175,T175,Michael Sim,52,2.312,270.1,116.824,21,2.557
177,178,178,Jonathan Byrd,73,2.309,267.1,115.64200000000001,33,2.532
178,179,179,Doug LaBelle II,104,2.306,252.2,109.402,52,2.54
179,180,180,Aaron Baddeley,83,2.3040000000000003,273.7,118.795,22,2.546
180,181,181,Paul Gow,70,2.302,249.2,108.26799999999999,28,2.565
181,182,182,George McNeill,95,2.299,269.6,117.271,47,2.5660000000000003
182,183,183,José María Olazábal,52,2.295,264.4,115.206,20,2.498
183,184,184,Charlie Wi,90,2.291,258.7,112.911,51,2.465
184,185,185,Tom Byrum,50,2.289,247.4,108.052,25,2.474
185,186,186,Tim Petrovic,106,2.286,259.0,113.294,47,2.6180000000000003
186,187,187,Steve Elkington,87,2.2840000000000003,249.0,109.031,34,2.444
187,T188,T188,Michael Allen,74,2.28,260.0,114.036,39,2.6630000000000003
188,T188,T188,Ken Duke,112,2.28,259.1,113.62700000000001,41,2.516
189,190,190,Boo Weekley,101,2.275,267.4,117.56299999999999,32,2.475
190,191,191,Bob Estes,88,2.269,252.9,111.48899999999999,40,2.495
191,192,192,Steve Wheatcroft,73,2.2680000000000002,261.5,115.296,31,2.5660000000000003
192,193,193,Bart Bryant,87,2.249,249.3,110.824,48,2.48
193,194,194,Sergio Garcia,68,2.2430000000000003,268.7,119.824,37,2.521
194,195,195,José Coceres,50,2.239,243.7,108.852,33,2.426
195,196,196,Phil Mickelson,73,2.217,270.8,122.118,20,2.52
