,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,John Daly,59,66.5,207785.0,312449
1,2,2,J.B. Holmes,71,66.31,269779.7,406848
2,3,3,Bubba Watson,80,65.62,277293.1,422551
3,4,4,Robert Garrigus,95,65.07,356670.4,548122
4,5,5,Brett Wetterich,88,64.62,288702.3,446773
5,6,6,Jeff Overton,60,64.23,219915.9,342406
6,7,7,Harrison Frazar,88,64.13,299107.7,466390
7,8,8,Tag Ridings,52,64.01,184432.2,288151
8,9,9,Scott Gutschewski,67,63.84,236226.4,370022
9,T10,T10,Chris Couch,76,63.74,297025.3,465975
10,T10,T10,Bubba Dickerson,51,63.74,174112.3,273161
11,T12,T12,Geoff Ogilvy,84,63.72,261014.6,409640
12,T12,T12,Nick Watney,87,63.72,284583.8,446589
13,14,14,Adam Scott,69,63.71,222001.0,348429
14,15,15,Anthony Kim,93,63.7,322832.8,506819
15,16,16,Boo Weekley,101,63.67,316907.9,497731
16,T17,T17,Bill Haas,93,63.6,332619.7,522957
17,T17,T17,Henrik Stenson,52,63.6,147147.2,231353
18,19,19,Jason Gore,86,63.58,315653.7,496473
19,20,20,Charles Howell III,89,63.52,268468.5,422638
20,21,21,Vijay Singh,102,63.51,332905.8,524151
21,T22,T22,Ernie Els,59,63.5,178107.9,280494
22,T22,T22,Charles Warren,101,63.5,376363.1,592722
23,24,24,Charley Hoffman,97,63.48,336973.1,530859
24,T25,T25,Mathias Grönberg,95,63.46,356638.1,562024
25,T25,T25,Matt Hendrix,63,63.46,222549.3,350700
26,T25,T25,Phil Mickelson,73,63.46,210572.1,331799
27,28,28,Davis Love III,66,63.45,213882.9,337079
28,29,29,Steve Allan,63,63.35,221755.0,350072
