,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Bubba Watson,80,315.2,50435,160
1,2,2,John Daly,59,312.9,36921,118
2,3,3,J.B. Holmes,71,312.6,43132,138
3,4,4,Robert Garrigus,95,310.5,58995,190
4,5,5,Scott Gutschewski,67,306.1,38569,126
5,6,6,Tag Ridings,52,303.9,30386,100
6,7,7,Brett Wetterich,88,303.3,52772,174
7,8,8,Jason Gore,86,303.0,52120,172
8,T9,T9,Harrison Frazar,88,302.8,52075,172
9,T9,T9,Charles Warren,101,302.8,61158,202
10,11,11,Bill Haas,93,302.7,53882,178
11,T12,T12,Steve Allan,63,302.4,35679,118
12,T12,T12,Anthony Kim,93,302.4,56242,186
13,T12,T12,Tiger Woods,63,302.4,36292,120
14,15,15,Matt Hendrix,63,301.7,36809,122
15,16,16,Mathias Grönberg,95,301.5,57285,190
16,17,17,Nick Watney,87,301.4,52438,174
17,18,18,Adam Scott,69,300.9,40924,136
18,19,19,Charley Hoffman,97,299.9,58172,194
19,T20,T20,Chris Couch,76,299.8,45574,152
20,T20,T20,Charles Howell III,89,299.8,51557,172
21,T22,T22,Robert Allenby,90,299.6,53337,178
22,T22,T22,Kenny Perry,83,299.6,49729,166
23,24,24,Jeff Overton,60,299.3,34719,116
24,25,25,Bubba Dickerson,51,298.9,28094,94
25,26,26,Mathew Goggin,97,298.7,57939,194
26,27,27,Camilo Villegas,82,298.3,48929,164
27,28,28,George McNeill,95,298.2,54268,182
28,T29,T29,Steve Marino,106,298.1,60805,204
29,T29,T29,Phil Mickelson,73,298.1,42337,142
30,31,31,Ernie Els,59,297.9,34556,116
31,32,32,Daniel Chopra,106,297.6,63084,212
32,33,33,John Merrick,92,297.1,52285,176
33,T34,T34,Davis Love III,66,296.8,38584,130
34,T34,T34,Sean O'Hair,98,296.8,58180,196
35,36,36,Hunter Mahan,91,296.7,53997,182
36,T37,T37,Troy Matteson,87,296.6,51608,174
37,T37,T37,Pat Perez,84,296.6,47454,160
38,T37,T37,Boo Weekley,101,296.6,57543,194
39,40,40,Greg Owen,81,296.5,46840,158
40,T41,T41,Kyle Reifers,71,296.3,40893,138
41,T41,T41,Henrik Stenson,52,296.3,27256,92
42,T43,T43,Jason Schultz,63,295.7,34889,118
43,T43,T43,Paul Stankowski,52,295.7,28386,96
44,45,45,Craig Barlow,52,295.5,30737,104
45,46,46,Lucas Glover,98,295.4,57305,194
46,47,47,Geoff Ogilvy,84,295.3,46067,156
47,48,48,D.J. Trahan,99,295.1,58428,198
48,49,49,Ryan Palmer,91,294.9,53669,182
49,T50,T50,Andrew Buckle,77,294.7,44205,150
50,T50,T50,Stewart Cink,91,294.7,51871,176
51,T50,T50,Bo Van Pelt,104,294.7,61300,208
52,53,53,Michael Putnam,96,294.5,54195,184
53,54,54,J.J. Henry,86,294.4,50050,170
54,T55,T55,Sergio Garcia,68,294.2,38840,132
55,T55,T55,John Senden,97,294.2,57084,194
56,57,57,Ted Purdy,102,294.1,57651,196
57,T58,T58,Brendon de Jonge,76,293.8,42301,144
58,T58,T58,Vijay Singh,102,293.8,58768,200
59,60,60,Padraig Harrington,64,293.2,36355,124
60,61,61,Michael Allen,74,293.0,41013,140
61,T62,T62,Retief Goosen,50,292.9,28119,96
62,T62,T62,Kevin Stadler,95,292.9,53308,182
63,T62,T62,Chris Tidland,59,292.9,32218,110
64,65,65,Jarrod Lyle,77,292.6,42723,146
65,66,66,Briny Baird,115,292.1,64853,222
66,T67,T67,Jonathan Byrd,73,292.0,42636,146
67,T67,T67,Steve Lowery,74,292.0,43222,148
68,T69,T69,Aaron Baddeley,83,291.9,46711,160
69,T69,T69,Cameron Beckman,96,291.9,53714,184
70,T69,T69,J.P. Hayes,89,291.9,51962,178
71,T72,T72,Brian Bateman,55,291.6,29743,102
72,T72,T72,Jay Williamson,50,291.6,29155,100
73,74,74,Will MacKenzie,100,291.4,58286,200
74,75,75,Kevin Sutherland,85,291.3,49521,170
75,T76,T76,Jeff Brehaut,59,291.2,33193,114
76,T76,T76,Bryce Molder,56,291.2,31446,108
77,78,78,Michael Sim,52,291.1,30279,104
78,79,79,Rich Beem,89,291.0,51790,178
79,T80,T80,Stuart Appleby,74,290.9,42466,146
80,T80,T80,Peter Lonard,85,290.9,47123,162
81,T82,T82,Ryan Moore,92,290.7,53492,184
82,T82,T82,Brett Quigley,79,290.7,45356,156
83,84,84,Jeff Gove,103,290.5,59834,206
84,85,85,John Rollins,102,290.4,58658,202
85,86,86,Mark Calcavecchia,93,290.2,51652,178
86,87,87,Chris Stroud,66,290.0,37118,128
87,88,88,Rory Sabbatini,81,289.9,45800,158
88,89,89,Marco Dawson,73,289.8,41151,142
89,90,90,Jason Dufner,100,289.7,57933,200
90,91,91,Joe Ogilvie,102,289.5,56744,196
91,92,92,Mike Weir,82,289.3,46872,162
92,93,93,David Branshaw,83,289.2,48012,166
93,T94,T94,D.J. Brigman,67,288.9,36401,126
94,T94,T94,Alex Cejka,80,288.9,45061,156
95,T96,T96,Todd Hamilton,76,288.7,43887,152
96,T96,T96,Justin Rose,63,288.7,34061,118
97,98,98,Daisuke Maruyama,86,288.6,47323,164
98,T99,T99,Parker McLachlin,83,288.5,45587,158
99,T99,T99,Jesper Parnevik,88,288.5,48466,168
100,T99,T99,Carl Pettersson,111,288.5,63471,220
101,T99,T99,Jim Rutledge,59,288.5,31738,110
102,T103,T103,Ken Duke,112,288.4,64602,224
103,T103,T103,Tom Johnson,74,288.4,41531,144
104,105,105,Lee Janzen,66,288.0,36858,128
105,106,106,Eric Axley,107,287.8,61588,214
106,T107,T107,Steve Flesch,100,287.5,57503,200
107,T107,T107,Duffy Waldorf,69,287.5,39670,138
108,109,109,Kevin Na,84,287.4,48276,168
109,110,110,Tim Herron,98,287.3,54014,188
110,T111,T111,Jason Bohn,57,287.1,32734,114
111,T111,T111,Tripp Isenhour,86,287.1,47091,164
112,T111,T111,Kent Jones,97,287.1,55703,194
113,T111,T111,Joey Sindelar,75,287.1,43061,150
114,T115,T115,Chad Campbell,96,287.0,51657,180
115,T115,T115,Mark Hensby,81,287.0,46488,162
116,117,117,Billy Mayfair,98,286.8,56204,196
117,118,118,Trevor Immelman,74,286.6,38974,136
118,T119,T119,Rod Pampling,92,286.4,51559,180
119,T119,T119,Tim Petrovic,106,286.4,60712,212
120,121,121,Billy Andrade,88,286.2,50372,176
121,T122,T122,Woody Austin,95,286.1,54361,190
122,T122,T122,Steve Wheatcroft,73,286.1,39476,138
123,T124,T124,Rich Barcelo,80,286.0,44622,156
124,T124,T124,Charlie Wi,90,286.0,50334,176
125,126,126,Tommy Armour III,81,285.7,43992,154
126,T127,T127,Cliff Kresge,107,285.6,61117,214
127,T127,T127,Brandt Snedeker,105,285.6,57683,202
128,T129,T129,Arron Oberholser,69,285.5,38824,136
129,T129,T129,Johnson Wagner,97,285.5,55396,194
130,T131,T131,Jaco Van Zyl,51,285.3,27956,98
131,T131,T131,Mark Wilson,87,285.3,47365,166
132,133,133,Bob Heintz,85,285.2,46198,162
133,134,134,Darron Stiles,65,284.8,34743,122
134,T135,T135,Ryan Armour,107,284.7,58651,206
135,T135,T135,Freddie Jacobson,70,284.7,39863,140
136,137,137,Tom Lehman,62,284.6,35296,124
137,138,138,Shaun Micheel,91,284.4,50052,176
138,T139,T139,Joe Durant,88,284.3,49466,174
139,T139,T139,Nathan Green,103,284.3,56292,198
140,T139,T139,Bob Tway,103,284.3,56286,198
141,T142,T142,Frank Lickliter II,95,284.2,54003,190
142,T142,T142,Jeff Maggert,79,284.2,44905,158
143,144,144,K.J. Choi,87,284.1,48297,170
144,145,145,Craig Lile,77,283.9,42579,150
145,146,146,Steve Stricker,81,283.7,45399,160
146,147,147,Vaughn Taylor,91,283.6,49351,174
147,148,148,Justin Leonard,95,282.7,53721,190
148,T149,T149,Bob Estes,88,282.6,49740,176
149,T149,T149,Ryuji Imada,104,282.6,56512,200
150,T151,T151,Ian Poulter,63,282.5,33896,120
151,T151,T151,David Toms,80,282.5,43512,154
152,153,153,Chris DiMarco,79,282.4,43490,154
153,154,154,Stephen Ames,81,282.2,43453,154
154,155,155,Jeff Quinney,95,281.5,53490,190
155,T156,T156,Tom Byrum,50,281.4,27019,96
156,T156,T156,Tom Pernice Jr.,104,281.4,58528,208
157,T156,T156,Dicky Pride,71,281.4,37710,134
158,159,159,Robert Gamez,88,281.2,47246,168
159,T160,T160,Bart Bryant,87,281.1,48342,172
160,T160,T160,Richard Johnson,93,281.1,51168,182
161,162,162,Jerry Kelly,101,281.0,54517,194
162,163,163,John Mallinger,96,280.9,53938,192
163,T164,T164,Glen Day,85,280.7,45468,162
164,T164,T164,Steve Elkington,87,280.7,46598,166
165,T164,T164,Anders Hansen,55,280.7,28636,102
166,167,167,Chris Riley,59,280.6,30866,110
167,168,168,Jeff Sluman,60,280.5,31412,112
168,169,169,Zach Johnson,76,280.4,42059,150
169,170,170,Paul Gow,70,280.1,36979,132
170,171,171,Jim Furyk,84,279.7,45864,164
171,T172,T172,Brian Davis,101,279.6,56482,202
172,T172,T172,Heath Slocum,101,279.6,56488,202
173,T172,T172,Scott Verplank,82,279.6,45296,162
174,175,175,Nick O'Hern,72,279.3,37985,136
175,176,176,Michael Boyd,61,278.7,31767,114
176,177,177,Luke Donald,69,278.4,37308,134
177,T178,T178,Tim Clark,66,278.1,35594,128
178,T178,T178,Rocco Mediate,72,278.1,40052,144
179,180,180,Shigeki Maruyama,84,277.7,46091,166
180,181,181,Kirk Triplett,77,277.5,42728,154
181,182,182,Stephen Leaney,82,277.4,45499,164
182,T183,T183,Craig Kanada,109,277.2,58222,210
183,T183,T183,Dean Wilson,92,277.2,51010,184
184,T185,T185,Ben Curtis,80,277.1,44334,160
185,T185,T185,Matt Kuchar,85,277.1,44888,162
186,187,187,Doug LaBelle II,104,276.6,55311,200
187,188,188,José María Olazábal,52,276.0,27600,100
188,189,189,Mark Brooks,53,275.2,26972,98
189,190,190,Craig Bowden,78,273.1,41518,152
190,191,191,José Coceres,50,273.0,25117,92
191,192,192,Paul Goydos,60,272.4,32147,118
192,193,193,Fred Funk,65,271.8,33165,122
193,194,194,Brian Gay,107,270.0,55610,206
194,195,195,Gavin Coles,87,268.3,44538,166
195,196,196,Corey Pavin,81,265.3,42971,162
