,Right_Rough_Tendency_RANK THIS WEEK,Right_Rough_Tendency_RANK LAST WEEK,Right_Rough_Tendency_PLAYER NAME,Right_Rough_Tendency_ROUNDS,Right_Rough_Tendency_%,Right_Rough_Tendency_TOTAL RIGHT ROUGH,Right_Rough_Tendency_POSSIBLE FWYS,Right_Rough_Tendency_RELATIVE TO PAR
0,1,1,Mark Brooks,53,8.08,53,656,+0.34
1,2,2,Michael Boyd,61,8.51,68,799,+0.21
2,3,3,Doug LaBelle II,104,8.6,120,1396,+0.23
3,4,4,Tommy Armour III,81,8.64,93,1076,+0.11
4,5,5,Bob Tway,103,9.19,122,1327,+0.06
5,6,6,Alex Cejka,80,9.2,100,1087,+0.03
6,7,7,Charles Warren,101,9.22,130,1410,+0.25
7,8,8,José Coceres,50,9.25,57,616,+0.28
8,9,9,Nick O'Hern,72,9.44,74,784,+0.09
9,10,10,Brian Davis,101,9.66,131,1356,+0.05
10,11,11,Craig Bowden,78,9.7,103,1062,+0.07
11,12,12,Jaco Van Zyl,51,9.78,67,685,+0.15
12,13,13,Tim Clark,66,9.97,75,752,+0.09
13,14,14,Hunter Mahan,91,9.98,110,1102,+0.20
14,15,15,Paul Stankowski,52,10.03,67,668,+0.04
15,16,16,Bob Heintz,85,10.04,113,1126,+0.10
16,T17,T17,Darron Stiles,65,10.3,85,825,+0.15
17,T17,T17,Chris Tidland,59,10.3,79,767,+0.10
18,19,19,Joey Sindelar,75,10.34,105,1015,+0.08
19,20,20,Glen Day,85,10.45,118,1129,+0.14
20,21,21,Jim Rutledge,59,10.52,81,770,+0.21
21,22,22,Tom Byrum,50,10.61,68,641,+0.15
22,23,23,Joe Durant,88,10.62,115,1083,+0.11
23,24,24,Justin Rose,63,10.65,64,601,+0.17
24,T25,T25,Fred Funk,65,10.66,79,741,+0.30
25,T25,T25,Heath Slocum,101,10.66,144,1351,+0.05
26,27,27,Brian Gay,107,10.7,154,1439,+0.14
27,28,28,Gavin Coles,87,10.72,124,1157,+0.10
28,T29,T29,Steve Elkington,87,10.75,118,1098,+0.11
