,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,Darron Stiles,65,15.76,551.66,35,11.28,18.64
1,2,2,Mark Brooks,53,14.92,432.74,29,12.6,17.23
2,3,3,Craig Bowden,78,14.21,738.75,52,10.94,18.31
3,4,4,Kirk Triplett,77,14.11,846.46,60,9.65,17.52
4,5,5,Vaughn Taylor,91,13.98,811.08,58,9.25,17.45
5,6,6,Mark Wilson,87,13.87,887.88,64,10.85,16.19
6,7,7,J.P. Hayes,89,13.32,759.14,57,7.33,18.1
7,8,8,Andrew Buckle,77,13.31,705.45,53,5.45,16.55
8,9,9,Joe Ogilvie,102,12.95,893.75,69,8.71,16.49
9,10,10,Alex Cejka,80,12.76,612.42,48,9.67,15.52
10,11,11,Jeff Gove,103,12.73,903.91,71,6.46,16.58
11,12,12,Kent Jones,97,12.61,832.26,66,7.65,17.35
12,13,13,Tim Clark,66,12.59,641.95,51,10.49,19.5
13,14,14,Brandt Snedeker,105,12.58,792.85,63,9.16,15.84
14,15,15,Tommy Armour III,81,12.57,704.11,56,9.77,16.96
15,16,16,Jeff Maggert,79,12.54,714.84,57,9.21,14.78
16,17,17,Billy Mayfair,98,12.53,814.47,65,8.17,16.21
17,18,18,Kenny Perry,83,12.52,688.74,55,8.44,17.46
18,19,19,Joey Sindelar,75,12.5,650.21,52,8.84,15.87
19,20,20,Geoff Ogilvy,84,12.45,647.19,52,9.74,15.79
20,21,21,Robert Gamez,88,12.4,682.19,55,8.33,17.25
21,22,22,Paul Stankowski,52,12.39,309.86,25,7.62,17.02
22,23,23,Glen Day,85,12.36,655.29,53,8.96,16.54
23,24,24,Tom Johnson,74,12.34,567.53,46,7.13,18.64
24,25,25,Mark Hensby,81,12.33,702.63,57,8.64,15.41
25,26,26,Brian Davis,101,12.3,762.38,62,8.07,14.92
26,27,27,Briny Baird,115,12.26,919.62,75,7.8,19.9
27,28,28,Jerry Kelly,101,12.22,782.38,64,7.63,15.4
28,29,29,Brian Gay,107,12.21,927.69,76,7.17,17.39
29,30,30,Dicky Pride,71,12.2,549.1,45,9.11,17.42
30,31,31,Heath Slocum,101,12.17,888.41,73,9.19,17.46
31,T32,T32,Cliff Kresge,107,12.16,875.81,72,7.7,19.75
32,T32,T32,Jaco Van Zyl,51,12.16,401.43,33,6.09,17.24
33,T32,T32,Jay Williamson,50,12.16,364.73,30,8.27,19.69
34,35,35,Steve Marino,106,12.15,680.24,56,8.44,15.31
35,36,36,Luke Donald,69,12.13,509.35,42,9.35,15.55
36,37,37,Gavin Coles,87,12.09,616.48,51,8.21,18.57
37,38,38,Ryan Armour,107,12.07,856.99,71,8.8,16.97
38,T39,T39,John Daly,59,11.97,299.19,25,6.73,18.3
39,T39,T39,Arron Oberholser,69,11.97,586.56,49,9.2,15.19
40,T41,T41,Anthony Kim,93,11.95,657.02,55,8.35,16.46
41,T41,T41,David Toms,80,11.95,633.48,53,8.68,14.45
42,T43,T43,Rocco Mediate,72,11.93,680.17,57,9.32,16.07
43,T43,T43,Kevin Sutherland,85,11.93,656.18,55,1.95,15.63
44,45,45,John Mallinger,96,11.91,786.34,66,7.85,14.9
45,T46,T46,D.J. Brigman,67,11.85,462.02,39,7.89,16.09
46,T46,T46,Nick O'Hern,72,11.85,533.13,45,7.33,14.9
47,48,48,Bubba Dickerson,51,11.84,319.74,27,9.34,18.33
48,49,49,Jesper Parnevik,88,11.83,674.23,57,7.85,19.83
49,50,50,Brett Quigley,79,11.81,460.62,39,8.21,15.91
50,51,51,Brian Bateman,55,11.79,389.21,33,9.45,14.46
51,52,52,Steve Stricker,81,11.78,683.19,58,7.71,16.35
52,53,53,Camilo Villegas,82,11.76,505.8,43,3.43,14.81
53,54,54,Padraig Harrington,64,11.74,399.02,34,7.41,15.37
54,55,55,J.B. Holmes,71,11.73,410.7,35,6.51,15.98
55,T56,T56,Craig Kanada,109,11.67,828.81,71,8.41,15.2
56,T56,T56,Corey Pavin,81,11.67,571.59,49,5.35,17.07
57,T56,T56,Vijay Singh,102,11.67,793.44,68,7.05,16.56
58,59,59,Robert Garrigus,95,11.66,676.3,58,6.71,16.45
59,60,60,Bryce Molder,56,11.64,337.54,29,8.75,14.19
60,61,61,Tim Herron,98,11.61,731.6,63,7.6,19.34
61,62,62,Tom Pernice Jr.,104,11.58,717.67,62,7.42,16.18
62,63,63,Bob Heintz,85,11.55,543.05,47,7.28,15.11
63,64,64,Ryan Palmer,91,11.54,611.4,53,5.9,15.34
64,65,65,Billy Andrade,88,11.53,680.13,59,8.04,15.59
65,66,66,Jason Schultz,63,11.51,333.83,29,7.46,19.58
66,67,67,Hunter Mahan,91,11.5,586.53,51,8.97,15.77
67,68,68,Shigeki Maruyama,84,11.45,629.58,55,8.66,13.93
68,69,69,Peter Lonard,85,11.44,606.26,53,7.42,16.6
69,70,70,Richard Johnson,93,11.42,536.57,47,6.58,16.84
70,71,71,Eric Axley,107,11.39,763.05,67,3.23,18.11
71,72,72,Robert Allenby,90,11.36,602.18,53,7.59,14.59
72,T73,T73,D.J. Trahan,99,11.35,647.03,57,6.86,19.65
73,T73,T73,Dean Wilson,92,11.35,601.7,53,8.1,16.03
74,75,75,Ernie Els,59,11.34,374.32,33,7.92,13.95
75,T76,T76,John Merrick,92,11.22,651.0,58,7.69,16.03
76,T76,T76,Scott Verplank,82,11.22,572.32,51,7.33,14.65
77,78,78,Harrison Frazar,88,11.19,481.17,43,7.43,17.97
78,79,79,Steve Elkington,87,11.16,546.66,49,8.08,14.5
79,80,80,Ted Purdy,102,11.11,611.07,55,3.87,16.82
80,T81,T81,Zach Johnson,76,11.1,621.86,56,8.28,15.28
81,T81,T81,Justin Rose,63,11.1,388.34,35,5.15,13.84
82,83,83,Ryuji Imada,104,11.09,854.2,77,6.05,15.99
83,84,84,Daisuke Maruyama,86,11.04,596.16,54,7.17,16.61
84,85,85,Craig Barlow,52,11.03,286.79,26,7.46,14.97
85,T86,T86,Mark Calcavecchia,93,10.98,625.81,57,7.36,14.2
86,T86,T86,Tripp Isenhour,86,10.98,559.79,51,6.41,19.72
87,T86,T86,Jeff Overton,60,10.98,417.36,38,0.69,16.89
88,T86,T86,Charles Warren,101,10.98,724.83,66,7.31,13.85
89,90,90,Craig Lile,77,10.96,515.18,47,7.09,18.58
90,T91,T91,Scott Gutschewski,67,10.95,295.74,27,7.43,15.59
91,T91,T91,Bo Van Pelt,104,10.95,722.72,66,7.99,13.93
92,93,93,Frank Lickliter II,95,10.92,710.1,65,6.01,15.27
93,94,94,Chris DiMarco,79,10.86,510.59,47,2.33,15.15
94,T95,T95,Matt Kuchar,85,10.85,531.79,49,6.63,16.97
95,T95,T95,Jeff Quinney,95,10.85,639.96,59,0.21,15.36
96,T97,T97,Stephen Leaney,82,10.84,542.05,50,1.25,19.71
97,T97,T97,Chris Stroud,66,10.84,411.81,38,7.27,17.86
98,99,99,Jeff Sluman,60,10.83,324.96,30,7.94,14.53
99,T100,T100,Rich Beem,89,10.82,638.12,59,5.99,14.32
100,T100,T100,Jason Dufner,100,10.82,584.24,54,4.83,19.04
101,T100,T100,Mathias Grönberg,95,10.82,670.6,62,5.3,17.45
102,T100,T100,Duffy Waldorf,69,10.82,432.92,40,7.07,14.12
103,104,104,Matt Hendrix,63,10.75,397.68,37,7.33,13.72
104,105,105,Kevin Stadler,95,10.74,547.92,51,5.73,14.18
105,106,106,Cameron Beckman,96,10.73,600.76,56,6.22,15.16
106,107,107,Michael Boyd,61,10.7,374.52,35,7.98,14.33
107,108,108,Bill Haas,93,10.69,566.71,53,6.05,14.0
108,109,109,Davis Love III,66,10.66,458.29,43,8.37,14.03
109,T110,T110,Stewart Cink,91,10.65,692.4,65,6.93,14.68
110,T110,T110,Troy Matteson,87,10.65,585.49,55,7.21,17.97
111,T110,T110,Sean O'Hair,98,10.65,681.47,64,5.31,14.26
112,113,113,Carl Pettersson,111,10.64,808.47,76,8.01,13.56
