,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,Kirk Triplett,77,2.673,284.675,106.508,60,3.43
1,2,2,Bubba Dickerson,51,2.6689999999999996,303.069,113.557,27,2.943
2,3,3,Luke Donald,69,2.6630000000000003,292.057,109.669,42,3.3
3,4,4,Vaughn Taylor,91,2.662,289.325,108.68299999999999,58,3.113
4,5,5,Craig Barlow,52,2.661,301.822,113.428,26,3.1839999999999997
5,6,6,Craig Bowden,78,2.6510000000000002,270.053,101.859,52,3.136
6,7,7,Billy Mayfair,98,2.65,285.384,107.686,65,3.077
7,8,8,J.P. Hayes,89,2.6460000000000004,293.139,110.78200000000001,57,3.035
8,9,9,Mark Wilson,87,2.6430000000000002,286.313,108.33,64,3.176
9,10,10,Mike Weir,82,2.641,296.009,112.06200000000001,47,3.0610000000000004
10,T11,T11,Jeff Maggert,79,2.639,286.248,108.461,57,3.27
11,T11,T11,Darron Stiles,65,2.639,286.198,108.454,35,3.1510000000000002
12,13,13,Arron Oberholser,69,2.636,289.858,109.975,49,3.443
13,T14,T14,Mark Brooks,53,2.635,272.111,103.26299999999999,29,2.904
14,T14,T14,Jerry Kelly,101,2.635,284.607,108.005,64,3.049
15,16,16,Stuart Appleby,74,2.633,303.103,115.134,59,3.2769999999999997
16,T17,T17,Mathew Goggin,97,2.6319999999999997,302.558,114.965,62,3.033
17,T17,T17,Peter Lonard,85,2.6319999999999997,296.684,112.70700000000001,53,2.9619999999999997
18,T19,T19,Daisuke Maruyama,86,2.6310000000000002,287.198,109.15100000000001,54,3.003
19,T19,T19,Geoff Ogilvy,84,2.6310000000000002,306.137,116.345,52,3.4360000000000004
20,T19,T19,Jay Williamson,50,2.6310000000000002,290.131,110.273,30,2.978
21,22,22,Adam Scott,69,2.627,310.841,118.33200000000001,45,3.304
22,23,23,Shigeki Maruyama,84,2.623,277.731,105.865,55,2.975
23,24,24,Matt Hendrix,63,2.622,303.355,115.711,37,2.93
24,T25,T25,Cliff Kresge,107,2.6180000000000003,287.553,109.84700000000001,72,3.017
25,T25,T25,John Mallinger,96,2.6180000000000003,282.193,107.781,66,3.03
26,27,27,Tim Clark,66,2.617,278.355,106.359,51,3.1210000000000004
27,28,28,Jeff Gove,103,2.616,288.473,110.271,71,3.092
28,T29,T29,Stephen Leaney,82,2.614,279.95799999999997,107.102,50,2.904
29,T29,T29,Troy Matteson,87,2.614,307.142,117.49,55,3.363
30,T29,T29,Vijay Singh,102,2.614,298.528,114.20100000000001,68,3.35
31,32,32,Mathias Grönberg,95,2.613,299.11400000000003,114.46799999999999,62,2.903
32,33,33,K.J. Choi,87,2.612,293.639,112.429,54,3.1919999999999997
33,34,34,Robert Allenby,90,2.611,304.33,116.57600000000001,53,3.1319999999999997
34,T35,T35,Alex Cejka,80,2.61,289.742,111.00200000000001,48,3.127
35,T35,T35,Steve Marino,106,2.61,295.853,113.37299999999999,56,2.9739999999999998
36,37,37,Ben Curtis,80,2.6069999999999998,283.468,108.73899999999999,53,3.137
37,38,38,Joe Ogilvie,102,2.6060000000000003,288.692,110.78299999999999,69,3.04
38,T39,T39,Jesper Parnevik,88,2.605,290.617,111.542,57,3.043
39,T39,T39,Steve Stricker,81,2.605,288.192,110.624,58,3.0980000000000003
40,T39,T39,David Toms,80,2.605,283.335,108.78,53,3.168
41,42,42,Chris DiMarco,79,2.6039999999999996,283.124,108.73100000000001,47,3.125
42,T43,T43,John Daly,59,2.603,318.264,122.25,25,2.908
43,T43,T43,Robert Gamez,88,2.603,278.932,107.146,55,2.8960000000000004
44,45,45,Hunter Mahan,91,2.602,297.265,114.256,51,3.292
45,46,46,Kenny Perry,83,2.6010000000000004,295.435,113.59100000000001,55,3.2430000000000003
46,T47,T47,Eric Axley,107,2.6,289.027,111.155,67,3.31
47,T47,T47,Sean O'Hair,98,2.6,301.236,115.87200000000001,64,3.2230000000000003
48,T49,T49,Mark Hensby,81,2.5989999999999998,284.881,109.601,57,3.0
49,T49,T49,Trevor Immelman,74,2.5989999999999998,300.268,115.514,38,3.134
50,T49,T49,Kyle Reifers,71,2.5989999999999998,303.082,116.604,30,2.9539999999999997
51,T52,T52,Steve Lowery,74,2.5980000000000003,289.33799999999997,111.382,50,2.906
52,T52,T52,Corey Pavin,81,2.5980000000000003,271.10400000000004,104.34200000000001,50,3.167
53,T52,T52,Kevin Sutherland,85,2.5980000000000003,290.83799999999997,111.95,55,3.045
54,55,55,Briny Baird,115,2.597,287.932,110.86200000000001,75,2.965
55,56,56,Carl Pettersson,111,2.596,295.325,113.779,76,3.2710000000000004
56,T57,T57,Tommy Armour III,81,2.595,281.98400000000004,108.667,56,2.9810000000000003
57,T57,T57,Padraig Harrington,64,2.595,301.676,116.236,34,3.26
58,T57,T57,Craig Kanada,109,2.595,274.113,105.647,71,3.005
59,T57,T57,Jaco Van Zyl,51,2.595,283.86400000000003,109.381,33,2.935
60,61,61,Chris Riley,59,2.594,280.699,108.193,33,2.952
61,62,62,Brandt Snedeker,105,2.592,284.36,109.70200000000001,63,3.109
62,T63,T63,Rich Beem,89,2.59,292.887,113.084,59,3.045
63,T63,T63,John Merrick,92,2.59,293.101,113.15899999999999,58,2.873
64,T65,T65,Steve Allan,63,2.589,297.067,114.725,38,2.8960000000000004
65,T65,T65,J.B. Holmes,71,2.589,320.443,123.794,36,3.2110000000000003
66,T67,T67,Cameron Beckman,96,2.588,285.676,110.367,56,2.945
67,T67,T67,Brian Davis,101,2.588,279.07,107.83200000000001,62,3.259
68,T67,T67,Tim Herron,98,2.588,291.703,112.70100000000001,63,3.182
69,T67,T67,Davis Love III,66,2.588,306.10900000000004,118.29,43,3.2489999999999997
70,T67,T67,Jeff Overton,60,2.588,297.616,114.98899999999999,38,2.949
71,T72,T72,Jarrod Lyle,77,2.5869999999999997,291.60400000000004,112.72,48,2.949
72,T72,T72,Kevin Na,84,2.5869999999999997,287.693,111.22399999999999,54,3.1189999999999998
73,T72,T72,Jason Schultz,63,2.5869999999999997,295.009,114.022,29,3.0589999999999997
74,T75,T75,Michael Boyd,61,2.585,273.643,105.85,35,2.9560000000000004
75,T75,T75,Joey Sindelar,75,2.585,287.215,111.118,52,3.016
76,T75,T75,Scott Verplank,82,2.585,277.45599999999996,107.337,51,3.2
77,78,78,Zach Johnson,76,2.5839999999999996,280.348,108.478,56,3.115
78,T79,T79,Gavin Coles,87,2.583,267.313,103.48700000000001,51,3.0380000000000003
79,T79,T79,J.J. Henry,86,2.583,299.85400000000004,116.09700000000001,48,3.25
80,T79,T79,Ian Poulter,63,2.583,283.717,109.819,35,3.125
81,T79,T79,D.J. Trahan,99,2.583,295.245,114.29299999999999,57,3.286
82,T83,T83,Stephen Ames,81,2.582,290.061,112.338,44,3.2939999999999996
83,T83,T83,Jeff Sluman,60,2.582,279.319,108.198,30,2.866
84,T85,T85,Billy Andrade,88,2.5810000000000004,289.28,112.06700000000001,59,3.034
85,T85,T85,D.J. Brigman,67,2.5810000000000004,287.91200000000003,111.54799999999999,39,2.905
86,T85,T85,Tom Byrum,50,2.5810000000000004,279.466,108.295,30,2.887
87,T85,T85,Anders Hansen,55,2.5810000000000004,286.19,110.88,30,3.052
88,T85,T85,John Rollins,102,2.5810000000000004,296.03,114.681,64,3.3089999999999997
89,T90,T90,Justin Leonard,95,2.5789999999999997,283.263,109.848,66,3.02
90,T90,T90,Bo Van Pelt,104,2.5789999999999997,297.17400000000004,115.214,66,2.897
91,T92,T92,Retief Goosen,50,2.5780000000000003,303.802,117.83,27,3.2889999999999997
92,T92,T92,Tom Pernice Jr.,104,2.5780000000000003,280.57599999999996,108.834,62,3.136
93,T92,T92,Jeff Quinney,95,2.5780000000000003,282.566,109.611,59,2.8939999999999997
94,95,95,Fred Funk,65,2.577,273.835,106.241,41,2.949
95,96,96,Glen Day,85,2.576,273.312,106.094,53,2.8810000000000002
96,T97,T97,Bob Heintz,85,2.574,280.953,109.133,47,3.022
97,T97,T97,Rory Sabbatini,81,2.574,294.79200000000003,114.53399999999999,44,3.233
98,99,99,Charles Warren,101,2.573,302.106,117.396,66,2.9589999999999996
99,T100,T100,Steve Flesch,100,2.572,287.508,111.802,57,2.978
100,T100,T100,Chris Stroud,66,2.572,290.871,113.074,38,2.929
101,T102,T102,Ryan Armour,107,2.571,282.75,109.978,71,3.1430000000000002
102,T102,T102,Tom Johnson,74,2.571,285.218,110.95700000000001,46,2.9330000000000003
103,104,104,Todd Hamilton,76,2.57,290.02299999999997,112.84899999999999,41,3.0389999999999997
104,T105,T105,Richard Johnson,93,2.568,278.435,108.413,47,2.9130000000000003
105,T105,T105,Bryce Molder,56,2.568,290.894,113.29,29,2.984
106,T105,T105,Dicky Pride,71,2.568,281.41,109.601,45,2.8289999999999997
107,T105,T105,Camilo Villegas,82,2.568,297.356,115.809,43,2.977
108,109,109,Tripp Isenhour,86,2.5669999999999997,280.938,109.434,51,2.886
109,T110,T110,Jim Furyk,84,2.565,284.809,111.05,57,3.156
110,T110,T110,Rod Pampling,92,2.565,291.96,113.81200000000001,58,3.298
111,T112,T112,Stewart Cink,91,2.5639999999999996,293.925,114.632,65,3.02
112,T112,T112,Steve Elkington,87,2.5639999999999996,279.643,109.07,49,2.861
113,T114,T114,Bill Haas,93,2.5610000000000004,303.71,118.59700000000001,53,2.9589999999999996
114,T114,T114,Craig Lile,77,2.5610000000000004,280.365,109.471,47,3.136
115,T116,T116,Jason Bohn,57,2.559,287.698,112.404,35,2.924
116,T116,T116,Ryuji Imada,104,2.559,281.58799999999997,110.02600000000001,77,2.905
117,118,118,Anthony Kim,93,2.5580000000000003,303.442,118.641,55,2.819
118,T119,T119,Nathan Green,103,2.557,285.403,111.60700000000001,64,2.931
119,T119,T119,Kent Jones,97,2.557,283.698,110.961,66,2.9160000000000004
120,T119,T119,Boo Weekley,101,2.557,299.593,117.165,48,3.071
121,122,122,Matt Kuchar,85,2.556,276.61,108.205,49,3.092
122,T123,T123,Woody Austin,95,2.555,287.845,112.67200000000001,67,3.012
123,T123,T123,Robert Garrigus,95,2.555,310.649,121.60700000000001,58,2.9419999999999997
124,T123,T123,Brian Gay,107,2.555,266.606,104.329,76,3.0069999999999997
125,T123,T123,Ryan Palmer,91,2.555,296.11400000000003,115.911,53,2.924
126,T127,T127,Chad Campbell,96,2.5540000000000003,290.843,113.889,57,3.123
127,T127,T127,Jason Dufner,100,2.5540000000000003,285.987,111.986,54,2.931
128,T129,T129,Charley Hoffman,97,2.553,305.38,119.63799999999999,65,3.1319999999999997
129,T129,T129,Kevin Stadler,95,2.553,294.98400000000004,115.564,51,2.8560000000000003
130,131,131,Harrison Frazar,88,2.552,300.895,117.928,43,2.9130000000000003
131,T132,T132,Jeff Brehaut,59,2.551,289.25,113.398,37,2.8989999999999996
132,T132,T132,Duffy Waldorf,69,2.551,283.172,111.00200000000001,40,3.138
133,134,134,Brian Bateman,55,2.549,289.348,113.53399999999999,33,3.196
134,135,135,Ted Purdy,102,2.5469999999999997,292.587,114.89299999999999,55,3.008
