,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Corey Pavin,81,13.64,21.0,154,+0.24
1,2,2,José Coceres,50,7.95,7.0,88,+0.29
2,3,3,Ben Curtis,80,6.62,9.0,136,+0.44
3,4,4,Paul Goydos,60,5.66,6.0,106,+0.17
4,5,5,Chris Riley,59,5.45,6.0,110,+1.17
5,6,6,Jeff Quinney,95,5.38,10.0,186,+0.50
6,7,7,Rory Sabbatini,81,5.22,7.0,134,+0.29
7,8,8,D.J. Brigman,67,5.08,6.0,118,+0.33
8,9,9,Kirk Triplett,77,4.67,7.0,150,+0.14
9,10,10,Craig Bowden,78,4.61,7.0,152,+0.29
10,11,11,Nick O'Hern,72,4.46,5.0,112,+0.20
11,12,12,Brian Bateman,55,4.26,4.0,94,+0.50
12,13,13,Gavin Coles,87,4.22,7.0,166,+0.14
13,14,14,Tom Johnson,74,4.17,6.0,144,+0.33
14,15,15,Stephen Ames,81,3.97,5.0,126,+0.40
15,T16,T16,Rich Barcelo,80,3.85,6.0,156,+0.17
16,T16,T16,Chad Campbell,96,3.85,6.0,156,+0.33
17,18,18,Nathan Green,103,3.76,7.0,186,+0.14
18,19,19,Stephen Leaney,82,3.75,6.0,160,-0.17
19,20,20,Tim Clark,66,3.7,4.0,108,-0.25
20,21,21,John Mallinger,96,3.65,7.0,192,E
21,22,22,Chris Tidland,59,3.64,4.0,110,+1.00
22,23,23,Brian Gay,107,3.4,7.0,206,+0.14
23,24,24,Stuart Appleby,74,3.39,4.0,118,+0.25
24,25,25,Craig Lile,77,3.33,5.0,150,+0.40
25,26,26,Tom Byrum,50,3.26,3.0,92,E
26,27,27,David Toms,80,3.17,4.0,126,E
27,T28,T28,Steve Elkington,87,3.16,5.0,158,+0.80
28,T28,T28,Mark Hensby,81,3.16,5.0,158,+0.80
29,T28,T28,Matt Kuchar,85,3.16,5.0,158,+0.20
30,T28,T28,Bob Tway,103,3.16,6.0,190,+0.17
31,T32,T32,Brian Davis,101,3.09,6.0,194,-0.33
32,T32,T32,Mark Wilson,87,3.09,5.0,162,+0.40
33,34,34,Jaco Van Zyl,51,3.06,3.0,98,+0.33
34,35,35,Robert Gamez,88,2.98,5.0,168,+0.40
35,36,36,Ryan Armour,107,2.91,6.0,206,+0.33
36,T37,T37,Luke Donald,69,2.83,3.0,106,E
37,T37,T37,Fred Funk,65,2.83,3.0,106,+0.67
38,39,39,K.J. Choi,87,2.82,4.0,142,+1.00
39,40,40,Justin Leonard,95,2.81,5.0,178,E
40,41,41,Trevor Immelman,74,2.78,3.0,108,E
41,T42,T42,Michael Boyd,61,2.63,3.0,114,+0.67
42,T42,T42,Johnson Wagner,97,2.63,5.0,190,+0.40
43,T44,T44,Ryuji Imada,104,2.6,5.0,192,+0.60
44,T44,T44,Joe Ogilvie,102,2.6,5.0,192,+0.80
45,T44,T44,Kevin Sutherland,85,2.6,4.0,154,+1.00
46,47,47,D.J. Trahan,99,2.58,5.0,194,+0.20
47,48,48,Anders Hansen,55,2.56,2.0,78,E
48,T49,T49,Doug LaBelle II,104,2.5,5.0,200,+0.40
49,T49,T49,José María Olazábal,52,2.5,2.0,80,+1.00
50,51,51,Glen Day,85,2.47,4.0,162,E
51,52,52,Craig Kanada,109,2.43,5.0,206,+1.00
52,53,53,Tim Petrovic,106,2.4,5.0,208,+0.20
53,54,54,Bob Estes,88,2.38,4.0,168,E
54,T55,T55,Tim Herron,98,2.33,4.0,172,+1.00
55,T55,T55,Michael Putnam,96,2.33,4.0,172,+0.50
56,57,57,Chris DiMarco,79,2.31,3.0,130,+0.33
57,58,58,Paul Gow,70,2.27,3.0,132,+0.33
58,59,59,Jim Furyk,84,2.21,3.0,136,+0.33
