,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Fred Funk,65,1.35,10,741,0.7
1,2,2,Jim Furyk,84,1.57,15,955,0.2
2,3,3,Trevor Immelman,74,1.85,14,756,0.71
3,4,4,José Coceres,50,1.95,12,616,0.5
4,5,5,Jay Williamson,50,2.0,14,700,0.29
5,6,6,Joe Durant,88,2.22,24,1083,0.33
6,7,7,Zach Johnson,76,2.47,21,850,0.71
7,8,8,Tim Clark,66,2.53,19,752,0.47
8,9,9,Luke Donald,69,2.55,19,745,0.42
9,10,10,Stephen Ames,81,2.6,23,886,0.57
10,11,11,Heath Slocum,101,2.66,36,1351,0.58
11,T12,T12,Steve Stricker,81,2.82,26,922,0.35
12,T12,T12,David Toms,80,2.82,25,886,0.56
13,14,14,Arron Oberholser,69,2.92,22,753,0.41
14,T15,T15,Geoff Ogilvy,84,3.0,27,900,0.11
15,T15,T15,Rod Pampling,92,3.0,32,1068,0.5
16,17,17,Bart Bryant,87,3.04,34,1119,0.18
17,18,18,Tom Byrum,50,3.12,20,641,0.8
18,19,19,Justin Leonard,95,3.13,39,1246,0.49
19,20,20,Michael Boyd,61,3.25,26,799,0.54
20,21,21,K.J. Choi,87,3.32,33,993,0.58
21,22,22,Tiger Woods,63,3.41,21,616,0.19
22,23,23,Nick O'Hern,72,3.44,27,784,0.41
23,24,24,John Rollins,102,3.53,44,1245,0.34
24,25,25,Aaron Baddeley,83,3.56,34,955,0.03
25,26,26,Retief Goosen,50,3.57,17,476,0.53
26,27,27,Ben Curtis,80,3.65,35,959,0.43
27,28,28,Adam Scott,69,3.68,28,760,0.68
28,29,29,Ryan Armour,107,3.76,54,1438,0.48
29,30,30,Hunter Mahan,91,3.9,43,1102,0.07
30,31,31,Billy Mayfair,98,3.91,49,1253,0.31
31,32,32,Kirk Triplett,77,3.92,41,1046,0.32
32,33,33,Brian Gay,107,3.96,57,1439,0.3
33,34,34,Bob Estes,88,4.0,47,1174,0.47
34,35,35,Steve Elkington,87,4.01,44,1098,0.3
35,T36,T36,Gavin Coles,87,4.06,47,1157,0.47
36,T36,T36,Ernie Els,59,4.06,25,616,0.56
