,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
0,T1,T1,Mark Brooks,53,1.48,42.927,29,1.4909999999999999,1.469
1,T1,T1,Bubba Dickerson,51,1.48,39.966,27,1.505,1.455
2,T3,T3,Chris DiMarco,79,1.479,69.529,47,1.5219999999999998,1.4509999999999998
3,T3,T3,Cliff Kresge,107,1.479,106.479,72,1.51,1.383
4,T3,T3,Billy Mayfair,98,1.479,96.13,65,1.506,1.433
5,T3,T3,Rory Sabbatini,81,1.479,65.096,44,1.499,1.465
6,T7,T7,Craig Bowden,78,1.4780000000000002,76.866,52,1.5090000000000001,1.453
7,T7,T7,Andrew Buckle,77,1.4780000000000002,78.34100000000001,53,1.53,1.4509999999999998
8,T7,T7,Bob Heintz,85,1.4780000000000002,69.48,47,1.4909999999999999,1.4669999999999999
9,T7,T7,Tom Johnson,74,1.4780000000000002,68.002,46,1.5219999999999998,1.413
10,T7,T7,Davis Love III,66,1.4780000000000002,63.534,43,1.5219999999999998,1.453
11,T7,T7,Steve Marino,106,1.4780000000000002,82.741,56,1.508,1.4269999999999998
12,T7,T7,Ian Poulter,63,1.4780000000000002,51.718,35,1.504,1.456
13,T7,T7,Steve Stricker,81,1.4780000000000002,85.723,58,1.516,1.4469999999999998
14,T7,T7,Vaughn Taylor,91,1.4780000000000002,85.699,58,1.5,1.449
15,T7,T7,David Toms,80,1.4780000000000002,78.312,53,1.5319999999999998,1.439
16,T7,T7,Jay Williamson,50,1.4780000000000002,44.343,30,1.51,1.4569999999999999
17,T18,T18,Tommy Armour III,81,1.4769999999999999,82.734,56,1.518,1.433
18,T18,T18,Rich Beem,89,1.4769999999999999,87.119,59,1.5119999999999998,1.368
19,T18,T18,Alex Cejka,80,1.4769999999999999,70.89699999999999,48,1.51,1.435
20,T18,T18,Tim Clark,66,1.4769999999999999,75.315,51,1.5119999999999998,1.455
21,T18,T18,Jason Dufner,100,1.4769999999999999,79.759,54,1.5119999999999998,1.463
22,T18,T18,Todd Hamilton,76,1.4769999999999999,60.548,41,1.5,1.4369999999999998
23,T18,T18,J.P. Hayes,89,1.4769999999999999,84.162,57,1.5019999999999998,1.435
24,T18,T18,Anthony Kim,93,1.4769999999999999,81.222,55,1.5019999999999998,1.425
25,T18,T18,Stephen Leaney,82,1.4769999999999999,73.835,50,1.508,1.453
26,T18,T18,Craig Lile,77,1.4769999999999999,69.40100000000001,47,1.52,1.435
27,T18,T18,Nick O'Hern,72,1.4769999999999999,66.445,45,1.493,1.411
28,T18,T18,Arron Oberholser,69,1.4769999999999999,72.387,49,1.489,1.459
29,T18,T18,Geoff Ogilvy,84,1.4769999999999999,76.80199999999999,52,1.493,1.459
30,T18,T18,Jeff Overton,60,1.4769999999999999,56.11600000000001,38,1.516,1.415
31,T18,T18,Paul Stankowski,52,1.4769999999999999,36.934,25,1.5019999999999998,1.4280000000000002
32,T18,T18,Kevin Sutherland,85,1.4769999999999999,81.22,55,1.5,1.455
33,T18,T18,Kirk Triplett,77,1.4769999999999999,88.6,60,1.5219999999999998,1.4469999999999998
34,T18,T18,Bo Van Pelt,104,1.4769999999999999,97.46,66,1.538,1.4269999999999998
35,T36,T36,Steve Allan,63,1.476,56.093999999999994,38,1.51,1.4469999999999998
36,T36,T36,Woody Austin,95,1.476,97.419,66,1.518,1.419
37,T36,T36,Craig Barlow,52,1.476,38.388000000000005,26,1.4909999999999999,1.439
38,T36,T36,John Daly,59,1.476,36.907,25,1.495,1.4069999999999998
39,T36,T36,Steve Flesch,100,1.476,84.11200000000001,57,1.516,1.4469999999999998
40,T36,T36,Paul Gow,70,1.476,63.452,43,1.493,1.445
41,T36,T36,Peter Lonard,85,1.476,78.203,53,1.495,1.409
42,T36,T36,Jeff Maggert,79,1.476,84.104,57,1.51,1.449
43,T36,T36,Rocco Mediate,72,1.476,84.109,57,1.504,1.368
44,T36,T36,Bryce Molder,56,1.476,42.809,29,1.52,1.453
45,T36,T36,Tag Ridings,52,1.476,38.363,26,1.5,1.453
46,T36,T36,Vijay Singh,102,1.476,100.399,68,1.524,1.435
