,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Bubba Watson,80,-.060
1,2,2,Jeff Overton,60,-.055
2,3,3,Ian Poulter,63,-.024
3,4,4,John Senden,97,-.006
4,T5,T5,Ernie Els,59,E
5,T5,T5,Padraig Harrington,64,E
6,T5,T5,Brett Wetterich,88,E
7,T5,T5,Tiger Woods,63,E
8,T9,T9,Ken Duke,112,+.009
9,T9,T9,Robert Garrigus,95,+.009
10,11,11,Rory Sabbatini,81,+.012
11,12,12,Daniel Chopra,106,+.018
12,13,13,Arron Oberholser,69,+.019
13,14,14,John Daly,59,+.021
14,15,15,Jesper Parnevik,88,+.023
15,T16,T16,Alex Cejka,80,+.030
16,T16,T16,Anthony Kim,93,+.030
17,T18,T18,Steve Allan,63,+.031
18,T18,T18,Kenny Perry,83,+.031
19,T20,T20,Carl Pettersson,111,+.033
20,T20,T20,Vijay Singh,102,+.033
21,22,22,Craig Barlow,52,+.036
22,23,23,Tag Ridings,52,+.040
23,24,24,Paul Stankowski,52,+.045
24,25,25,Stephen Leaney,82,+.046
25,26,26,Phil Mickelson,73,+.048
26,T27,T27,Stewart Cink,91,+.049
27,T27,T27,Jim Furyk,84,+.049
28,T27,T27,Heath Slocum,101,+.049
29,30,30,Steve Stricker,81,+.050
30,31,31,Brian Davis,101,+.053
31,32,32,Steve Marino,106,+.055
32,33,33,Jeff Brehaut,59,+.056
33,T34,T34,Joe Ogilvie,102,+.057
34,T34,T34,Bob Tway,103,+.057
35,36,36,Billy Mayfair,98,+.060
36,37,37,Sergio Garcia,68,+.061
37,38,38,Cliff Kresge,107,+.065
38,39,39,Geoff Ogilvy,84,+.066
39,T40,T40,Craig Bowden,78,+.068
40,T40,T40,Jerry Kelly,101,+.068
41,42,42,Brandt Snedeker,105,+.070
42,T43,T43,Stephen Ames,81,+.071
43,T43,T43,John Merrick,92,+.071
44,45,45,Jeff Maggert,79,+.072
45,46,46,Bo Van Pelt,104,+.075
46,T47,T47,Harrison Frazar,88,+.076
47,T47,T47,Joey Sindelar,75,+.076
48,49,49,Mark Calcavecchia,93,+.077
49,50,50,José María Olazábal,52,+.078
50,T51,T51,J.J. Henry,86,+.079
51,T51,T51,Matt Kuchar,85,+.079
52,T51,T51,Dean Wilson,92,+.079
53,T54,T54,Davis Love III,66,+.080
54,T54,T54,Camilo Villegas,82,+.080
55,56,56,D.J. Trahan,99,+.081
56,57,57,Charlie Wi,90,+.083
57,58,58,Sean O'Hair,98,+.084
58,59,59,George McNeill,95,+.085
59,T60,T60,Eric Axley,107,+.087
60,T60,T60,Bill Haas,93,+.087
61,62,62,Michael Putnam,96,+.088
62,63,63,K.J. Choi,87,+.089
63,64,64,Scott Gutschewski,67,+.092
64,65,65,Tim Clark,66,+.093
65,66,66,Nick O'Hern,72,+.095
66,67,67,Freddie Jacobson,70,+.096
67,T68,T68,Bob Heintz,85,+.097
68,T68,T68,Scott Verplank,82,+.097
69,T70,T70,Charles Howell III,89,+.098
70,T70,T70,David Toms,80,+.098
71,T72,T72,Chris Couch,76,+.099
72,T72,T72,Ryuji Imada,104,+.099
73,74,74,Woody Austin,95,+.100
74,T75,T75,Craig Kanada,109,+.101
75,T75,T75,Peter Lonard,85,+.101
76,T75,T75,Chris Tidland,59,+.101
77,78,78,Tom Johnson,74,+.102
78,T79,T79,Aaron Baddeley,83,+.104
79,T79,T79,Cameron Beckman,96,+.104
80,T81,T81,D.J. Brigman,67,+.105
81,T81,T81,Gavin Coles,87,+.105
82,T81,T81,Tim Petrovic,106,+.105
83,84,84,Duffy Waldorf,69,+.106
84,T85,T85,Marco Dawson,73,+.107
85,T85,T85,Adam Scott,69,+.107
86,T87,T87,Tommy Armour III,81,+.108
87,T87,T87,Jarrod Lyle,77,+.108
88,T89,T89,Ryan Palmer,91,+.109
89,T89,T89,Nick Watney,87,+.109
90,T91,T91,Brian Bateman,55,+.110
91,T91,T91,Steve Elkington,87,+.110
92,T91,T91,Steve Flesch,100,+.110
93,T91,T91,Mathew Goggin,97,+.110
94,T91,T91,Charley Hoffman,97,+.110
95,T91,T91,Kevin Na,84,+.110
96,97,97,Shaun Micheel,91,+.111
97,98,98,Tim Herron,98,+.112
98,T99,T99,Rich Beem,89,+.113
99,T99,T99,Joe Durant,88,+.113
100,T99,T99,Justin Leonard,95,+.113
101,T99,T99,Ted Purdy,102,+.113
102,103,103,Rocco Mediate,72,+.114
103,104,104,Kevin Sutherland,85,+.115
104,105,105,Anders Hansen,55,+.117
105,106,106,Steve Lowery,74,+.119
106,107,107,Andrew Buckle,77,+.121
107,108,108,Nathan Green,103,+.122
108,109,109,Frank Lickliter II,95,+.125
109,110,110,Chris Riley,59,+.126
