,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,John Daly,59,302.1,207854,688
1,2,2,Bubba Watson,80,301.4,277296,920
2,3,3,J.B. Holmes,71,300.8,269853,897
3,4,4,Robert Garrigus,95,296.3,356694,1204
4,5,5,Brett Wetterich,88,294.3,288729,981
5,6,6,Tag Ridings,52,293.7,184432,628
6,7,7,Harrison Frazar,88,292.4,299162,1023
7,8,8,Adam Scott,69,292.1,222025,760
8,9,9,Henrik Stenson,52,292.0,147147,504
9,10,10,Charles Howell III,89,291.9,268505,920
10,11,11,Jeff Overton,60,291.7,219916,754
11,12,12,Nick Watney,87,291.6,284616,976
12,13,13,Tiger Woods,63,291.4,175444,602
13,14,14,Chris Couch,76,291.3,297078,1020
14,T15,T15,Scott Gutschewski,67,291.0,236279,812
15,T15,T15,Charley Hoffman,97,291.0,337027,1158
16,17,17,Bill Haas,93,290.8,332683,1144
17,18,18,Boo Weekley,101,290.7,316910,1090
18,19,19,Anthony Kim,93,290.6,322858,1111
19,20,20,Mathias Grönberg,95,290.5,356674,1228
20,21,21,Bubba Dickerson,51,290.2,174133,600
21,T22,T22,Geoff Ogilvy,84,290.0,261027,900
22,T22,T22,Vijay Singh,102,290.0,332919,1148
23,T24,T24,Matt Hendrix,63,289.8,222565,768
24,T24,T24,Charles Warren,101,289.8,376453,1299
25,26,26,Jason Gore,86,289.6,315714,1090
26,27,27,Steve Allan,63,289.5,221792,766
27,28,28,Phil Mickelson,73,289.2,210572,728
28,29,29,Ernie Els,59,289.1,178108,616
29,30,30,Kevin Stadler,95,288.6,315177,1092
30,31,31,Robert Allenby,90,288.5,303456,1052
31,32,32,Troy Matteson,87,288.2,305780,1061
32,33,33,Craig Barlow,52,287.8,176983,615
33,34,34,Steve Marino,106,287.7,366795,1275
34,35,35,D.J. Trahan,99,287.3,360513,1255
35,36,36,Lucas Glover,98,287.2,313321,1091
36,37,37,Davis Love III,66,287.1,213896,745
37,T38,T38,Daniel Chopra,106,286.9,380997,1328
38,T38,T38,Kenny Perry,83,286.9,298926,1042
39,40,40,Brendon de Jonge,76,286.7,264303,922
40,41,41,Retief Goosen,50,286.6,136404,476
41,42,42,Paul Stankowski,52,286.5,167896,586
42,T43,T43,Andrew Buckle,77,286.3,269169,940
43,T43,T43,John Merrick,92,286.3,324670,1134
44,T43,T43,Greg Owen,81,286.3,281675,984
45,T46,T46,Mathew Goggin,97,286.1,346424,1211
46,T46,T46,Jarrod Lyle,77,286.1,267784,936
47,T46,T46,Sean O'Hair,98,286.1,333001,1164
48,T46,T46,John Rollins,102,286.1,336166,1175
49,T50,T50,Hunter Mahan,91,285.8,287496,1006
50,T50,T50,George McNeill,95,285.8,317770,1112
