,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Jim Furyk,84,7.96,76,955,+0.11
1,2,2,Ken Duke,112,8.05,117,1454,-0.06
2,3,3,Jim Rutledge,59,8.44,65,770,+0.09
3,4,4,Robert Gamez,88,8.45,99,1172,+0.23
4,5,5,Zach Johnson,76,8.47,72,850,+0.17
5,6,6,Chris Stroud,66,8.63,75,869,+0.09
6,7,7,Billy Mayfair,98,8.7,109,1253,+0.25
7,8,8,Bob Estes,88,8.77,103,1174,+0.11
8,9,9,Scott Verplank,82,8.91,81,909,+0.23
9,10,10,Bart Bryant,87,8.94,100,1119,+0.09
10,11,11,Chris Riley,59,8.97,69,769,+0.16
11,12,12,Kirk Triplett,77,8.99,94,1046,+0.30
12,13,13,Paul Gow,70,9.0,83,922,+0.16
13,14,14,Joe Durant,88,9.05,98,1083,+0.17
14,15,15,John Mallinger,96,9.06,121,1336,+0.14
15,16,16,José Coceres,50,9.09,56,616,+0.23
16,17,17,Steve Wheatcroft,73,9.13,88,964,+0.09
17,18,18,Jason Schultz,63,9.21,76,825,+0.08
18,19,19,Brian Gay,107,9.31,134,1439,+0.19
19,20,20,Ryan Armour,107,9.32,134,1438,+0.15
20,21,21,Craig Bowden,78,9.42,100,1062,+0.07
21,22,22,Brian Davis,101,9.44,128,1356,+0.15
22,23,23,Tom Byrum,50,9.52,61,641,+0.31
23,24,24,Paul Goydos,60,9.54,70,734,+0.24
24,25,25,Jay Williamson,50,9.57,67,700,+0.09
25,26,26,Michael Boyd,61,9.64,77,799,+0.04
26,27,27,Steve Elkington,87,9.65,106,1098,+0.16
27,28,28,Fred Funk,65,9.72,72,741,+0.28
28,29,29,Darron Stiles,65,9.82,81,825,+0.26
29,T30,T30,Greg Owen,81,9.84,109,1108,+0.13
30,T30,T30,Heath Slocum,101,9.84,133,1351,+0.10
31,32,32,Corey Pavin,81,9.85,106,1076,+0.20
32,33,33,Cameron Beckman,96,9.88,127,1285,+0.08
33,34,34,Duffy Waldorf,69,9.91,93,938,+0.14
34,35,35,Parker McLachlin,83,9.95,110,1105,+0.15
35,T36,T36,Tom Johnson,74,9.98,100,1002,+0.25
36,T36,T36,Jerry Kelly,101,9.98,116,1162,+0.18
37,38,38,Rocco Mediate,72,10.09,100,991,+0.25
38,39,39,David Branshaw,83,10.12,117,1156,+0.21
39,T40,T40,Glen Day,85,10.19,115,1129,+0.14
40,T40,T40,Justin Leonard,95,10.19,127,1246,+0.29
41,42,42,Craig Barlow,52,10.21,74,725,+0.19
42,43,43,John Merrick,92,10.24,126,1231,+0.10
43,44,44,Tim Herron,98,10.26,123,1199,+0.17
44,45,45,Dicky Pride,71,10.35,97,937,+0.23
45,46,46,Doug LaBelle II,104,10.46,146,1396,+0.23
46,47,47,Jarrod Lyle,77,10.5,107,1019,+0.07
47,48,48,Mark Brooks,53,10.52,69,656,+0.25
48,49,49,Jeff Brehaut,59,10.55,78,739,+0.17
49,50,50,Mathew Goggin,97,10.58,137,1295,+0.13
50,51,51,Gavin Coles,87,10.63,123,1157,+0.19
51,52,52,Kent Jones,97,10.64,144,1354,+0.25
52,53,53,Ted Purdy,102,10.66,143,1342,+0.24
53,54,54,Mike Weir,82,10.68,100,936,+0.09
54,T55,T55,Stephen Ames,81,10.72,95,886,+0.24
55,T55,T55,D.J. Trahan,99,10.72,145,1352,+0.14
56,57,57,Shaun Micheel,91,10.74,114,1061,+0.15
57,58,58,Craig Lile,77,10.75,113,1051,+0.21
58,59,59,John Rollins,102,10.76,134,1245,+0.10
59,60,60,Tommy Armour III,81,10.78,116,1076,+0.16
60,61,61,Jaco Van Zyl,51,10.8,74,685,+0.24
61,62,62,Jeff Quinney,95,10.84,141,1301,+0.18
62,63,63,Woody Austin,95,10.88,135,1241,+0.15
63,64,64,Peter Lonard,85,10.9,123,1128,+0.11
64,65,65,Charlie Wi,90,10.92,134,1227,+0.12
65,66,66,Bryce Molder,56,10.98,83,756,+0.27
66,T67,T67,Steve Marino,106,11.0,154,1400,+0.08
67,T67,T67,Jeff Overton,60,11.0,89,809,+0.04
68,69,69,Frank Lickliter II,95,11.01,140,1271,+0.11
69,70,70,Briny Baird,115,11.04,171,1549,+0.11
70,T71,T71,Steve Allan,63,11.08,91,821,+0.05
71,T71,T71,Michael Allen,74,11.08,108,975,+0.23
72,73,73,Tom Pernice Jr.,104,11.12,143,1286,+0.06
73,74,74,Troy Matteson,87,11.14,126,1131,+0.13
74,75,75,Ian Poulter,63,11.22,69,615,+0.10
75,76,76,John Senden,97,11.24,140,1245,+0.11
76,77,77,Johnson Wagner,97,11.31,150,1326,+0.16
77,78,78,Harrison Frazar,88,11.32,130,1148,+0.19
78,79,79,Jason Gore,86,11.33,136,1200,+0.10
79,T80,T80,Rich Barcelo,80,11.38,124,1090,+0.08
80,T80,T80,Anders Hansen,55,11.38,62,545,+0.31
81,T80,T80,Kyle Reifers,71,11.38,110,967,+0.15
82,83,83,D.J. Brigman,67,11.39,94,825,+0.38
83,84,84,Daisuke Maruyama,86,11.44,131,1145,+0.16
84,85,85,Tom Lehman,62,11.45,86,751,+0.14
85,86,86,Richard Johnson,93,11.53,146,1266,+0.16
86,87,87,Craig Kanada,109,11.54,166,1438,+0.21
87,88,88,Steve Lowery,74,11.55,120,1039,+0.15
88,89,89,Lucas Glover,98,11.63,135,1161,+0.09
89,90,90,Mark Wilson,87,11.65,131,1124,+0.19
90,91,91,Jonathan Byrd,73,11.79,110,933,+0.10
91,92,92,Joey Sindelar,75,11.82,120,1015,+0.11
92,93,93,George McNeill,95,11.83,143,1209,+0.08
93,94,94,Matt Kuchar,85,11.84,131,1106,+0.22
94,95,95,Todd Hamilton,76,11.85,109,920,+0.17
95,96,96,Bo Van Pelt,104,11.89,169,1421,+0.02
96,97,97,Bob Heintz,85,11.9,134,1126,+0.10
97,T98,T98,Matt Hendrix,63,11.99,102,851,+0.12
98,T98,T98,Joe Ogilvie,102,11.99,160,1334,+0.12
99,100,100,Tiger Woods,63,12.01,74,616,-0.09
100,101,101,Ryan Moore,92,12.05,141,1170,+0.01
101,T102,T102,Rich Beem,89,12.07,130,1077,+0.15
102,T102,T102,Tim Petrovic,106,12.07,175,1450,+0.14
103,104,104,Brett Wetterich,88,12.18,128,1051,+0.22
104,T105,T105,Jeff Gove,103,12.19,175,1436,+0.14
105,T105,T105,David Toms,80,12.19,108,886,+0.15
106,107,107,Bill Haas,93,12.25,152,1241,+0.11
107,108,108,Andrew Buckle,77,12.32,126,1023,+0.15
108,109,109,Luke Donald,69,12.35,92,745,+0.13
109,T110,T110,Boo Weekley,101,12.39,147,1186,+0.16
110,T110,T110,Dean Wilson,92,12.39,142,1146,+0.17
111,112,112,Marco Dawson,73,12.41,123,991,+0.02
112,113,113,Kevin Na,84,12.43,146,1175,+0.11
113,114,114,Geoff Ogilvy,84,12.44,112,900,+0.04
114,115,115,Jason Bohn,57,12.48,99,793,+0.08
115,116,116,Sean O'Hair,98,12.49,154,1233,+0.03
116,117,117,Rory Sabbatini,81,12.54,118,941,+0.05
117,118,118,Charles Warren,101,12.55,177,1410,+0.10
118,119,119,Stuart Appleby,74,12.56,104,828,+0.13
119,120,120,J.J. Henry,86,12.59,125,993,+0.17
120,121,121,Jeff Maggert,79,12.66,140,1106,+0.20
121,T122,T122,J.P. Hayes,89,12.67,157,1239,+0.09
122,T122,T122,Stephen Leaney,82,12.67,141,1113,+0.18
123,124,124,Tripp Isenhour,86,12.71,142,1117,+0.16
124,125,125,Brian Bateman,55,12.75,84,659,+0.21
125,126,126,Kevin Sutherland,85,12.85,138,1074,+0.11
126,T127,T127,Mark Calcavecchia,93,12.89,142,1102,+0.20
127,T127,T127,Hunter Mahan,91,12.89,142,1102,+0.17
128,129,129,Will MacKenzie,100,12.91,173,1340,+0.14
129,130,130,Rod Pampling,92,13.01,139,1068,+0.07
130,T131,T131,Stewart Cink,91,13.03,135,1036,+0.09
131,T131,T131,Tim Clark,66,13.03,98,752,+0.09
132,133,133,Brandt Snedeker,105,13.04,169,1296,+0.14
133,134,134,Tag Ridings,52,13.06,91,697,-0.03
134,135,135,Steve Stricker,81,13.12,121,922,+0.20
135,136,136,Brendon de Jonge,76,13.13,132,1005,+0.13
136,T137,T137,Billy Andrade,88,13.15,161,1224,+0.11
137,T137,T137,Ernie Els,59,13.15,81,616,+0.07
