,Driving_Pct._240-260_Measured_RANK THIS WEEK,Driving_Pct._240-260_Measured_RANK LAST WEEK,Driving_Pct._240-260_Measured_PLAYER NAME,Driving_Pct._240-260_Measured_ROUNDS,Driving_Pct._240-260_Measured_%,Driving_Pct._240-260_Measured_TOTAL DRIVES FOR 240-260,Driving_Pct._240-260_Measured_TOTAL DRVS - OVERALL,Driving_Pct._240-260_Measured_RELATIVE TO PAR
0,1,1,Gavin Coles,87,31.93,53,166,-0.04
1,2,2,Brian Gay,107,28.64,59,206,+0.14
2,3,3,Corey Pavin,81,24.68,38,154,-0.08
3,4,4,Paul Goydos,60,24.53,26,106,+0.12
4,5,5,Mark Brooks,53,23.4,22,94,+0.18
5,6,6,Fred Funk,65,22.64,24,106,+0.08
6,7,7,Craig Bowden,78,22.37,34,152,+0.03
7,8,8,Dean Wilson,92,20.12,33,164,+0.30
8,9,9,Michael Boyd,61,19.3,22,114,+0.18
9,10,10,Doug LaBelle II,104,19.0,38,200,+0.11
10,11,11,José María Olazábal,52,18.75,15,80,+0.07
11,12,12,Kirk Triplett,77,18.67,28,150,-0.11
12,13,13,Craig Kanada,109,17.48,36,206,+0.08
13,14,14,Zach Johnson,76,17.21,21,122,E
14,15,15,José Coceres,50,17.05,15,88,+0.20
15,16,16,Stephen Leaney,82,16.88,27,160,+0.07
16,17,17,Jerry Kelly,101,16.87,28,166,+0.18
17,18,18,Shigeki Maruyama,84,16.27,27,166,+0.19
18,19,19,Paul Gow,70,15.91,21,132,+0.19
19,20,20,Matt Kuchar,85,15.82,25,158,-0.16
20,21,21,Rocco Mediate,72,15.49,22,142,-0.09
21,22,22,Scott Verplank,82,15.38,20,130,-0.15
22,23,23,Stephen Ames,81,15.08,19,126,+0.11
23,24,24,Tim Clark,66,14.81,16,108,-0.13
24,25,25,Ben Curtis,80,14.71,20,136,+0.30
25,26,26,Chris DiMarco,79,14.62,19,130,+0.11
26,27,27,Brian Davis,101,14.43,28,194,+0.36
27,28,28,Nick O'Hern,72,14.29,16,112,+0.25
28,29,29,Dicky Pride,71,14.18,19,134,+0.16
29,30,30,Tom Pernice Jr.,104,14.13,26,184,+0.19
30,31,31,John Mallinger,96,14.06,27,192,+0.22
31,32,32,Jim Furyk,84,13.97,19,136,E
32,33,33,Richard Johnson,93,13.74,25,182,+0.20
33,T34,T34,Bob Estes,88,13.69,23,168,-0.13
34,T34,T34,Robert Gamez,88,13.69,23,168,E
35,36,36,Bart Bryant,87,13.13,21,160,-0.19
36,37,37,Anders Hansen,55,12.82,10,78,E
37,38,38,Glen Day,85,12.35,20,162,+0.15
38,39,39,Steve Stricker,81,12.12,16,132,-0.25
39,40,40,K.J. Choi,87,11.97,17,142,E
40,41,41,Heath Slocum,101,11.86,23,194,-0.09
41,42,42,Jeff Quinney,95,11.83,22,186,+0.09
42,43,43,Chris Riley,59,11.82,13,110,-0.31
43,44,44,Justin Leonard,95,11.8,21,178,E
44,T45,T45,Bob Heintz,85,11.73,19,162,+0.11
45,T45,T45,Mark Wilson,87,11.73,19,162,+0.16
46,47,47,Jeff Maggert,79,11.39,18,158,+0.06
47,48,48,Craig Lile,77,11.33,17,150,-0.06
48,49,49,Luke Donald,69,11.32,12,106,+0.25
49,50,50,Arron Oberholser,69,11.11,12,108,-0.08
50,51,51,Ryuji Imada,104,10.94,21,192,+0.14
51,52,52,Tom Byrum,50,10.87,10,92,E
52,53,53,Steve Elkington,87,10.76,17,158,+0.06
