,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_4s_TOTAL DISTANCE
0,1,1,John Daly,59,70.45,159575.9,226511
1,2,2,J.B. Holmes,71,70.23,204994.5,291898
2,3,3,Bubba Watson,80,69.4,208392.0,300295
3,4,4,Robert Garrigus,95,68.81,270626.6,393294
4,5,5,Tag Ridings,52,68.56,135579.8,197759
5,6,6,Jeff Overton,60,68.5,166360.5,242851
6,7,7,Bubba Dickerson,51,68.37,131274.5,191993
7,8,8,Harrison Frazar,88,68.11,227093.5,333443
8,9,9,Brett Wetterich,88,68.08,224384.4,329575
9,10,10,Matt Hendrix,63,67.91,167144.1,246129
10,11,11,Chris Couch,76,67.86,226561.8,333850
11,12,12,Henrik Stenson,52,67.8,111997.4,165197
12,13,13,Scott Gutschewski,67,67.7,178156.4,263154
13,14,14,Nick Watney,87,67.67,216263.8,319598
14,15,15,Kevin Stadler,95,67.66,237936.6,351687
15,16,16,Mathias Grönberg,95,67.6,270490.4,400129
16,17,17,Bill Haas,93,67.51,252348.2,373794
17,18,18,Adam Scott,69,67.47,170480.4,252658
18,19,19,Boo Weekley,101,67.45,247060.3,366313
19,20,20,Charley Hoffman,97,67.43,254146.9,376914
20,21,21,Anthony Kim,93,67.38,249211.9,369833
21,22,22,Steve Allan,63,67.35,169015.8,250946
22,23,23,Jason Gore,86,67.32,238385.4,354123
23,24,24,Charles Howell III,89,67.28,206260.1,306579
24,25,25,Charles Warren,101,67.24,288063.5,428398
25,26,26,Geoff Ogilvy,84,67.21,204716.5,304579
26,27,27,Brendon de Jonge,76,67.18,199571.7,297075
27,28,28,Vijay Singh,102,67.15,260853.3,388467
28,29,29,D.J. Trahan,99,67.08,276789.1,412627
29,T30,T30,Steve Marino,106,67.06,278906.4,415936
30,T30,T30,Greg Owen,81,67.06,213868.9,318906
31,32,32,Jay Williamson,50,67.04,143480.7,214024
32,33,33,Daniel Chopra,106,67.02,286877.3,428067
33,34,34,Ernie Els,59,66.93,137594.9,205583
34,35,35,Jarrod Lyle,77,66.9,204714.3,306017
35,36,36,Andrew Buckle,77,66.88,209906.1,313875
36,37,37,Phil Mickelson,73,66.87,164029.3,245304
37,38,38,Davis Love III,66,66.85,166821.9,249555
38,39,39,Michael Sim,52,66.84,151339.9,226411
39,40,40,Steve Lowery,74,66.83,210365.5,314766
40,41,41,Lucas Glover,98,66.81,234623.9,351198
41,T42,T42,John Merrick,92,66.78,247534.3,370699
42,T42,T42,Chris Tidland,59,66.78,153311.3,229571
43,44,44,Kenny Perry,83,66.74,230342.4,345143
44,45,45,John Rollins,102,66.72,261684.5,392236
45,46,46,Jason Schultz,63,66.71,159980.7,239810
46,47,47,Paul Stankowski,52,66.68,125565.8,188305
47,48,48,Craig Barlow,52,66.67,134102.8,201147
48,49,49,Ted Purdy,102,66.63,263528.0,395510
49,50,50,Sean O'Hair,98,66.61,255317.2,383290
50,51,51,Jeff Brehaut,59,66.6,144695.9,217272
51,T52,T52,J.P. Hayes,89,66.59,242021.4,363433
52,T52,T52,Troy Matteson,87,66.59,235227.9,353254
53,54,54,Joe Ogilvie,102,66.56,265374.6,398694
54,55,55,Mathew Goggin,97,66.53,262974.0,395269
55,56,56,Ryan Palmer,91,66.47,246287.5,370532
56,57,57,Mark Calcavecchia,93,66.42,225279.0,339186
57,58,58,Bo Van Pelt,104,66.4,298121.3,448945
58,59,59,Rod Pampling,92,66.37,231390.6,348621
59,60,60,Padraig Harrington,64,66.35,143215.7,215854
60,61,61,Will MacKenzie,100,66.34,277926.0,418952
61,62,62,Retief Goosen,50,66.33,106452.8,160498
62,63,63,Robert Allenby,90,66.32,237591.8,358269
63,64,64,Steve Wheatcroft,73,66.31,181475.6,273668
