,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Michael Boyd,61,18.15,145,799,1.17
1,2,2,José Coceres,50,18.34,113,616,2.57
2,3,3,Mark Brooks,53,18.6,122,656,2.87
3,4,4,Jim Rutledge,59,18.96,146,770,1.58
4,5,5,Doug LaBelle II,104,19.05,266,1396,2.26
5,6,6,Brian Davis,101,19.1,259,1356,1.0
6,7,7,Craig Bowden,78,19.11,203,1062,0.69
7,8,8,Tommy Armour III,81,19.42,209,1076,1.39
8,9,9,Joe Durant,88,19.67,213,1083,1.41
9,10,10,Brian Gay,107,20.01,288,1439,1.63
10,T11,T11,Tom Byrum,50,20.12,129,641,2.25
11,T11,T11,Darron Stiles,65,20.12,166,825,2.05
12,13,13,Scott Verplank,82,20.24,184,909,1.58
13,14,14,Fred Funk,65,20.38,151,741,2.91
14,15,15,Steve Elkington,87,20.4,224,1098,1.34
15,16,16,Heath Slocum,101,20.5,277,1351,0.72
16,17,17,Jaco Van Zyl,51,20.58,141,685,1.99
17,T18,T18,Zach Johnson,76,20.59,175,850,2.11
18,T18,T18,Billy Mayfair,98,20.59,258,1253,1.4
19,20,20,Glen Day,85,20.64,233,1129,1.42
20,21,21,Kirk Triplett,77,20.65,216,1046,2.59
21,22,22,Jim Furyk,84,20.84,199,955,0.7
22,23,23,Cameron Beckman,96,21.09,271,1285,0.92
23,24,24,Bart Bryant,87,21.18,237,1119,1.52
24,25,25,Chris Riley,59,21.33,164,769,1.4
25,26,26,Gavin Coles,87,21.35,247,1157,1.46
26,27,27,John Mallinger,96,21.41,286,1336,1.47
27,T28,T28,Jerry Kelly,101,21.43,249,1162,1.2
28,T28,T28,Jay Williamson,50,21.43,150,700,1.33
29,30,30,Robert Gamez,88,21.5,252,1172,1.83
30,31,31,Steve Wheatcroft,73,21.58,208,964,1.35
31,32,32,Kent Jones,97,21.71,294,1354,1.97
32,T33,T33,Shaun Micheel,91,21.77,231,1061,1.3
33,T33,T33,Charles Warren,101,21.77,307,1410,1.66
34,35,35,Corey Pavin,81,21.84,235,1076,1.7
35,36,36,Bob Heintz,85,21.94,247,1126,0.97
36,37,37,Duffy Waldorf,69,21.96,206,938,1.21
37,38,38,Ryan Armour,107,21.97,316,1438,1.74
38,39,39,Joey Sindelar,75,22.17,225,1015,0.93
39,40,40,Justin Leonard,95,22.23,277,1246,1.95
40,41,41,Anders Hansen,55,22.39,122,545,2.13
41,42,42,David Branshaw,83,22.49,260,1156,1.88
42,43,43,Rocco Mediate,72,22.5,223,991,1.75
43,44,44,Ken Duke,112,22.56,328,1454,-0.15
44,45,45,Jeff Brehaut,59,22.6,167,739,1.08
45,46,46,Paul Goydos,60,22.62,166,734,2.59
