,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Justin Leonard,83,"8' 8""",380.833,44,77
1,2,2,Retief Goosen,68,"9' 4""",383.417,41,108
2,T3,T3,Stuart Appleby,83,"9' 11""",687.0,69,56
3,T3,T3,Steve Stricker,64,"9' 11""",385.917,39,2
4,5,5,Thomas Levet,53,"10' 0""",430.5,43,81
5,6,6,Fred Funk,106,"10' 1""",553.0830000000001,55,42
6,T7,T7,Doug Barron,74,"10' 2""",607.5830000000001,60,23
7,T7,T7,Tim Herron,82,"10' 2""",609.25,60,148
8,9,9,Pat Perez,50,"10' 3""",400.5,39,166
9,10,10,Michael Allen,84,"10' 5""",570.6669999999999,55,70
10,11,11,Chris Riley,86,"10' 7""",591.0830000000001,56,26
11,12,12,Tim Clark,80,"10' 8""",342.25,32,58
12,T13,T13,Padraig Harrington,54,"10' 9""",332.583,31,36
13,T13,T13,Shigeki Maruyama,94,"10' 9""",675.1669999999999,63,21
14,T13,T13,Bo Van Pelt,102,"10' 9""",699.5830000000001,65,99
15,T16,T16,Marco Dawson,87,"10' 10""",812.5,75,121
16,T16,T16,Chris DiMarco,83,"10' 10""",467.5,43,62
17,T16,T16,Rod Pampling,89,"10' 10""",532.75,49,85
18,T16,T16,Camilo Villegas,95,"10' 10""",615.9169999999999,57,123
19,20,20,Omar Uresti,61,"10' 11""",361.333,33,7
20,T21,T21,Rory Sabbatini,84,"11' 1""",587.1669999999999,53,50
21,T21,T21,Bob Tway,81,"11' 1""",578.3330000000001,52,147
22,T23,T23,Robert Gamez,94,"11' 2""",615.5,55,135
23,T23,T23,Frank Lickliter II,99,"11' 2""",985.8330000000001,88,16
24,T23,T23,Vijay Singh,103,"11' 2""",801.0830000000001,72,39
25,T26,T26,Luke Donald,66,"11' 3""",428.167,38,3
26,T26,T26,David Toms,76,"11' 3""",540.5830000000001,48,54
27,T28,T28,Greg Chalmers,71,"11' 4""",737.0,65,126
28,T28,T28,Ben Crane,85,"11' 4""",735.5,65,120
