,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,1,Ernie Els,69,0.619,29.079,47
1,2,2,Stuart Appleby,83,0.591,37.814,64
2,3,3,José María Olazábal,62,0.51,19.881,39
3,4,4,Luke Donald,66,0.509,21.878,43
4,5,5,Steve Stricker,64,0.47200000000000003,24.522,52
5,6,6,Justin Leonard,83,0.441,28.656,65
6,7,7,Corey Pavin,74,0.439,25.049,57
7,8,8,Rod Pampling,89,0.435,28.299,65
8,9,9,Vijay Singh,103,0.414,34.743,84
9,10,10,Craig Barlow,77,0.376,21.798000000000002,58
10,11,11,Omar Uresti,61,0.368,18.787,51
11,12,12,Dudley Hart,83,0.365,25.896,71
12,13,13,Chris Riley,86,0.36200000000000004,24.987,69
13,14,14,Mark O'Meara,52,0.358,12.887,36
14,15,15,Trevor Immelman,86,0.337,24.593000000000004,73
15,16,16,Ryuji Imada,105,0.315,27.445999999999998,87
16,17,17,Rory Sabbatini,84,0.313,20.023,64
17,18,18,Carl Pettersson,95,0.309,23.175,75
18,19,19,Paul Azinger,87,0.302,24.156,80
19,T20,T20,Tom Pernice Jr.,108,0.293,25.508000000000003,87
20,T20,T20,Jason Schultz,77,0.293,19.043,65
21,22,22,Jason Bohn,104,0.285,25.398000000000003,89
22,23,23,Jerry Smith,94,0.276,23.217,84
23,24,24,Ben Crane,85,0.272,16.572,61
24,25,25,Pat Perez,50,0.27,11.355,42
25,26,26,Jerry Kelly,100,0.268,22.544,84
26,27,27,Kevin Sutherland,100,0.263,22.914,87
27,T28,T28,Billy Andrade,78,0.255,15.293,60
28,T28,T28,Kirk Triplett,58,0.255,12.493,49
29,30,30,Shigeki Maruyama,94,0.249,19.942,80
30,T31,T31,Marco Dawson,87,0.245,18.887,77
31,T31,T31,Jim Furyk,89,0.245,16.644000000000002,68
32,T31,T31,Mark Wilson,79,0.245,17.645,72
33,34,34,Arron Oberholser,82,0.243,15.08,62
34,35,35,Steve Flesch,119,0.23600000000000002,24.26,103
35,36,36,Mike Weir,88,0.235,14.812000000000001,63
36,37,37,Peter Lonard,77,0.23399999999999999,15.42,66
37,38,38,Paul Goydos,72,0.23199999999999998,14.857999999999999,64
38,T39,T39,Steve Elkington,52,0.213,9.81,46
39,T39,T39,Retief Goosen,68,0.213,9.79,46
40,41,41,Chad Campbell,91,0.21100000000000002,14.169,67
41,42,42,Brett Quigley,109,0.209,19.634,94
