,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Jim Furyk,89,0.574,54,31.0
1,2,2,Steve Stricker,64,0.58,50,29.0
2,3,3,Skip Kendall,72,0.672,61,41.0
3,4,4,Thomas Levet,53,0.675,40,27.0
4,5,5,Luke Donald,66,0.6779999999999999,59,40.0
5,T6,T6,Chris Riley,86,0.6809999999999999,72,49.0
6,T6,T6,Adam Scott,70,0.6809999999999999,47,32.0
7,8,8,Stuart Appleby,83,0.6859999999999999,86,59.0
8,9,9,Stephen Ames,63,0.688,48,33.0
9,10,10,Tjaart van der Walt,60,0.69,58,40.0
10,11,11,J.J. Henry,96,0.7020000000000001,104,73.0
11,12,12,Tom Lehman,70,0.703,64,45.0
12,13,13,Steve Elkington,52,0.7070000000000001,41,29.0
13,14,14,Ernie Els,69,0.7140000000000001,56,40.0
14,15,15,Stewart Cink,93,0.72,93,67.0
15,16,16,Trevor Immelman,86,0.725,80,58.0
16,17,17,Fred Funk,106,0.743,70,52.0
17,18,18,Billy Mayfair,94,0.7440000000000001,82,61.0
18,19,19,Corey Pavin,74,0.746,63,47.0
19,20,20,José María Olazábal,62,0.755,53,40.0
20,21,21,Stephen Leaney,84,0.7559999999999999,86,65.0
21,22,22,Bubba Watson,83,0.763,76,58.0
22,T23,T23,Bernhard Langer,77,0.7709999999999999,70,54.0
23,T23,T23,Larry Mize,53,0.7709999999999999,48,37.0
24,25,25,Jeff Sluman,101,0.777,94,73.0
25,26,26,Phil Mickelson,74,0.778,54,42.0
26,27,27,Tom Pernice Jr.,108,0.78,91,71.0
27,28,28,Brian Gay,107,0.784,116,91.0
28,29,29,Zach Johnson,98,0.785,79,62.0
29,T30,T30,Rod Pampling,89,0.7859999999999999,103,81.0
30,T30,T30,Jerry Smith,94,0.7859999999999999,112,88.0
31,32,32,Steve Flesch,119,0.79,119,94.0
32,33,33,Jesper Parnevik,84,0.7909999999999999,91,72.0
33,T34,T34,Brad Faxon,78,0.7959999999999999,113,90.0
34,T34,T34,Steve Jones,83,0.7959999999999999,93,74.0
35,36,36,Retief Goosen,68,0.797,74,59.0
36,37,37,Bob Estes,85,0.8,80,64.0
37,T38,T38,Brett Quigley,109,0.802,101,81.0
38,T38,T38,Mike Weir,88,0.802,81,65.0
39,T40,T40,Ryuji Imada,105,0.8059999999999999,103,83.0
40,T40,T40,David Toms,76,0.8059999999999999,62,50.0
41,42,42,Danny Ellis,68,0.8079999999999999,73,59.0
42,43,43,Michael Allen,84,0.81,105,85.0
43,T44,T44,Tommy Armour III,65,0.8140000000000001,70,57.0
44,T44,T44,Scott Verplank,88,0.8140000000000001,59,48.0
45,46,46,Charles Howell III,96,0.8170000000000001,93,76.0
46,47,47,Jerry Kelly,100,0.818,66,54.0
47,48,48,Fred Couples,52,0.821,28,23.0
48,49,49,Nick Watney,97,0.823,79,65.0
49,50,50,Tim Petrovic,95,0.826,115,95.0
50,T51,T51,Brian Davis,92,0.828,93,77.0
51,T51,T51,Chris DiMarco,83,0.828,58,48.0
52,53,53,Omar Uresti,61,0.8290000000000001,41,34.0
53,54,54,Kevin Sutherland,100,0.83,94,78.0
54,T55,T55,J.L. Lewis,57,0.831,77,64.0
55,T55,T55,Dean Wilson,115,0.831,118,98.0
56,T55,T55,Mark Wilson,79,0.831,83,69.0
57,58,58,Tim Herron,82,0.835,79,66.0
58,59,59,Mark O'Meara,52,0.836,55,46.0
59,60,60,Richard Johnson,94,0.8370000000000001,98,82.0
60,T61,T61,Aaron Baddeley,78,0.8390000000000001,93,78.0
61,T61,T61,Joe Durant,101,0.8390000000000001,62,52.0
62,63,63,Tiger Woods,55,0.84,25,21.0
63,64,64,Kenny Perry,73,0.843,51,43.0
64,65,65,Peter Lonard,77,0.848,92,78.0
65,66,66,Woody Austin,107,0.8490000000000001,106,90.0
66,67,67,Jon Mills,68,0.852,81,69.0
67,68,68,Robert Damron,91,0.853,95,81.0
68,69,69,Justin Leonard,83,0.856,90,77.0
69,T70,T70,Todd Fischer,101,0.857,126,108.0
70,T70,T70,Joe Ogilvie,95,0.857,91,78.0
71,T72,T72,Jonathan Byrd,66,0.86,50,43.0
72,T72,T72,Len Mattiace,59,0.86,86,74.0
73,T72,T72,Carl Pettersson,95,0.86,93,80.0
74,75,75,Shaun Micheel,96,0.862,94,81.0
75,T76,T76,David Branshaw,98,0.863,80,69.0
76,T76,T76,Charles Warren,93,0.863,73,63.0
77,78,78,Kent Jones,103,0.87,100,87.0
78,T79,T79,Jeff Gove,91,0.871,70,61.0
79,T79,T79,Roger Tambellini,64,0.871,70,61.0
80,81,81,Brandt Jobe,91,0.872,78,68.0
81,T82,T82,Chad Campbell,91,0.875,88,77.0
82,T82,T82,Freddie Jacobson,56,0.875,64,56.0
83,84,84,Michael Connell,51,0.877,57,50.0
84,85,85,D.A. Points,82,0.879,91,80.0
85,86,86,Arron Oberholser,82,0.88,75,66.0
86,T87,T87,Vaughn Taylor,88,0.8809999999999999,118,104.0
87,T87,T87,Duffy Waldorf,96,0.8809999999999999,59,52.0
88,89,89,Dudley Hart,83,0.882,93,82.0
89,90,90,Davis Love III,85,0.883,60,53.0
90,T91,T91,John Huston,74,0.884,86,76.0
