,Scrambling_from_20-30_yards_RANK THIS WEEK,Scrambling_from_20-30_yards_RANK LAST WEEK,Scrambling_from_20-30_yards_PLAYER NAME,Scrambling_from_20-30_yards_ROUNDS,Scrambling_from_20-30_yards_%,Scrambling_from_20-30_yards_SUCCESSES,Scrambling_from_20-30_yards_ATTEMPTS
0,1,1,Corey Pavin,74,62.96,34,54
1,2,2,Kris Cox,83,61.84,47,76
2,3,3,Vijay Singh,103,61.36,54,88
3,4,4,David Toms,76,61.25,49,80
4,5,5,Jim Furyk,89,60.42,29,48
5,6,6,Greg Kraft,79,60.34,35,58
6,T7,T7,Paul Azinger,87,60.0,51,85
7,T7,T7,Tim Clark,80,60.0,33,55
8,9,9,Ben Crane,85,59.76,49,82
9,10,10,Mike Sposa,68,59.74,46,77
10,11,11,J.L. Lewis,57,59.26,32,54
11,12,12,Bernhard Langer,77,59.09,39,66
12,13,13,Stewart Cink,93,58.75,47,80
13,14,14,Thomas Levet,53,58.7,27,46
14,T15,T15,Craig Barlow,77,58.62,34,58
15,T15,T15,Ernie Els,69,58.62,34,58
16,17,17,Jonathan Byrd,66,58.49,31,53
17,18,18,Kent Jones,103,58.33,56,96
18,19,19,Brett Quigley,109,58.25,60,103
19,20,20,Rory Sabbatini,84,57.69,30,52
20,21,21,Brian Gay,107,57.58,76,132
21,22,22,Ryan Moore,68,56.72,38,67
22,23,23,Aaron Baddeley,78,56.67,51,90
23,24,24,Paul Stankowski,70,56.6,30,53
24,25,25,Henrik Bjornstad,97,56.57,56,99
25,26,26,Sergio Garcia,59,56.41,22,39
26,27,27,Tim Petrovic,95,56.19,59,105
27,28,28,Chris DiMarco,83,56.14,32,57
28,29,29,Lucas Glover,105,56.04,51,91
29,30,30,Nathan Green,108,55.24,58,105
30,T31,T31,Ryuji Imada,105,55.22,74,134
31,T31,T31,Peter Lonard,77,55.22,37,67
32,33,33,Jesper Parnevik,84,55.21,53,96
33,34,34,Zach Johnson,98,55.06,49,89
34,35,35,Scott Verplank,88,54.9,28,51
35,36,36,Trevor Immelman,86,54.84,34,62
36,37,37,Jason Bohn,104,54.76,46,84
37,38,38,Luke Donald,66,54.55,24,44
38,39,39,Troy Matteson,101,54.13,59,109
39,T40,T40,Steve Lowery,99,54.02,47,87
40,T40,T40,Daisuke Maruyama,83,54.02,47,87
41,42,42,Jerry Kelly,100,54.0,54,100
42,43,43,Mark O'Meara,52,53.97,34,63
43,44,44,Brad Faxon,78,53.91,62,115
44,T45,T45,James Driscoll,80,53.85,63,117
45,T45,T45,Skip Kendall,72,53.85,28,52
46,T47,T47,Sean O'Hair,100,53.62,37,69
47,T47,T47,Mark Wilson,79,53.62,37,69
48,T49,T49,K.J. Choi,93,53.61,52,97
49,T49,T49,Steve Jones,83,53.61,52,97
50,51,51,Chris Riley,86,53.4,55,103
51,52,52,Paul Goydos,72,53.33,32,60
52,53,53,Rod Pampling,89,53.25,41,77
53,54,54,John Huston,74,53.19,50,94
54,55,55,Michael Allen,84,53.16,42,79
55,T56,T56,Bob Estes,85,53.13,34,64
56,T56,T56,Steve Stricker,64,53.13,17,32
57,58,58,Jeff Overton,95,53.1,60,113
58,59,59,Billy Andrade,78,52.86,37,70
59,60,60,Carl Pettersson,95,52.75,48,91
60,T61,T61,Doug Barron,74,52.7,39,74
61,T61,T61,Robert Garrigus,85,52.7,39,74
62,63,63,Charles Howell III,96,52.56,41,78
63,64,64,Stuart Appleby,83,52.5,42,80
64,65,65,John Cook,67,52.46,32,61
65,66,66,Shigeki Maruyama,94,52.43,54,103
66,67,67,Nick Watney,97,52.38,55,105
67,T68,T68,Jeff Sluman,101,52.33,45,86
68,T68,T68,Jerry Smith,94,52.33,45,86
69,T68,T68,Bob Tway,81,52.33,45,86
70,T71,T71,Stephen Ames,63,52.27,23,44
71,T71,T71,Kirk Triplett,58,52.27,23,44
72,T73,T73,Stephen Leaney,84,52.08,50,96
73,T73,T73,Omar Uresti,61,52.08,25,48
74,75,75,Bill Haas,99,51.89,55,106
75,T76,T76,Mark Brooks,90,51.72,45,87
76,T76,T76,J.J. Henry,96,51.72,45,87
77,78,78,Freddie Jacobson,56,51.67,31,60
78,79,79,Richard Johnson,94,51.58,49,95
79,80,80,Kevin Sutherland,100,51.49,52,101
80,81,81,Bo Van Pelt,102,51.46,53,103
81,82,82,Danny Ellis,68,51.43,36,70
82,83,83,Joe Ogilvie,95,51.39,37,72
83,84,84,Arjun Atwal,97,51.38,56,109
84,85,85,David Branshaw,98,51.35,38,74
85,86,86,José María Olazábal,62,51.22,21,41
86,87,87,Pat Perez,50,51.16,22,43
87,88,88,Tom Pernice Jr.,108,51.0,51,100
88,89,89,David McKenzie,82,50.7,36,71
89,90,90,Shaun Micheel,96,50.63,40,79
90,91,91,Marco Dawson,87,50.59,43,85
91,92,92,Woody Austin,107,50.54,47,93
92,93,93,Steve Flesch,119,50.51,50,99
93,T94,T94,Daniel Chopra,110,50.0,52,104
94,T94,T94,Ben Curtis,86,50.0,37,74
95,T94,T94,John Daly,51,50.0,27,54
96,T94,T94,Brent Geiberger,99,50.0,58,116
97,T94,T94,David Howell,52,50.0,18,36
98,T94,T94,Arron Oberholser,82,50.0,28,56
99,T94,T94,Kenny Perry,73,50.0,25,50
100,T94,T94,Ian Poulter,53,50.0,18,36
