,Sand_Saves_from_20-30_yards_RANK THIS WEEK,Sand_Saves_from_20-30_yards_RANK LAST WEEK,Sand_Saves_from_20-30_yards_PLAYER NAME,Sand_Saves_from_20-30_yards_ROUNDS,Sand_Saves_from_20-30_yards_%,Sand_Saves_from_20-30_yards_# OF SAVES,Sand_Saves_from_20-30_yards_# OF BUNKERS
0,1,1,David Howell,52,78.57,11,14
1,2,2,David Toms,76,76.67,23,30
2,3,3,Corey Pavin,74,69.57,16,23
3,T4,T4,Steve Elkington,52,69.23,9,13
4,T4,T4,Ian Poulter,53,69.23,9,13
5,6,6,Greg Kraft,79,67.86,19,28
6,T7,T7,K.J. Choi,93,66.67,20,30
7,T7,T7,Ben Crane,85,66.67,14,21
8,T7,T7,Pat Perez,50,66.67,18,27
9,T7,T7,Rory Sabbatini,84,66.67,14,21
10,T7,T7,Jeff Sluman,101,66.67,28,42
11,12,12,Stewart Cink,93,65.63,21,32
12,13,13,Bob May,65,64.71,11,17
13,T14,T14,Doug Barron,74,63.89,23,36
14,T14,T14,Vijay Singh,103,63.89,23,36
15,T16,T16,Zach Johnson,98,63.64,21,33
16,T16,T16,Mark O'Meara,52,63.64,14,22
17,18,18,Chris Riley,86,62.5,25,40
18,T19,T19,Stuart Appleby,83,60.0,15,25
19,T19,T19,Craig Barlow,77,60.0,12,20
20,T19,T19,Jerry Smith,94,60.0,18,30
21,22,22,J.L. Lewis,57,59.09,13,22
22,23,23,Lucas Glover,105,58.97,23,39
23,T24,T24,Chad Campbell,91,58.82,20,34
24,T24,T24,Tim Petrovic,95,58.82,20,34
25,T26,T26,Bob Estes,85,58.62,17,29
26,T26,T26,Bernhard Langer,77,58.62,17,29
27,28,28,Ryuji Imada,105,58.33,28,48
28,T29,T29,Tim Clark,80,57.89,11,19
29,T29,T29,Kenny Perry,73,57.89,11,19
30,T31,T31,Marco Dawson,87,57.69,15,26
31,T31,T31,Mike Sposa,68,57.69,15,26
32,T33,T33,Alex Cejka,93,57.58,19,33
33,T33,T33,Rod Pampling,89,57.58,19,33
34,T35,T35,Michael Allen,84,57.14,16,28
35,T35,T35,Thomas Levet,53,57.14,12,21
36,T35,T35,Bo Van Pelt,102,57.14,24,42
37,T35,T35,Brett Wetterich,82,57.14,12,21
38,39,39,Greg Chalmers,71,56.67,17,30
39,40,40,Henrik Bjornstad,97,56.25,18,32
40,41,41,Jason Gore,86,56.0,14,25
41,T42,T42,Sergio Garcia,59,55.56,10,18
42,T42,T42,Peter Lonard,77,55.56,15,27
43,T42,T42,Phil Mickelson,74,55.56,10,18
44,T45,T45,Bill Haas,99,55.26,21,38
45,T45,T45,Kent Jones,103,55.26,21,38
46,47,47,Carlos Franco,86,55.0,22,40
47,48,48,Dean Wilson,115,54.9,28,51
48,49,49,Charles Howell III,96,54.84,17,31
49,50,50,Carl Pettersson,95,54.29,19,35
50,51,51,Jerry Kelly,100,54.05,20,37
51,T52,T52,Aaron Baddeley,78,53.85,21,39
52,T52,T52,Jason Bohn,104,53.85,21,39
53,54,54,Ryan Moore,68,53.57,15,28
54,55,55,Jeff Overton,95,53.49,23,43
55,T56,T56,Jeff Gove,91,53.33,16,30
56,T56,T56,Steve Stricker,64,53.33,8,15
57,58,58,Stephen Leaney,84,53.13,17,32
58,T59,T59,José María Olazábal,62,52.94,9,17
59,T59,T59,Greg Owen,79,52.94,9,17
60,T59,T59,Mark Wilson,79,52.94,9,17
61,T62,T62,Michael Connell,51,52.63,10,19
62,T62,T62,Heath Slocum,96,52.63,10,19
63,T64,T64,Stephen Ames,63,52.17,12,23
64,T64,T64,Ernie Els,69,52.17,12,23
65,T64,T64,Jimmy Walker,60,52.17,12,23
66,67,67,Joe Ogilvie,95,51.61,16,31
67,68,68,David Branshaw,98,51.43,18,35
68,69,69,Duffy Waldorf,96,51.11,23,45
69,T70,T70,Arjun Atwal,97,50.0,25,50
70,T70,T70,Jonathan Byrd,66,50.0,12,24
71,T70,T70,Chris DiMarco,83,50.0,11,22
72,T70,T70,Luke Donald,66,50.0,6,12
73,T70,T70,Robert Garrigus,85,50.0,17,34
74,T70,T70,Steve Lowery,99,50.0,16,32
75,T70,T70,Shigeki Maruyama,94,50.0,22,44
76,T70,T70,Larry Mize,53,50.0,8,16
77,T70,T70,Ted Purdy,103,50.0,14,28
78,T70,T70,Kevin Sutherland,100,50.0,12,24
79,T70,T70,Vaughn Taylor,88,50.0,13,26
80,T81,T81,Brian Davis,92,48.65,18,37
81,T81,T81,Robert Gamez,94,48.65,18,37
82,83,83,Brett Quigley,109,48.28,14,29
83,T84,T84,Fred Funk,106,47.83,11,23
84,T84,T84,Brent Geiberger,99,47.83,22,46
85,T84,T84,Jon Mills,68,47.83,11,23
86,T87,T87,Tom Pernice Jr.,108,47.62,20,42
87,T87,T87,Adam Scott,70,47.62,10,21
88,89,89,Nathan Green,108,46.88,15,32
89,T90,T90,Joe Durant,101,46.67,14,30
90,T90,T90,Sean O'Hair,100,46.67,14,30
91,T92,T92,Billy Andrade,78,46.43,13,28
92,T92,T92,Shane Bertsch,104,46.43,26,56
93,T92,T92,John Senden,96,46.43,13,28
94,T95,T95,Justin Rose,98,46.15,12,26
95,T95,T95,Chris Smith,67,46.15,12,26
96,97,97,Richard Johnson,94,45.95,17,37
97,98,98,Mike Weir,88,45.83,11,24
98,99,99,Woody Austin,107,45.71,16,35
99,T100,T100,John Daly,51,45.45,10,22
100,T100,T100,Padraig Harrington,54,45.45,5,11
101,T100,T100,Trevor Immelman,86,45.45,10,22
102,T100,T100,Billy Mayfair,94,45.45,10,22
103,T104,T104,Mark Brooks,90,45.16,14,31
104,T104,T104,Ian Leggatt,80,45.16,14,31
105,T104,T104,Len Mattiace,59,45.16,14,31
106,T107,T107,Brian Gay,107,45.0,18,40
107,T107,T107,Steve Jones,83,45.0,18,40
108,T107,T107,D.J. Trahan,92,45.0,18,40
109,110,110,David McKenzie,82,44.83,13,29
110,111,111,D.A. Points,82,44.74,17,38
111,112,112,Mathew Goggin,72,44.44,12,27
112,113,113,Davis Love III,85,44.0,11,25
113,114,114,Paul Azinger,87,43.9,18,41
114,T115,T115,Steve Flesch,119,43.75,21,48
115,T115,T115,Scott Verplank,88,43.75,7,16
116,117,117,Brad Faxon,78,43.59,17,39
117,T118,T118,Tommy Armour III,65,43.48,10,23
118,T118,T118,J.B. Holmes,81,43.48,10,23
119,T118,T118,Troy Matteson,101,43.48,20,46
120,121,121,Shaun Micheel,96,43.33,13,30
121,122,122,Bubba Dickerson,98,43.18,19,44
122,T123,T123,Dudley Hart,83,42.86,12,28
123,T123,T123,John Huston,74,42.86,12,28
124,T123,T123,Camilo Villegas,95,42.86,15,35
125,126,126,Daniel Chopra,110,42.42,14,33
126,127,127,Kris Cox,83,42.31,11,26
127,128,128,Brian Bateman,69,41.94,13,31
128,129,129,Nick Watney,97,41.86,18,43
129,T130,T130,Retief Goosen,68,41.67,10,24
130,T130,T130,Hidemichi Tanaka,74,41.67,15,36
131,132,132,Olin Browne,108,41.38,12,29
132,133,133,James Driscoll,80,41.18,14,34
133,134,134,Lee Janzen,79,41.03,16,39
134,T135,T135,Briny Baird,81,40.74,11,27
135,T135,T135,Ben Curtis,86,40.74,11,27
136,T135,T135,Tim Herron,82,40.74,11,27
137,138,138,Eric Axley,91,40.54,15,37
138,139,139,Ryan Palmer,101,40.48,17,42
139,T140,T140,Geoff Ogilvy,76,40.0,6,15
140,T140,T140,Jesper Parnevik,84,40.0,14,35
141,T140,T140,Tjaart van der Walt,60,40.0,6,15
142,T140,T140,Vance Veazey,59,40.0,10,25
143,T140,T140,Tiger Woods,55,40.0,2,5
144,145,145,Todd Fischer,101,39.58,19,48
145,146,146,Rich Beem,85,38.89,14,36
146,T147,T147,Robert Damron,91,38.46,15,39
147,T147,T147,Harrison Frazar,95,38.46,15,39
148,149,149,Justin Leonard,83,37.93,11,29
149,150,150,Bubba Watson,83,37.84,14,37
150,T151,T151,Jonathan Kaye,95,37.5,12,32
151,T151,T151,Roger Tambellini,64,37.5,9,24
152,T151,T151,Kirk Triplett,58,37.5,9,24
153,T151,T151,Omar Uresti,61,37.5,6,16
154,155,155,Skip Kendall,72,36.84,7,19
155,T156,T156,Hunter Mahan,98,36.59,15,41
156,T156,T156,Patrick Sheehan,104,36.59,15,41
157,T158,T158,Matt Hansen,68,36.36,8,22
158,T158,T158,Jason Schultz,77,36.36,12,33
159,T158,T158,Joey Sindelar,90,36.36,8,22
160,T161,T161,Fred Couples,52,36.0,9,25
161,T161,T161,Jeff Maggert,81,36.0,9,25
162,T163,T163,Tom Lehman,70,35.71,10,28
163,T163,T163,Frank Lickliter II,99,35.71,10,28
164,T163,T163,"Wes Short, Jr.",96,35.71,15,42
165,166,166,Tag Ridings,103,35.29,12,34
166,T167,T167,Mark Calcavecchia,94,35.14,13,37
167,T167,T167,J.J. Henry,96,35.14,13,37
168,169,169,Bart Bryant,87,35.0,7,20
169,170,170,Freddie Jacobson,56,34.78,8,23
170,171,171,John Rollins,93,34.62,9,26
171,172,172,Will MacKenzie,91,34.29,12,35
172,T173,T173,Charley Hoffman,100,34.09,15,44
173,T173,T173,Bob Tway,81,34.09,15,44
174,T175,T175,Robert Allenby,79,33.33,7,21
175,T175,T175,John Cook,67,33.33,7,21
176,T175,T175,David Duval,71,33.33,6,18
177,T175,T175,Arron Oberholser,82,33.33,6,18
178,179,179,Mathias Grönberg,92,32.43,12,37
179,180,180,Charles Warren,93,32.26,10,31
180,181,181,Daisuke Maruyama,83,31.25,10,32
181,182,182,Paul Goydos,72,31.03,9,29
182,183,183,Alex Aragon,63,30.43,7,23
183,T184,T184,"John Engler, Jr.",69,29.41,10,34
184,T184,T184,J.P. Hayes,55,29.41,5,17
185,186,186,Todd Hamilton,72,29.17,7,24
186,187,187,Brandt Jobe,91,29.03,9,31
187,188,188,Ryan Hietala,61,28.57,8,28
188,189,189,Ron Whittaker,81,28.21,11,39
189,190,190,Jeff Brehaut,100,28.13,9,32
190,T191,T191,Danny Ellis,68,27.27,6,22
191,T191,T191,Nicholas Thompson,96,27.27,9,33
192,193,193,Jim Furyk,89,26.67,4,15
193,194,194,Scott Gutschewski,53,26.32,5,19
194,195,195,Chris Couch,75,25.81,8,31
195,196,196,Paul Stankowski,70,25.0,4,16
