,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Bob May,65,70.83,34,48
1,2,2,Luke Donald,66,66.67,30,45
2,3,3,Steve Stricker,64,64.91,37,57
3,4,4,Jerry Smith,94,64.49,69,107
4,5,5,Rod Pampling,89,63.64,63,99
5,6,6,Duffy Waldorf,96,63.56,75,118
6,7,7,Chris Riley,86,63.41,78,123
7,8,8,Rory Sabbatini,84,63.1,53,84
8,9,9,Corey Pavin,74,62.82,49,78
9,10,10,Padraig Harrington,54,62.5,20,32
10,11,11,Greg Chalmers,71,62.0,62,100
11,12,12,Brian Gay,107,61.79,76,123
12,T13,T13,Stewart Cink,93,61.29,57,93
13,T13,T13,Dudley Hart,83,61.29,57,93
14,15,15,Steve Elkington,52,61.22,30,49
15,16,16,Mark Wilson,79,61.11,44,72
16,17,17,Jeff Sluman,101,60.87,70,115
17,18,18,Vaughn Taylor,88,59.38,57,96
18,19,19,Doug Barron,74,59.18,58,98
19,20,20,"John Engler, Jr.",69,58.89,53,90
20,21,21,Stuart Appleby,83,58.62,51,87
21,22,22,David Toms,76,58.44,45,77
22,23,23,Tim Petrovic,95,58.41,66,113
23,24,24,Jerry Kelly,100,58.25,60,103
24,25,25,Paul Azinger,87,58.1,61,105
25,26,26,Michael Allen,84,57.65,49,85
26,27,27,David Howell,52,57.58,19,33
27,T28,T28,K.J. Choi,93,57.14,56,98
28,T28,T28,José María Olazábal,62,57.14,16,28
29,30,30,Carlos Franco,86,57.0,57,100
30,31,31,Chad Campbell,91,56.98,49,86
31,32,32,Mark O'Meara,52,56.72,38,67
32,33,33,Joe Ogilvie,95,56.44,57,101
33,34,34,Vijay Singh,103,56.25,54,96
34,35,35,Hidemichi Tanaka,74,56.18,50,89
35,T36,T36,Ernie Els,69,56.16,41,73
36,T36,T36,Geoff Ogilvy,76,56.16,41,73
37,38,38,Steve Flesch,119,56.08,83,148
38,39,39,Ryuji Imada,105,56.03,65,116
39,40,40,Peter Lonard,77,55.95,47,84
40,41,41,Chris DiMarco,83,55.84,43,77
41,42,42,Nathan Green,108,55.74,68,122
42,T43,T43,Jeff Overton,95,55.56,50,90
43,T43,T43,John Senden,96,55.56,45,81
44,T43,T43,Tjaart van der Walt,60,55.56,30,54
45,46,46,Mike Weir,88,55.42,46,83
46,47,47,Dean Wilson,115,55.22,74,134
47,48,48,Sean O'Hair,100,55.1,54,98
48,49,49,Ian Leggatt,80,55.06,49,89
49,T50,T50,Jason Bohn,104,55.0,66,120
50,T50,T50,Kevin Sutherland,100,55.0,44,80
51,52,52,Tim Clark,80,54.93,39,71
52,53,53,Marco Dawson,87,54.9,56,102
53,54,54,Arjun Atwal,97,54.87,62,113
54,55,55,Robert Garrigus,85,54.74,52,95
55,T56,T56,Trevor Immelman,86,54.67,41,75
56,T56,T56,Arron Oberholser,82,54.67,41,75
57,58,58,David Branshaw,98,54.37,56,103
58,59,59,Daniel Chopra,110,54.26,70,129
