,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Luke Donald,66,74.76,77,103
1,2,2,Geoff Ogilvy,76,74.1,103,139
2,3,3,Brian Gay,107,73.66,193,262
3,4,4,Steve Stricker,64,73.64,95,129
4,5,5,Steve Elkington,52,73.21,82,112
5,6,6,Greg Owen,79,72.67,109,150
6,7,7,Mark O'Meara,52,71.96,77,107
7,8,8,Rod Pampling,89,70.45,124,176
8,9,9,K.J. Choi,93,70.37,114,162
9,10,10,Paul Azinger,87,70.33,147,209
10,11,11,Nathan Green,108,70.26,163,232
11,12,12,Dudley Hart,83,70.18,120,171
12,13,13,Trevor Immelman,86,70.12,115,164
13,14,14,Billy Andrade,78,69.74,106,152
14,15,15,Brett Quigley,109,69.7,161,231
15,16,16,Richard Johnson,94,69.59,151,217
16,17,17,Kevin Sutherland,100,69.5,139,200
17,18,18,Ernie Els,69,69.4,93,134
18,19,19,Stephen Leaney,84,69.32,122,176
19,20,20,J.P. Hayes,55,69.17,83,120
20,21,21,Stuart Appleby,83,69.03,107,155
21,22,22,Greg Chalmers,71,69.01,98,142
22,23,23,Brent Geiberger,99,68.58,155,226
23,24,24,Scott Verplank,88,68.51,124,181
24,25,25,Doug Barron,74,68.31,125,183
25,26,26,Ryuji Imada,105,68.2,148,217
26,27,27,Jerry Smith,94,68.16,137,201
27,28,28,Bubba Dickerson,98,68.1,143,210
28,29,29,Arron Oberholser,82,68.09,96,141
29,30,30,Jim Furyk,89,67.81,99,146
30,31,31,Danny Ellis,68,67.65,115,170
31,32,32,Steve Flesch,119,67.43,176,261
32,33,33,John Huston,74,67.05,118,176
33,34,34,Kirk Triplett,58,66.93,85,127
34,35,35,Jonathan Byrd,66,66.91,91,136
35,36,36,Jerry Kelly,100,66.82,145,217
36,T37,T37,Padraig Harrington,54,66.67,62,93
37,T37,T37,Charles Howell III,96,66.67,142,213
38,T37,T37,Chris Riley,86,66.67,134,201
39,40,40,Daniel Chopra,110,66.53,163,245
40,41,41,Duffy Waldorf,96,66.52,151,227
41,42,42,Chad Campbell,91,66.46,107,161
42,43,43,John Cook,67,66.17,88,133
43,44,44,Shaun Micheel,96,66.11,119,180
44,45,45,Larry Mize,53,66.06,72,109
45,46,46,Michael Allen,84,66.02,136,206
46,47,47,Bernhard Langer,77,66.01,101,153
47,48,48,Jeff Gove,91,65.96,124,188
48,49,49,Justin Leonard,83,65.75,96,146
49,50,50,Skip Kendall,72,65.67,88,134
50,T51,T51,Eric Axley,91,65.63,126,192
51,T51,T51,Corey Pavin,74,65.63,105,160
52,53,53,Stephen Ames,63,65.52,76,116
53,54,54,Bill Haas,99,65.5,150,229
54,55,55,Brian Davis,92,65.47,146,223
55,56,56,Freddie Jacobson,56,65.22,90,138
56,T57,T57,Shigeki Maruyama,94,65.15,129,198
57,T57,T57,Tim Petrovic,95,65.15,157,241
58,59,59,Jesper Parnevik,84,65.13,127,195
59,60,60,Harrison Frazar,95,65.05,121,186
60,T61,T61,Brian Bateman,69,64.94,100,154
61,T61,T61,Mike Sposa,68,64.94,113,174
62,63,63,Aaron Baddeley,78,64.81,140,216
63,64,64,"John Engler, Jr.",69,64.8,116,179
64,65,65,Jason Schultz,77,64.74,112,173
65,66,66,Frank Lickliter II,99,64.71,143,221
66,67,67,Ryan Hietala,61,64.52,100,155
67,T68,T68,Todd Fischer,101,64.49,158,245
68,T68,T68,David Toms,76,64.49,89,138
69,T70,T70,Stewart Cink,93,64.37,112,174
70,T70,T70,John Senden,96,64.37,112,174
71,72,72,Adam Scott,70,64.36,65,101
72,73,73,Charles Warren,93,64.21,122,190
73,74,74,Daisuke Maruyama,83,64.17,120,187
74,T75,T75,Kris Cox,83,64.04,114,178
75,T75,T75,Hidemichi Tanaka,74,64.04,114,178
76,77,77,Retief Goosen,68,63.95,55,86
77,78,78,Len Mattiace,59,63.89,92,144
78,79,79,Ben Crane,85,63.87,99,155
79,80,80,Woody Austin,107,63.84,173,271
80,81,81,David Branshaw,98,63.8,141,221
81,82,82,Fred Funk,106,63.72,144,226
82,83,83,Carlos Franco,86,63.68,135,212
83,84,84,Mathias Grönberg,92,63.59,131,206
84,85,85,Dean Wilson,115,63.52,155,244
85,86,86,Jeff Overton,95,63.46,132,208
86,87,87,Tjaart van der Walt,60,63.43,85,134
87,88,88,Ben Curtis,86,63.41,104,164
88,89,89,Ian Poulter,53,63.39,71,112
89,90,90,Mark Calcavecchia,94,63.35,140,221
90,T91,T91,Lee Janzen,79,63.33,114,180
91,T91,T91,Joe Ogilvie,95,63.33,133,210
92,T91,T91,Carl Pettersson,95,63.33,133,210
93,94,94,D.J. Trahan,92,63.27,143,226
94,95,95,Nick Watney,97,63.21,134,212
95,96,96,Bob Estes,85,63.13,125,198
96,97,97,Matt Hansen,68,63.06,99,157
97,98,98,Robert Gamez,94,62.98,131,208
98,99,99,Arjun Atwal,97,62.93,129,205
99,100,100,Shane Bertsch,104,62.88,144,229
100,101,101,Justin Rose,98,62.73,138,220
101,102,102,Steve Lowery,99,62.72,143,228
102,103,103,Ted Purdy,103,62.7,116,185
103,T104,T104,Jason Bohn,104,62.5,155,248
104,T104,T104,Tom Pernice Jr.,108,62.5,150,240
105,T104,T104,Omar Uresti,61,62.5,85,136
106,107,107,Jeff Maggert,81,62.42,103,165
107,108,108,Brad Faxon,78,62.38,131,210
108,109,109,David McKenzie,82,62.22,112,180
109,110,110,Mark Brooks,90,62.19,125,201
110,111,111,Jimmy Walker,60,62.16,92,148
111,112,112,Kenny Perry,73,62.1,77,124
112,113,113,Paul Goydos,72,62.03,98,158
113,114,114,Zach Johnson,98,62.01,111,179
114,T115,T115,Henrik Bjornstad,97,62.0,155,250
115,T115,T115,Hunter Mahan,98,62.0,124,200
116,117,117,Marco Dawson,87,61.9,130,210
117,118,118,J.L. Lewis,57,61.81,89,144
118,119,119,Bo Van Pelt,102,61.8,144,233
119,120,120,Charley Hoffman,100,61.79,131,212
120,121,121,Heath Slocum,96,61.76,126,204
121,122,122,Ian Leggatt,80,61.66,119,193
122,123,123,James Driscoll,80,61.61,130,211
123,124,124,Robert Allenby,79,61.59,93,151
124,T125,T125,Robert Damron,91,61.54,144,234
125,T125,T125,David Howell,52,61.54,40,65
126,127,127,Peter Lonard,77,61.49,107,174
127,128,128,Kent Jones,103,61.47,142,231
128,129,129,Billy Mayfair,94,61.43,129,210
129,130,130,Chris DiMarco,83,61.29,95,155
130,131,131,José María Olazábal,62,61.25,49,80
131,T132,T132,Tom Lehman,70,61.11,66,108
132,T132,T132,Tiger Woods,55,61.11,44,72
133,134,134,Paul Stankowski,70,61.08,102,167
134,135,135,Tag Ridings,103,60.96,153,251
135,136,136,Ryan Moore,68,60.76,96,158
136,137,137,Lucas Glover,105,60.68,125,206
137,138,138,Michael Connell,51,60.53,69,114
138,T139,T139,Tim Clark,80,60.45,81,134
139,T139,T139,J.J. Henry,96,60.45,107,177
140,141,141,Vijay Singh,103,60.43,113,187
141,T142,T142,David Duval,71,60.42,87,144
142,T142,T142,Joey Sindelar,90,60.42,116,192
143,144,144,Craig Barlow,77,60.25,97,161
144,145,145,Jeff Sluman,101,60.19,124,206
145,146,146,Olin Browne,108,60.16,148,246
146,147,147,Davis Love III,85,60.13,92,153
147,148,148,Tim Herron,82,60.12,104,173
148,149,149,Mark Wilson,79,60.11,110,183
149,150,150,Ryan Palmer,101,60.09,128,213
150,151,151,Mathew Goggin,72,60.0,84,140
151,152,152,Robert Garrigus,85,59.9,121,202
152,153,153,Rory Sabbatini,84,59.89,112,187
153,154,154,Todd Hamilton,72,59.88,100,167
154,155,155,Jon Mills,68,59.87,94,157
155,156,156,Alex Cejka,93,59.69,114,191
156,157,157,Camilo Villegas,95,59.62,127,213
157,158,158,Nicholas Thompson,96,59.57,137,230
158,159,159,Ron Whittaker,81,59.55,106,178
159,T160,T160,Thomas Levet,53,59.42,82,138
160,T160,T160,Vance Veazey,59,59.42,82,138
161,162,162,"Wes Short, Jr.",96,59.36,130,219
162,163,163,Bob May,65,59.35,73,123
163,164,164,Patrick Sheehan,104,59.29,150,253
