,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,José María Olazábal,62,-.108,37,-4.00
1,2,2,Justin Leonard,83,-.079,76,-6.00
2,3,3,Ian Poulter,53,-.051,39,-2.00
3,4,4,Corey Pavin,74,-.047,85,-4.00
4,5,5,Rod Pampling,89,-.043,70,-3.00
5,6,6,Aaron Baddeley,78,-.042,71,-3.00
6,7,7,Jason Bohn,104,-.035,113,-4.00
7,8,8,Greg Owen,79,-.032,94,-3.00
8,9,9,Greg Chalmers,71,-.029,70,-2.00
9,10,10,Brian Bateman,69,-.015,67,-1.00
10,11,11,Ben Crane,85,-.013,77,-1.00
11,T12,T12,Craig Barlow,77,E,62,E
12,T12,T12,Luke Donald,66,E,36,E
13,T12,T12,Steve Flesch,119,E,120,E
14,T12,T12,Robert Gamez,94,E,104,E
15,T12,T12,Sergio Garcia,59,E,33,E
16,T12,T12,Paul Goydos,72,E,86,E
17,T12,T12,Carl Pettersson,95,E,110,E
18,T12,T12,Steve Stricker,64,E,50,E
19,T20,T20,Harrison Frazar,95,+.009,113,+1.00
20,T20,T20,Dean Wilson,115,+.009,114,+1.00
21,22,22,Chad Campbell,91,+.011,87,+1.00
22,23,23,Jim Furyk,89,+.012,84,+1.00
23,24,24,Rich Beem,85,+.013,77,+1.00
24,25,25,Trevor Immelman,86,+.014,70,+1.00
25,T26,T26,Geoff Ogilvy,76,+.016,63,+1.00
26,T26,T26,David Toms,76,+.016,62,+1.00
27,28,28,Bubba Dickerson,98,+.017,115,+2.00
28,29,29,Sean O'Hair,100,+.019,108,+2.00
29,30,30,Dudley Hart,83,+.020,99,+2.00
30,31,31,Bob Tway,81,+.022,89,+2.00
31,32,32,Ryan Palmer,101,+.023,130,+3.00
