,Proximity_to_Hole_from_10-20_yards_RANK THIS WEEK,Proximity_to_Hole_from_10-20_yards_RANK LAST WEEK,Proximity_to_Hole_from_10-20_yards_PLAYER NAME,Proximity_to_Hole_from_10-20_yards_ROUNDS,Proximity_to_Hole_from_10-20_yards_AVG DTP,Proximity_to_Hole_from_10-20_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_10-20_yards_# OF SHOTS,Proximity_to_Hole_from_10-20_yards_SCRAMBLING RANK
0,1,1,Luke Donald,66,"5' 8""",623.3330000000001,110,3
1,T2,T2,Billy Andrade,78,"5' 10""",1037.5,177,72
2,T2,T2,Steve Stricker,64,"5' 10""",814.8330000000001,140,2
3,T2,T2,Kevin Sutherland,100,"5' 10""",1455.5829999999999,249,30
4,5,5,Mark O'Meara,52,"6' 0""",694.6669999999999,115,67
5,6,6,Paul Azinger,87,"6' 1""",1508.5,247,8
6,T7,T7,Steve Flesch,119,"6' 2""",1886.75,305,22
7,T7,T7,Ryuji Imada,105,"6' 2""",1545.0,251,24
8,T7,T7,Stephen Leaney,84,"6' 2""",1252.667,202,19
9,T10,T10,Jerry Kelly,100,"6' 3""",1518.75,243,17
10,T10,T10,Shigeki Maruyama,94,"6' 3""",1512.3329999999999,241,21
11,T10,T10,Scott Verplank,88,"6' 3""",1204.833,192,12
12,T13,T13,Aaron Baddeley,78,"6' 4""",1496.6670000000001,235,51
13,T13,T13,Justin Leonard,83,"6' 4""",1059.167,168,77
14,T13,T13,Jerry Smith,94,"6' 4""",1439.75,227,41
15,T16,T16,Robert Damron,91,"6' 5""",1699.6670000000001,264,100
16,T16,T16,Ernie Els,69,"6' 5""",1018.9169999999999,158,53
17,T16,T16,Skip Kendall,72,"6' 5""",934.6669999999999,145,73
18,T16,T16,Greg Owen,79,"6' 5""",1168.917,182,11
19,T16,T16,Tom Pernice Jr.,108,"6' 5""",1817.6670000000001,283,80
20,T21,T21,Doug Barron,74,"6' 6""",1381.9170000000001,212,23
21,T21,T21,Danny Ellis,68,"6' 6""",1300.25,200,90
22,T21,T21,Steve Lowery,99,"6' 6""",1698.5829999999999,260,111
23,T21,T21,Rod Pampling,89,"6' 6""",1338.5829999999999,205,85
24,T21,T21,Chris Riley,86,"6' 6""",1475.0829999999999,228,26
25,T26,T26,Michael Allen,84,"6' 7""",1463.8329999999999,222,70
26,T26,T26,Chad Campbell,91,"6' 7""",1133.5,172,93
27,T26,T26,Daniel Chopra,110,"6' 7""",1944.0,296,105
28,T26,T26,Bill Haas,99,"6' 7""",1853.1670000000001,282,48
29,T26,T26,Trevor Immelman,86,"6' 7""",1343.9170000000001,203,32
30,T26,T26,Peter Lonard,77,"6' 7""",1301.333,197,87
31,T26,T26,Arron Oberholser,82,"6' 7""",1112.917,170,98
32,T33,T33,Marco Dawson,87,"6' 8""",1594.8329999999999,238,121
33,T33,T33,Steve Elkington,52,"6' 8""",871.5830000000001,131,6
34,T33,T33,Todd Fischer,101,"6' 8""",1772.4170000000001,265,117
35,T33,T33,Brian Gay,107,"6' 8""",1882.5829999999999,283,5
36,T33,T33,Paul Goydos,72,"6' 8""",1191.583,178,25
37,T33,T33,Tom Lehman,70,"6' 8""",825.3330000000001,124,155
38,T33,T33,Corey Pavin,74,"6' 8""",1072.583,161,1
39,T33,T33,Mike Sposa,68,"6' 8""",1306.0,195,47
40,T33,T33,Mark Wilson,79,"6' 8""",1413.0,213,82
41,T42,T42,Mark Brooks,90,"6' 9""",1504.75,222,107
42,T42,T42,Jeff Maggert,81,"6' 9""",1296.333,191,178
43,T42,T42,Adam Scott,70,"6' 9""",908.5830000000001,134,91
44,T42,T42,Vijay Singh,103,"6' 9""",1533.4170000000001,226,39
45,T42,T42,Omar Uresti,61,"6' 9""",1014.75,150,7
46,T42,T42,Bo Van Pelt,102,"6' 9""",1847.5829999999999,275,99
47,T48,T48,James Driscoll,80,"6' 10""",1712.0,251,160
48,T48,T48,Dudley Hart,83,"6' 10""",1401.9170000000001,205,64
49,T48,T48,Richard Johnson,94,"6' 10""",1600.6670000000001,235,44
50,T48,T48,Joe Ogilvie,95,"6' 10""",1633.3329999999999,240,45
51,T48,T48,José María Olazábal,62,"6' 10""",679.1669999999999,100,95
52,T48,T48,Brett Quigley,109,"6' 10""",1926.3329999999999,281,14
53,T48,T48,Hidemichi Tanaka,74,"6' 10""",1370.3329999999999,200,169
54,T48,T48,Kirk Triplett,58,"6' 10""",993.25,145,133
55,T56,T56,Brian Bateman,69,"6' 11""",1209.167,174,94
56,T56,T56,Alex Cejka,93,"6' 11""",1529.75,220,156
57,T56,T56,Kris Cox,83,"6' 11""",1449.8329999999999,210,118
58,T56,T56,"John Engler, Jr.",69,"6' 11""",1388.25,201,176
59,T56,T56,Harrison Frazar,95,"6' 11""",1627.0829999999999,236,96
60,T56,T56,Brent Geiberger,99,"6' 11""",1784.0,258,34
61,T56,T56,Jeff Gove,91,"6' 11""",1513.75,218,78
62,T56,T56,Billy Mayfair,94,"6' 11""",1567.8329999999999,226,35
63,T56,T56,Rory Sabbatini,84,"6' 11""",1460.1670000000001,210,50
64,T56,T56,Jimmy Walker,60,"6' 11""",1195.75,173,175
65,T56,T56,Nick Watney,97,"6' 11""",1790.1670000000001,259,15
66,T67,T67,John Cook,67,"7' 0""",1007.5,144,28
67,T67,T67,Ben Crane,85,"7' 0""",1183.25,170,120
68,T67,T67,Jim Furyk,89,"7' 0""",1166.25,167,4
69,T67,T67,Tim Herron,82,"7' 0""",1370.0829999999999,195,148
70,T67,T67,Lee Janzen,79,"7' 0""",1376.3329999999999,197,184
71,T67,T67,Zach Johnson,98,"7' 0""",1391.75,199,103
72,T67,T67,Steve Jones,83,"7' 0""",1366.4170000000001,195,92
73,T67,T67,Bernhard Langer,77,"7' 0""",1253.917,179,57
74,T67,T67,Geoff Ogilvy,76,"7' 0""",1104.75,157,69
75,T67,T67,Jesper Parnevik,84,"7' 0""",1631.8329999999999,233,28
76,T67,T67,Carl Pettersson,95,"7' 0""",1759.8329999999999,251,66
77,T67,T67,D.A. Points,82,"7' 0""",1524.1670000000001,217,131
78,T67,T67,Justin Rose,98,"7' 0""",1796.25,257,84
79,T67,T67,Jason Schultz,77,"7' 0""",1413.0,203,119
80,T67,T67,John Senden,96,"7' 0""",1404.75,200,86
81,T67,T67,Vaughn Taylor,88,"7' 0""",1453.3329999999999,208,144
82,T67,T67,Bob Tway,81,"7' 0""",1251.667,178,147
83,T67,T67,Charles Warren,93,"7' 0""",1546.5829999999999,220,64
84,T85,T85,Craig Barlow,77,"7' 1""",1376.75,195,159
85,T85,T85,Stewart Cink,93,"7' 1""",1390.9170000000001,197,27
86,T85,T85,Brian Davis,92,"7' 1""",1815.6670000000001,256,49
87,T85,T85,Bob Estes,85,"7' 1""",1531.5,216,40
88,T85,T85,Nathan Green,108,"7' 1""",1930.25,272,17
89,T85,T85,J.P. Hayes,55,"7' 1""",982.0,139,75
90,T85,T85,Ryan Hietala,61,"7' 1""",1170.667,166,180
91,T85,T85,Kent Jones,103,"7' 1""",1858.0829999999999,261,136
92,T85,T85,Daisuke Maruyama,83,"7' 1""",1484.75,209,104
93,T85,T85,Len Mattiace,59,"7' 1""",1092.5,154,143
94,T85,T85,Bob May,65,"7' 1""",1044.583,147,144
95,T85,T85,Larry Mize,53,"7' 1""",819.5,116,33
96,T85,T85,Kenny Perry,73,"7' 1""",1059.083,149,162
97,T85,T85,Bubba Watson,83,"7' 1""",1366.0829999999999,194,83
