,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Steve Stricker,64,"5' 11""",1880.1670000000001,316,2
1,T2,T2,Omar Uresti,61,"6' 2""",2165.5,350,7
2,T2,T2,Scott Verplank,88,"6' 2""",2692.5,436,12
3,4,4,Justin Leonard,83,"6' 4""",2676.833,425,77
4,T5,T5,Retief Goosen,68,"6' 6""",2051.167,314,108
5,T5,T5,Corey Pavin,74,"6' 6""",2425.5,375,1
6,T7,T7,Luke Donald,66,"6' 7""",1792.4170000000001,273,3
7,T7,T7,Shigeki Maruyama,94,"6' 7""",3827.667,582,21
8,T7,T7,Justin Rose,98,"6' 7""",3682.5,558,84
9,T10,T10,Michael Allen,84,"6' 8""",3353.5,505,70
10,T10,T10,Chris Riley,86,"6' 8""",3505.583,525,26
11,T10,T10,Vijay Singh,103,"6' 8""",3906.333,586,39
12,13,13,Stephen Leaney,84,"6' 9""",3345.917,498,19
13,T14,T14,Tim Clark,80,"6' 10""",2435.333,357,58
14,T14,T14,Robert Damron,91,"6' 10""",3934.833,575,100
15,T14,T14,Steve Flesch,119,"6' 10""",4843.417,711,22
16,T14,T14,Jim Furyk,89,"6' 10""",2622.167,385,4
17,T14,T14,Paul Goydos,72,"6' 10""",2961.083,432,25
18,T14,T14,Padraig Harrington,54,"6' 10""",1764.4170000000001,257,36
19,T14,T14,Jerry Kelly,100,"6' 10""",3791.5,553,17
20,T21,T21,Paul Azinger,87,"6' 11""",4062.667,585,8
21,T21,T21,Doug Barron,74,"6' 11""",3469.917,504,23
22,T21,T21,Marco Dawson,87,"6' 11""",3877.083,562,121
23,T21,T21,Rod Pampling,89,"6' 11""",3317.667,477,85
24,T21,T21,Rory Sabbatini,84,"6' 11""",3110.917,449,50
25,T26,T26,Billy Andrade,78,"7' 0""",2850.833,407,72
26,T26,T26,Jonathan Byrd,66,"7' 0""",2579.0,368,20
27,T26,T26,Ernie Els,69,"7' 0""",2525.25,361,53
28,T26,T26,Brian Gay,107,"7' 0""",4779.833,683,5
29,T26,T26,Bill Haas,99,"7' 0""",4547.667,653,48
30,T26,T26,Tim Herron,82,"7' 0""",3095.833,440,148
31,T26,T26,Peter Lonard,77,"7' 0""",3174.417,456,87
32,T26,T26,Bob May,65,"7' 0""",2473.583,353,144
33,T26,T26,Tom Pernice Jr.,108,"7' 0""",4372.417,621,80
34,T26,T26,Kirk Triplett,58,"7' 0""",2287.25,325,133
35,T36,T36,Aaron Baddeley,78,"7' 1""",3928.25,554,51
36,T36,T36,Fred Funk,106,"7' 1""",3773.083,532,42
37,T36,T36,Ryuji Imada,105,"7' 1""",4393.25,621,24
38,T36,T36,Steve Lowery,99,"7' 1""",4268.167,603,111
39,T36,T36,Larry Mize,53,"7' 1""",1984.0829999999999,281,33
40,T36,T36,Bob Tway,81,"7' 1""",3299.583,465,147
41,T36,T36,Mike Weir,88,"7' 1""",3153.417,443,79
42,T43,T43,Stuart Appleby,83,"7' 2""",3353.167,470,56
43,T43,T43,Mark Brooks,90,"7' 2""",3804.5,533,107
44,T43,T43,Chad Campbell,91,"7' 2""",3072.0,430,93
45,T43,T43,Joe Ogilvie,95,"7' 2""",3934.25,550,45
46,T43,T43,Ian Poulter,53,"7' 2""",2116.583,294,36
47,T43,T43,Mike Sposa,68,"7' 2""",3111.917,432,47
48,T43,T43,Bo Van Pelt,102,"7' 2""",4469.0,623,99
49,T50,T50,Woody Austin,107,"7' 3""",4996.417,691,43
50,T50,T50,Jason Bohn,104,"7' 3""",4479.417,618,13
51,T50,T50,Dudley Hart,83,"7' 3""",3577.833,495,64
52,T50,T50,J.B. Holmes,81,"7' 3""",3261.167,451,188
53,T50,T50,Jonathan Kaye,95,"7' 3""",4217.167,581,102
54,T50,T50,Daisuke Maruyama,83,"7' 3""",3476.083,482,104
55,T50,T50,Kevin Sutherland,100,"7' 3""",4242.167,582,30
56,T57,T57,Olin Browne,108,"7' 4""",4348.333,596,152
57,T57,T57,Alex Cejka,93,"7' 4""",4064.5,552,156
58,T57,T57,Chris DiMarco,83,"7' 4""",2949.417,401,62
59,T57,T57,Danny Ellis,68,"7' 4""",3218.833,439,90
60,T57,T57,Bob Estes,85,"7' 4""",3552.0,482,40
61,T57,T57,Todd Fischer,101,"7' 4""",4921.25,668,117
62,T57,T57,Lucas Glover,105,"7' 4""",4380.5,594,129
63,T57,T57,Zach Johnson,98,"7' 4""",3577.75,487,103
64,T57,T57,Skip Kendall,72,"7' 4""",2696.333,368,73
