,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Corey Pavin,74,"7' 0""",543.75,78,1
1,2,2,Steve Flesch,119,"7' 1""",1075.083,152,22
2,3,3,Rory Sabbatini,84,"7' 2""",666.0830000000001,93,50
3,4,4,Ryuji Imada,105,"7' 3""",935.0,129,24
4,5,5,Mike Weir,88,"7' 4""",788.0830000000001,107,79
5,6,6,Mike Sposa,68,"7' 8""",593.4169999999999,77,47
6,T7,T7,Billy Andrade,78,"7' 9""",649.6669999999999,84,72
7,T7,T7,Luke Donald,66,"7' 9""",387.167,50,3
8,T7,T7,Jerry Kelly,100,"7' 9""",857.3330000000001,111,17
9,T7,T7,Steve Stricker,64,"7' 9""",455.25,59,2
10,T11,T11,Robert Damron,91,"7' 11""",880.9169999999999,111,100
11,T11,T11,Peter Lonard,77,"7' 11""",704.5830000000001,89,87
12,T11,T11,Rod Pampling,89,"7' 11""",915.25,116,85
13,T11,T11,Chris Riley,86,"7' 11""",1071.5,135,26
14,T11,T11,Vijay Singh,103,"7' 11""",984.0,124,39
15,T16,T16,Michael Allen,84,"8' 0""",648.9169999999999,81,70
16,T16,T16,James Driscoll,80,"8' 0""",1037.0,129,160
17,T18,T18,Marco Dawson,87,"8' 1""",765.3330000000001,95,121
18,T18,T18,Dudley Hart,83,"8' 1""",764.0,95,64
19,T18,T18,Tom Pernice Jr.,108,"8' 1""",1024.0,127,80
20,T18,T18,Vaughn Taylor,88,"8' 1""",813.5,101,144
21,T22,T22,Doug Barron,74,"8' 2""",743.0,91,23
22,T22,T22,Brian Gay,107,"8' 2""",1064.583,131,5
23,T22,T22,Jeff Sluman,101,"8' 2""",1017.8330000000001,125,71
24,T22,T22,Jerry Smith,94,"8' 2""",901.4169999999999,110,41
25,26,26,Nathan Green,108,"8' 3""",1125.833,137,17
26,T27,T27,Craig Barlow,77,"8' 4""",660.75,79,159
27,T27,T27,Arron Oberholser,82,"8' 4""",754.6669999999999,91,98
28,T29,T29,Ernie Els,69,"8' 5""",738.4169999999999,88,53
29,T29,T29,Mark O'Meara,52,"8' 5""",511.333,61,67
30,T29,T29,Kevin Sutherland,100,"8' 5""",814.6669999999999,97,30
31,T29,T29,Duffy Waldorf,96,"8' 5""",1076.75,128,61
32,T33,T33,Stuart Appleby,83,"8' 6""",886.25,104,56
33,T33,T33,Tim Clark,80,"8' 6""",668.6669999999999,79,58
34,T33,T33,Bill Haas,99,"8' 6""",1131.5,133,48
35,T33,T33,Stephen Leaney,84,"8' 6""",748.6669999999999,88,19
36,T33,T33,Shigeki Maruyama,94,"8' 6""",1097.667,129,21
37,T33,T33,Mark Wilson,79,"8' 6""",673.75,79,82
38,T39,T39,Stewart Cink,93,"8' 7""",881.8330000000001,103,27
39,T39,T39,J.B. Holmes,81,"8' 7""",695.8330000000001,81,188
40,T39,T39,Bob May,65,"8' 7""",573.9169999999999,67,144
41,T39,T39,Geoff Ogilvy,76,"8' 7""",667.1669999999999,78,69
42,T39,T39,Paul Stankowski,70,"8' 7""",672.0830000000001,78,114
43,T44,T44,Aaron Baddeley,78,"8' 8""",1252.75,144,51
44,T44,T44,Fred Funk,106,"8' 8""",877.4169999999999,101,42
45,T44,T44,Justin Rose,98,"8' 8""",937.5830000000001,108,84
46,T44,T44,John Senden,96,"8' 8""",814.0,94,86
47,T48,T48,Jason Bohn,104,"8' 9""",1234.667,141,13
48,T48,T48,Ben Curtis,86,"8' 9""",864.0,99,116
49,T48,T48,Brian Davis,92,"8' 9""",1241.25,142,49
50,T48,T48,Harrison Frazar,95,"8' 9""",1083.333,124,96
51,T52,T52,Retief Goosen,68,"8' 10""",549.0830000000001,62,108
52,T52,T52,Justin Leonard,83,"8' 10""",739.5830000000001,84,77
53,T52,T52,Bo Van Pelt,102,"8' 10""",1158.833,131,99
54,T55,T55,Kris Cox,83,"8' 11""",743.0830000000001,83,118
55,T55,T55,Len Mattiace,59,"8' 11""",743.3330000000001,83,143
56,T55,T55,Carl Pettersson,95,"8' 11""",1140.667,128,66
57,T55,T55,Ian Poulter,53,"8' 11""",438.083,49,36
58,T59,T59,Chad Campbell,91,"9' 0""",907.75,101,93
59,T59,T59,Robert Gamez,94,"9' 0""",1081.0,120,135
60,T59,T59,Kirk Triplett,58,"9' 0""",618.1669999999999,69,133
61,T59,T59,Brett Wetterich,82,"9' 0""",847.4169999999999,94,178
62,T63,T63,Paul Azinger,87,"9' 1""",1094.417,121,8
63,T63,T63,David Branshaw,98,"9' 1""",965.9169999999999,106,38
64,T63,T63,Tim Herron,82,"9' 1""",814.0,90,148
65,T63,T63,Skip Kendall,72,"9' 1""",629.0830000000001,69,73
66,T63,T63,Steve Lowery,99,"9' 1""",1060.917,117,111
67,T68,T68,Kent Jones,103,"9' 2""",1101.167,120,136
68,T68,T68,Joe Ogilvie,95,"9' 2""",1031.667,113,45
69,T68,T68,David Toms,76,"9' 2""",839.5830000000001,92,54
70,T71,T71,Daniel Chopra,110,"9' 3""",1340.0829999999999,145,105
71,T71,T71,Padraig Harrington,54,"9' 3""",415.167,45,36
72,T71,T71,D.A. Points,82,"9' 3""",1149.583,124,131
73,T71,T71,Tiger Woods,55,"9' 3""",313.16700000000003,34,10
74,T75,T75,John Daly,51,"9' 4""",627.0830000000001,67,186
75,T75,T75,Lucas Glover,105,"9' 4""",1117.083,120,129
76,T75,T75,Zach Johnson,98,"9' 4""",918.0,98,103
77,T75,T75,Larry Mize,53,"9' 4""",427.417,46,33
78,T79,T79,Mark Brooks,90,"9' 5""",957.0,102,107
79,T79,T79,Alex Cejka,93,"9' 5""",793.1669999999999,84,156
80,T79,T79,David Duval,71,"9' 5""",713.9169999999999,76,187
81,T79,T79,"John Engler, Jr.",69,"9' 5""",994.75,106,176
82,T79,T79,Paul Goydos,72,"9' 5""",849.5,90,25
83,T79,T79,Heath Slocum,96,"9' 5""",912.75,97,141
84,T85,T85,Trevor Immelman,86,"9' 6""",819.3330000000001,86,32
85,T85,T85,Freddie Jacobson,56,"9' 6""",799.8330000000001,84,101
86,T85,T85,Lee Janzen,79,"9' 6""",1101.25,116,184
87,T85,T85,Dean Wilson,115,"9' 6""",1184.167,125,51
88,T89,T89,Bart Bryant,87,"9' 7""",593.0830000000001,62,142
89,T89,T89,Carlos Franco,86,"9' 7""",1159.583,121,163
90,T89,T89,Jeff Maggert,81,"9' 7""",785.3330000000001,82,178
91,T89,T89,Sean O'Hair,100,"9' 7""",1066.5,111,139
92,T89,T89,Adam Scott,70,"9' 7""",678.1669999999999,71,91
93,T89,T89,"Wes Short, Jr.",96,"9' 7""",1228.583,128,194
94,T89,T89,Omar Uresti,61,"9' 7""",575.0830000000001,60,7
95,T96,T96,Jonathan Byrd,66,"9' 8""",735.6669999999999,76,20
96,T96,T96,Greg Chalmers,71,"9' 8""",945.9169999999999,98,126
97,T96,T96,Billy Mayfair,94,"9' 8""",1036.25,107,35
98,T96,T96,Ryan Palmer,101,"9' 8""",1186.25,123,74
99,T96,T96,Tag Ridings,103,"9' 8""",1106.333,114,160
100,T101,T101,Jim Furyk,89,"9' 9""",699.4169999999999,72,4
101,T101,T101,Davis Love III,85,"9' 9""",941.75,97,149
102,T101,T101,José María Olazábal,62,"9' 9""",460.0,47,95
103,T104,T104,Woody Austin,107,"9' 10""",1494.25,152,43
104,T104,T104,Robert Garrigus,85,"9' 10""",1094.417,111,158
105,T104,T104,John Huston,74,"9' 10""",957.8330000000001,97,63
106,T104,T104,David McKenzie,82,"9' 10""",825.1669999999999,84,112
107,T104,T104,D.J. Trahan,92,"9' 10""",1054.333,107,128
108,109,109,Mark Calcavecchia,94,"9' 11""",1167.0,118,130
109,T110,T110,Brian Bateman,69,"10' 0""",779.75,78,94
110,T110,T110,K.J. Choi,93,"10' 0""",1072.167,107,67
111,T110,T110,Michael Connell,51,"10' 0""",590.25,59,192
112,T110,T110,Brent Geiberger,99,"10' 0""",1282.75,128,34
113,T110,T110,Phil Mickelson,74,"10' 0""",669.5,67,138
114,T110,T110,Jon Mills,68,"10' 0""",759.5830000000001,76,140
115,T110,T110,Jason Schultz,77,"10' 0""",958.9169999999999,96,119
116,T110,T110,Camilo Villegas,95,"10' 0""",1114.167,111,123
117,T110,T110,Charles Warren,93,"10' 0""",841.0830000000001,84,64
118,T110,T110,Ron Whittaker,81,"10' 0""",956.25,96,167
119,T120,T120,Olin Browne,108,"10' 1""",1047.583,104,152
120,T120,T120,Brad Faxon,78,"10' 1""",1244.833,123,110
121,T120,T120,Scott Verplank,88,"10' 1""",819.9169999999999,81,12
122,T123,T123,Bob Estes,85,"10' 2""",976.8330000000001,96,40
123,T123,T123,Jeff Gove,91,"10' 2""",973.4169999999999,96,78
124,T123,T123,Tom Lehman,70,"10' 2""",682.3330000000001,67,155
125,T123,T123,Nick Watney,97,"10' 2""",1236.667,122,15
126,T127,T127,Chris DiMarco,83,"10' 3""",924.0,90,62
127,T127,T127,Sergio Garcia,59,"10' 3""",635.9169999999999,62,183
128,T127,T127,Brett Quigley,109,"10' 3""",1370.0829999999999,134,14
129,T127,T127,Hidemichi Tanaka,74,"10' 3""",891.6669999999999,87,169
130,T131,T131,Arjun Atwal,97,"10' 4""",1348.9170000000001,131,113
131,T131,T131,J.P. Hayes,55,"10' 4""",570.4169999999999,55,75
132,T131,T131,Charles Howell III,96,"10' 4""",1076.5,104,115
133,T134,T134,Eric Axley,91,"10' 5""",1105.333,106,121
134,T134,T134,Todd Hamilton,72,"10' 5""",980.6669999999999,94,191
135,T134,T134,Jimmy Walker,60,"10' 5""",959.9169999999999,92,175
136,T137,T137,Robert Allenby,79,"10' 6""",956.9169999999999,91,131
137,T137,T137,Ben Crane,85,"10' 6""",894.3330000000001,85,120
138,T137,T137,Danny Ellis,68,"10' 6""",652.0,62,90
139,T137,T137,Mathias Grönberg,92,"10' 6""",1168.833,111,125
140,T137,T137,Will MacKenzie,91,"10' 6""",916.4169999999999,87,165
141,T137,T137,Tim Petrovic,95,"10' 6""",1331.1670000000001,127,31
142,T137,T137,John Rollins,93,"10' 6""",1077.333,103,182
143,T144,T144,Bubba Dickerson,98,"10' 7""",1392.8329999999999,132,181
144,T144,T144,Vance Veazey,59,"10' 7""",708.1669999999999,67,189
145,T146,T146,Todd Fischer,101,"10' 8""",1298.75,122,117
146,T146,T146,J.L. Lewis,57,"10' 8""",919.25,86,76
147,T146,T146,Ted Purdy,103,"10' 8""",1099.0,103,168
148,T149,T149,Ryan Moore,68,"10' 9""",946.0830000000001,88,46
149,T149,T149,Jeff Overton,95,"10' 9""",1181.583,110,55
150,T149,T149,Greg Owen,79,"10' 9""",804.0,75,11
151,T152,T152,Rich Beem,85,"10' 10""",1146.083,106,174
152,T152,T152,Jason Gore,86,"10' 10""",1093.083,101,170
153,T152,T152,Steve Jones,83,"10' 10""",1112.0,103,92
154,T152,T152,Jesper Parnevik,84,"10' 10""",1226.167,113,28
155,T152,T152,Joey Sindelar,90,"10' 10""",891.0830000000001,82,177
156,T157,T157,Briny Baird,81,"10' 11""",816.6669999999999,75,124
157,T157,T157,Scott Gutschewski,53,"10' 11""",686.0830000000001,63,190
158,T157,T157,Jonathan Kaye,95,"10' 11""",1156.583,106,102
159,T157,T157,Bernhard Langer,77,"10' 11""",786.25,72,57
160,T157,T157,Ian Leggatt,80,"10' 11""",1082.917,99,164
161,T157,T157,Kenny Perry,73,"10' 11""",642.1669999999999,59,162
162,T163,T163,Tommy Armour III,65,"11' 0""",914.9169999999999,83,172
163,T163,T163,Ryan Hietala,61,"11' 0""",756.4169999999999,69,180
164,T163,T163,Thomas Levet,53,"11' 0""",899.9169999999999,82,81
165,T163,T163,Bob Tway,81,"11' 0""",1135.75,103,147
