,Sand_Saves_from_10-20_yards_RANK THIS WEEK,Sand_Saves_from_10-20_yards_RANK LAST WEEK,Sand_Saves_from_10-20_yards_PLAYER NAME,Sand_Saves_from_10-20_yards_ROUNDS,Sand_Saves_from_10-20_yards_%,Sand_Saves_from_10-20_yards_# OF SAVES,Sand_Saves_from_10-20_yards_# OF BUNKERS
0,1,1,Brian Gay,107,76.39,55,72
1,2,2,Dudley Hart,83,72.73,40,55
2,3,3,Hidemichi Tanaka,74,70.45,31,44
3,4,4,Duffy Waldorf,96,68.6,59,86
4,5,5,Tiger Woods,55,68.0,17,25
5,6,6,Jerry Smith,94,67.69,44,65
6,T7,T7,Doug Barron,74,66.67,32,48
7,T7,T7,Geoff Ogilvy,76,66.67,36,54
8,T7,T7,Steve Stricker,64,66.67,24,36
9,10,10,Rod Pampling,89,65.79,50,76
10,11,11,Trevor Immelman,86,65.45,36,55
11,12,12,Vaughn Taylor,88,65.22,45,69
12,13,13,Steve Flesch,119,64.52,60,93
13,14,14,Chris Riley,86,64.29,54,84
14,15,15,Kirk Triplett,58,62.5,25,40
15,16,16,Kevin Sutherland,100,62.3,38,61
16,17,17,Daniel Chopra,110,61.8,55,89
17,T18,T18,Michael Allen,84,61.54,32,52
18,T18,T18,Freddie Jacobson,56,61.54,32,52
19,20,20,Luke Donald,66,61.29,19,31
20,21,21,Mike Weir,88,61.11,44,72
21,22,22,Tim Petrovic,95,60.98,50,82
22,23,23,Lee Janzen,79,60.94,39,64
23,24,24,Jim Furyk,89,60.87,28,46
24,25,25,"John Engler, Jr.",69,60.66,37,61
25,26,26,Jerry Kelly,100,60.61,40,66
26,27,27,Harrison Frazar,95,60.56,43,71
27,28,28,Arjun Atwal,97,60.29,41,68
28,29,29,Joe Ogilvie,95,60.27,44,73
29,T30,T30,Robert Damron,91,60.0,45,75
30,T30,T30,Ernie Els,69,60.0,30,50
31,T30,T30,Padraig Harrington,54,60.0,18,30
32,T30,T30,Jeff Maggert,81,60.0,33,55
33,T30,T30,Kenny Perry,73,60.0,21,35
34,T30,T30,Mark Wilson,79,60.0,30,50
35,36,36,John Senden,96,59.65,34,57
36,37,37,Paul Azinger,87,59.38,38,64
37,T38,T38,Mark Brooks,90,59.26,32,54
38,T38,T38,Brett Quigley,109,59.26,48,81
39,T38,T38,Tag Ridings,103,59.26,48,81
40,41,41,D.J. Trahan,92,58.46,38,65
41,42,42,Fred Funk,106,58.11,43,74
42,43,43,Greg Chalmers,71,58.0,29,50
43,44,44,Brandt Jobe,91,57.89,33,57
44,45,45,"Wes Short, Jr.",96,57.69,45,78
45,T46,T46,Retief Goosen,68,57.58,19,33
46,T46,T46,Jeff Sluman,101,57.58,38,66
47,48,48,Ryuji Imada,105,57.53,42,73
48,49,49,Peter Lonard,77,57.41,31,54
49,50,50,Jesper Parnevik,84,57.35,39,68
50,51,51,Bubba Dickerson,98,57.14,36,63
51,T52,T52,Charles Howell III,96,56.9,33,58
52,T52,T52,Ian Leggatt,80,56.9,33,58
53,54,54,K.J. Choi,93,56.67,34,60
54,55,55,Chad Campbell,91,56.6,30,53
55,56,56,Scott Verplank,88,56.36,31,55
56,57,57,Steve Elkington,52,56.25,18,32
57,58,58,Jeff Gove,91,56.14,32,57
58,T59,T59,Carl Pettersson,95,56.0,42,75
59,T59,T59,Vijay Singh,103,56.0,42,75
60,61,61,Nathan Green,108,55.95,47,84
61,62,62,Steve Lowery,99,55.84,43,77
62,63,63,David McKenzie,82,55.77,29,52
63,64,64,Marco Dawson,87,55.74,34,61
64,T65,T65,David Branshaw,98,55.71,39,70
65,T65,T65,Stewart Cink,93,55.71,39,70
66,67,67,Robert Gamez,94,55.7,44,79
67,T68,T68,Tim Clark,80,55.56,25,45
68,T68,T68,John Huston,74,55.56,35,63
69,70,70,Stuart Appleby,83,55.17,32,58
70,71,71,Mike Sposa,68,55.1,27,49
71,72,72,Chris DiMarco,83,55.0,33,60
72,73,73,Sean O'Hair,100,54.69,35,64
73,74,74,Justin Rose,98,54.67,41,75
74,75,75,Richard Johnson,94,54.39,31,57
75,76,76,Skip Kendall,72,54.35,25,46
76,77,77,Rory Sabbatini,84,54.24,32,59
77,78,78,David Toms,76,54.0,27,50
78,79,79,Aaron Baddeley,78,53.93,48,89
79,80,80,Kent Jones,103,53.85,42,78
80,81,81,Arron Oberholser,82,53.7,29,54
81,82,82,Bob Estes,85,53.57,30,56
82,83,83,Mark Calcavecchia,94,53.52,38,71
83,T84,T84,Brian Davis,92,53.49,46,86
84,T84,T84,Bob May,65,53.49,23,43
85,86,86,Woody Austin,107,53.19,50,94
86,87,87,Justin Leonard,83,53.06,26,49
87,T88,T88,Billy Mayfair,94,52.94,36,68
88,T88,T88,Adam Scott,70,52.94,18,34
89,T88,T88,Charles Warren,93,52.94,27,51
90,T91,T91,Charley Hoffman,100,52.86,37,70
91,T91,T91,Dean Wilson,115,52.86,37,70
92,93,93,Ian Poulter,53,52.78,19,36
93,T94,T94,Ryan Hietala,61,52.63,20,38
94,T94,T94,Shigeki Maruyama,94,52.63,40,76
95,T94,T94,Daisuke Maruyama,83,52.63,30,57
96,97,97,Nicholas Thompson,96,52.56,41,78
97,98,98,Camilo Villegas,95,52.17,36,69
98,T99,T99,David Duval,71,52.0,26,50
99,T99,T99,José María Olazábal,62,52.0,13,25
100,101,101,Steve Jones,83,51.85,28,54
101,T102,T102,J.P. Hayes,55,51.61,16,31
102,T102,T102,Hunter Mahan,98,51.61,32,62
103,T102,T102,Shaun Micheel,96,51.61,32,62
104,105,105,Brad Faxon,78,51.47,35,68
105,106,106,Robert Garrigus,85,51.39,37,72
106,T107,T107,Mark O'Meara,52,51.35,19,37
