,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,1,1,Padraig Harrington,54,"2' 5""",172.417,72,36
1,T2,T2,Mark Brooks,90,"2' 8""",373.583,139,107
2,T2,T2,Jim Furyk,89,"2' 8""",268.58299999999997,102,4
3,4,4,Carlos Franco,86,"2' 10""",360.083,126,163
4,T5,T5,Dudley Hart,83,"2' 11""",348.583,121,64
5,T5,T5,Justin Leonard,83,"2' 11""",321.91700000000003,111,77
6,T5,T5,Corey Pavin,74,"2' 11""",304.66700000000003,105,1
7,T5,T5,Justin Rose,98,"2' 11""",460.5,158,84
8,9,9,Camilo Villegas,95,"3' 0""",413.667,137,123
9,T10,T10,Briny Baird,81,"3' 1""",333.417,108,124
10,T10,T10,Robert Damron,91,"3' 1""",460.5,148,100
11,T10,T10,Luke Donald,66,"3' 1""",210.167,68,3
12,T10,T10,Trevor Immelman,86,"3' 1""",277.91700000000003,91,32
13,T10,T10,Jerry Kelly,100,"3' 1""",377.5,124,17
14,T10,T10,John Senden,96,"3' 1""",343.0,112,86
15,T10,T10,Kirk Triplett,58,"3' 1""",267.08299999999997,86,133
16,T10,T10,Charles Warren,93,"3' 1""",476.833,153,64
17,T18,T18,Paul Azinger,87,"3' 2""",464.917,148,8
18,T18,T18,Brian Bateman,69,"3' 2""",312.91700000000003,99,94
19,T18,T18,J.J. Henry,96,"3' 2""",320.0,102,157
20,T18,T18,J.B. Holmes,81,"3' 2""",420.75,133,188
21,T18,T18,Richard Johnson,94,"3' 2""",406.25,127,44
22,T18,T18,Skip Kendall,72,"3' 2""",301.08299999999997,95,73
23,T18,T18,Shaun Micheel,96,"3' 2""",370.417,116,127
24,T18,T18,D.A. Points,82,"3' 2""",421.333,132,131
25,T18,T18,Ian Poulter,53,"3' 2""",250.75,79,36
26,T18,T18,Vijay Singh,103,"3' 2""",482.25,154,39
27,T28,T28,Olin Browne,108,"3' 3""",529.5,162,152
28,T28,T28,Marco Dawson,87,"3' 3""",446.25,136,121
29,T28,T28,Todd Fischer,101,"3' 3""",519.1669999999999,158,117
30,T28,T28,Mathew Goggin,72,"3' 3""",334.583,103,146
31,T28,T28,Bill Haas,99,"3' 3""",511.583,156,48
32,T28,T28,Ryuji Imada,105,"3' 3""",406.167,125,24
33,T28,T28,David McKenzie,82,"3' 3""",352.25,109,112
34,T28,T28,Rod Pampling,89,"3' 3""",369.917,113,85
35,T28,T28,Tom Pernice Jr.,108,"3' 3""",430.833,134,80
36,T28,T28,Chris Riley,86,"3' 3""",378.083,116,26
37,T28,T28,Jerry Smith,94,"3' 3""",406.583,125,41
38,T28,T28,D.J. Trahan,92,"3' 3""",450.167,140,128
39,T28,T28,Omar Uresti,61,"3' 3""",336.417,104,7
40,T41,T41,Stephen Ames,63,"3' 4""",225.75,68,58
41,T41,T41,Mathias Grönberg,92,"3' 4""",495.167,149,125
42,T41,T41,Jonathan Kaye,95,"3' 4""",534.1669999999999,162,102
43,T41,T41,Bernhard Langer,77,"3' 4""",302.25,90,57
44,T41,T41,Scott Verplank,88,"3' 4""",436.0,131,12
45,T41,T41,Duffy Waldorf,96,"3' 4""",472.083,143,61
46,T41,T41,Dean Wilson,115,"3' 4""",535.1669999999999,162,51
47,T41,T41,Tiger Woods,55,"3' 4""",204.5,62,10
48,T49,T49,Eric Axley,91,"3' 5""",470.0,137,121
49,T49,T49,Bart Bryant,87,"3' 5""",425.833,125,142
50,T49,T49,Chad Campbell,91,"3' 5""",401.667,119,93
51,T49,T49,Harrison Frazar,95,"3' 5""",502.75,146,96
52,T49,T49,Brian Gay,107,"3' 5""",580.5,169,5
53,T49,T49,Retief Goosen,68,"3' 5""",327.5,97,108
54,T49,T49,Paul Goydos,72,"3' 5""",437.25,128,25
55,T49,T49,Ryan Hietala,61,"3' 5""",328.0,96,180
56,T49,T49,Brandt Jobe,91,"3' 5""",390.417,115,154
57,T49,T49,Mark O'Meara,52,"3' 5""",180.167,53,67
58,T49,T49,José María Olazábal,62,"3' 5""",209.0,61,95
59,T60,T60,Aaron Baddeley,78,"3' 6""",504.5,145,51
60,T60,T60,Jonathan Byrd,66,"3' 6""",296.33299999999997,84,20
61,T60,T60,Danny Ellis,68,"3' 6""",311.58299999999997,89,90
62,T60,T60,Lucas Glover,105,"3' 6""",521.5,150,129
63,T60,T60,Lee Janzen,79,"3' 6""",425.833,121,184
64,T60,T60,Stephen Leaney,84,"3' 6""",426.917,122,19
65,T60,T60,Frank Lickliter II,99,"3' 6""",477.083,136,16
66,T60,T60,Peter Lonard,77,"3' 6""",385.167,111,87
67,T60,T60,Jeff Maggert,81,"3' 6""",471.0,133,178
68,T60,T60,Tim Petrovic,95,"3' 6""",511.417,145,31
69,T60,T60,Steve Stricker,64,"3' 6""",298.91700000000003,86,2
70,T60,T60,Vaughn Taylor,88,"3' 6""",515.5,149,144
71,T60,T60,Mike Weir,88,"3' 6""",374.5,108,79
72,T73,T73,Michael Allen,84,"3' 7""",469.917,130,70
73,T73,T73,Woody Austin,107,"3' 7""",683.6669999999999,192,43
74,T73,T73,Bob Estes,85,"3' 7""",423.417,119,40
75,T73,T73,Steve Flesch,119,"3' 7""",660.5,186,22
76,T73,T73,Jeff Gove,91,"3' 7""",387.0,108,78
77,T73,T73,Charles Howell III,96,"3' 7""",423.333,119,115
78,T73,T73,Zach Johnson,98,"3' 7""",449.667,125,103
79,T73,T73,J.L. Lewis,57,"3' 7""",352.75,98,76
80,T73,T73,Shigeki Maruyama,94,"3' 7""",537.3330000000001,149,21
81,T73,T73,Larry Mize,53,"3' 7""",286.25,79,33
82,T73,T73,Greg Owen,79,"3' 7""",361.25,102,11
83,T73,T73,Pat Perez,50,"3' 7""",294.91700000000003,83,166
84,T73,T73,Jason Schultz,77,"3' 7""",361.167,101,119
85,T73,T73,Patrick Sheehan,104,"3' 7""",692.9169999999999,192,60
86,T87,T87,Robert Allenby,79,"3' 8""",364.833,99,131
87,T87,T87,Tommy Armour III,65,"3' 8""",323.58299999999997,89,172
88,T87,T87,Jason Bohn,104,"3' 8""",526.8330000000001,145,13
89,T87,T87,David Branshaw,98,"3' 8""",504.167,136,38
90,T87,T87,Brent Geiberger,99,"3' 8""",585.5830000000001,158,34
91,T87,T87,Tim Herron,82,"3' 8""",353.667,97,148
92,T87,T87,Steve Jones,83,"3' 8""",487.5,134,92
93,T87,T87,Jesper Parnevik,84,"3' 8""",418.583,114,28
94,T87,T87,Mike Sposa,68,"3' 8""",325.33299999999997,88,47
95,T96,T96,Jeff Brehaut,100,"3' 9""",476.583,126,153
96,T96,T96,Daniel Chopra,110,"3' 9""",593.75,158,105
97,T96,T96,Tim Clark,80,"3' 9""",411.833,111,58
98,T96,T96,Sergio Garcia,59,"3' 9""",280.75,75,183
99,T96,T96,John Huston,74,"3' 9""",418.083,111,63
100,T96,T96,Kent Jones,103,"3' 9""",449.0,120,136
101,T96,T96,Troy Matteson,101,"3' 9""",602.4169999999999,161,97
102,T96,T96,Geoff Ogilvy,76,"3' 9""",312.25,83,69
103,T96,T96,Kevin Sutherland,100,"3' 9""",492.417,130,30
104,T96,T96,Nicholas Thompson,96,"3' 9""",493.833,131,171
105,T96,T96,Nick Watney,97,"3' 9""",647.25,171,15
106,T107,T107,Chris DiMarco,83,"3' 10""",445.833,116,62
107,T107,T107,Jason Gore,86,"3' 10""",484.333,127,170
108,T107,T107,Nathan Green,108,"3' 10""",722.0830000000001,188,17
109,T107,T107,Charley Hoffman,100,"3' 10""",610.9169999999999,158,137
110,T107,T107,Will MacKenzie,91,"3' 10""",491.0,128,165
111,T107,T107,Ryan Moore,68,"3' 10""",452.0,117,46
112,T107,T107,Sean O'Hair,100,"3' 10""",566.5,147,139
113,T107,T107,Carl Pettersson,95,"3' 10""",497.75,130,66
114,T107,T107,Brett Quigley,109,"3' 10""",431.167,113,14
115,T107,T107,Tag Ridings,103,"3' 10""",690.8330000000001,180,160
116,T107,T107,Jeff Sluman,101,"3' 10""",539.25,140,71
117,T107,T107,David Toms,76,"3' 10""",375.5,99,54
118,T119,T119,Arjun Atwal,97,"3' 11""",617.1669999999999,159,113
119,T119,T119,Henrik Bjornstad,97,"3' 11""",627.25,160,109
120,T119,T119,Alex Cejka,93,"3' 11""",574.4169999999999,148,156
121,T119,T119,Stewart Cink,93,"3' 11""",457.583,117,27
122,T119,T119,John Cook,67,"3' 11""",376.417,97,28
123,T119,T119,Chris Couch,75,"3' 11""",409.667,105,196
124,T119,T119,Kris Cox,83,"3' 11""",449.917,115,118
125,T119,T119,Bubba Dickerson,98,"3' 11""",637.25,161,181
126,T119,T119,Fred Funk,106,"3' 11""",556.5,143,42
127,T119,T119,Matt Hansen,68,"3' 11""",391.833,99,89
128,T119,T119,Ian Leggatt,80,"3' 11""",572.6669999999999,147,164
129,T119,T119,Davis Love III,85,"3' 11""",378.75,96,149
130,T119,T119,Bob May,65,"3' 11""",406.5,104,144
131,T119,T119,Jon Mills,68,"3' 11""",350.583,90,140
132,T119,T119,Jeff Overton,95,"3' 11""",598.9169999999999,154,55
133,T119,T119,Bob Tway,81,"3' 11""",506.5,128,147
134,T119,T119,Tjaart van der Walt,60,"3' 11""",387.417,99,9
135,T119,T119,Jimmy Walker,60,"3' 11""",375.75,95,175
136,T119,T119,Mark Wilson,79,"3' 11""",395.667,100,82
137,T138,T138,Billy Andrade,78,"4' 0""",398.333,99,72
138,T138,T138,Craig Barlow,77,"4' 0""",323.08299999999997,80,159
139,T138,T138,Ben Curtis,86,"4' 0""",420.0,105,116
140,T138,T138,Brian Davis,92,"4' 0""",531.8330000000001,134,49
141,T138,T138,Joe Durant,101,"4' 0""",715.75,178,133
142,T138,T138,Tom Lehman,70,"4' 0""",284.33299999999997,71,155
143,T138,T138,Len Mattiace,59,"4' 0""",356.417,89,143
144,T138,T138,Adam Scott,70,"4' 0""",328.083,82,91
145,T138,T138,"Wes Short, Jr.",96,"4' 0""",648.1669999999999,161,194
146,T138,T138,Paul Stankowski,70,"4' 0""",412.75,103,114
147,T138,T138,Hidemichi Tanaka,74,"4' 0""",488.417,121,169
148,T138,T138,Ron Whittaker,81,"4' 0""",492.583,123,167
149,T150,T150,Rich Beem,85,"4' 1""",436.25,107,174
150,T150,T150,K.J. Choi,93,"4' 1""",586.5,144,67
151,T150,T150,Ben Crane,85,"4' 1""",428.5,106,120
152,T150,T150,Brad Faxon,78,"4' 1""",585.1669999999999,144,110
153,T150,T150,David Howell,52,"4' 1""",178.417,44,173
154,T150,T150,Daisuke Maruyama,83,"4' 1""",526.25,128,104
155,T150,T150,Joey Sindelar,90,"4' 1""",513.6669999999999,127,177
156,T157,T157,Stuart Appleby,83,"4' 2""",435.583,104,56
157,T157,T157,Alex Aragon,63,"4' 2""",504.083,121,193
158,T157,T157,Doug Barron,74,"4' 2""",574.8330000000001,139,23
159,T157,T157,Michael Connell,51,"4' 2""",272.91700000000003,66,192
160,T157,T157,"John Engler, Jr.",69,"4' 2""",416.333,99,176
161,T157,T157,Todd Hamilton,72,"4' 2""",498.167,120,191
162,T157,T157,J.P. Hayes,55,"4' 2""",396.0,95,75
163,T157,T157,Greg Kraft,79,"4' 2""",557.0,135,88
164,T157,T157,Billy Mayfair,94,"4' 2""",514.8330000000001,124,35
165,T157,T157,Ted Purdy,103,"4' 2""",571.9169999999999,136,168
166,T157,T157,John Rollins,93,"4' 2""",516.5830000000001,123,182
